day,mean,min,max,var
1,5.7484064243164075e-08,0.0,4.610412355458866e-07,pr
2,3.680474373918095e-08,0.0,3.706913388302465e-07,pr
3,2.7817774073935238e-08,0.0,3.0448220648308835e-07,pr
4,9.365932680168333e-08,0.0,1.0333170052740654e-06,pr
5,1.5699100972988414e-06,0.0,1.9887436976353097e-05,pr
6,4.43253909484557e-06,0.0,0.00012651875353921624,pr
7,3.600219435545317e-07,0.0,5.151334059956758e-06,pr
8,1.6617060600568832e-07,0.0,4.216092078577644e-06,pr
9,1.0157712186741546e-05,0.0,0.0002830261689187656,pr
10,5.299336098487172e-06,0.0,0.00015872037009700472,pr
11,1.3709351126064652e-06,0.0,3.7780638185612545e-05,pr
12,2.146852252139698e-07,0.0,3.672586030604374e-06,pr
13,2.6673796063196078e-08,0.0,3.252372931275461e-07,pr
14,4.5881092297564413e-07,0.0,6.275188109940584e-06,pr
15,8.75640349728932e-07,0.0,9.997095012931314e-06,pr
16,8.634152009874589e-07,0.0,1.2104335664062532e-05,pr
17,3.452245787162017e-07,0.0,5.08961815652625e-06,pr
18,4.033724722172321e-06,0.0,7.168537911200176e-05,pr
19,8.630315201826462e-07,0.0,1.9326293778243764e-05,pr
20,1.8236188531055956e-07,0.0,2.277894872565832e-06,pr
21,1.8162956300322746e-07,0.0,3.1259597701541835e-06,pr
22,3.4151951359634498e-06,0.0,7.948052305400009e-05,pr
23,1.93236186235245e-06,0.0,3.995448886599826e-05,pr
24,1.09636495907603e-06,0.0,3.157439551918623e-05,pr
25,2.6163244116171177e-06,0.0,5.500225580143455e-05,pr
26,1.8324191886132452e-06,0.0,5.323374838712079e-05,pr
27,3.5635451095925823e-07,0.0,6.240812562824844e-06,pr
28,2.40805826946598e-06,0.0,5.9266795381719056e-05,pr
29,2.823151304549321e-07,0.0,3.950973545647764e-06,pr
30,3.2477170801972233e-07,0.0,5.63787891507294e-06,pr
31,9.7336213125765e-07,0.0,2.6547378531737058e-05,pr
32,5.20172687867586e-08,0.0,9.478903970795325e-07,pr
33,1.5729734501414912e-07,0.0,2.048250174059141e-06,pr
34,3.787751674968792e-07,0.0,3.5256311945148487e-06,pr
35,1.9472732187678015e-06,0.0,4.1922203128157716e-05,pr
36,7.717862092943547e-07,0.0,1.0445663169405184e-05,pr
37,4.780691522871888e-07,0.0,7.60705473000744e-06,pr
38,2.893347139522052e-06,0.0,7.385971490370905e-05,pr
39,1.3359234386709264e-05,0.0,0.00039157494248500606,pr
40,3.4940109547316017e-07,0.0,7.784216166067197e-06,pr
41,1.6801050830795084e-06,0.0,3.2358795707043154e-05,pr
42,1.6901501932774454e-05,0.0,0.00043541916295653595,pr
43,5.149431815943676e-06,0.0,0.00014928320646397366,pr
44,1.644436159375892e-05,0.0,0.0003370190854113421,pr
45,3.1880610181623896e-05,0.0,0.000867137395011796,pr
46,0.00025816850202502813,0.0,0.0075954246178466436,pr
47,4.0730299301443985e-06,0.0,7.704724423659754e-05,pr
48,8.035476438867124e-06,0.0,0.00017073626337106218,pr
49,9.637193879724085e-06,0.0,0.00015580777102346027,pr
50,6.196184438762259e-06,0.0,7.051642029839614e-05,pr
51,2.7767198179070604e-05,0.0,0.0005235449706736039,pr
