year,1,2,3,4,5,6,7,8,9,10,11,12
2051,19.908476698840506,22.23078197024622,23.865937360080036,24.331958210926715,26.153322978154833,27.074451080419983,25.78536091995556,24.835912325266367,23.868251464805077,22.687867857130083,19.461015758066615,16.85992146824821
2052,18.386673040069347,20.87830912475832,24.472112001378907,25.338465246846297,26.775922182466537,26.912529821125954,25.657116281939825,24.987952173582993,24.553120677351348,22.956609418286828,20.309598633268713,17.8770021237147
2053,17.65504211120112,21.029739611039957,24.150132261073157,25.427019497642007,25.063259535804647,26.777125755619238,26.15983087758392,24.803447372388035,24.000524898928635,23.601022641119254,19.732464248046846,18.272480167604076
2054,16.897332771979983,19.483160563314986,23.19959516126233,26.999910637961715,25.935317501108553,27.03228718644493,25.8730247362046,24.824522601545667,23.997504174358493,23.230560525855427,19.791648556567566,18.136592407982935
2055,18.317141167159214,22.5651784945827,23.226631757363606,25.334319926066463,25.893322326859167,26.910012325550426,26.255240458495827,25.213751577471108,24.983666222348965,24.123758839004367,20.67141502400331,16.945221113904157
2056,18.724188186175258,22.47513045137376,24.322367388558664,26.89434007490925,27.323506706879016,27.34356747934743,26.051657201407462,24.92056495837203,24.53545570255482,23.548726371236235,20.55412390885749,19.057401485668883
2057,19.963052337859686,24.346411703218678,24.69670810780101,26.941443511413937,27.46093311172324,27.108014483613843,26.543896870309737,25.08962518526342,24.59881880783311,24.52266481881409,18.363815996740474,16.684830552802126
2058,18.784423653683845,23.077964615524344,25.16336146098738,26.69656270978249,27.676051594200977,27.5075893215542,25.78839341145215,25.049565491448053,24.28172685178742,23.739946979670854,17.48095438295597,19.95472005417721
2059,20.548023076143334,22.150525182296057,23.097739957007196,25.73175020445297,26.48339306305168,26.88674799676393,26.02855258790553,25.333289055289864,24.73023527293558,24.2670159308735,20.308284716913725,16.366579480916876
2060,18.70906010425782,22.170467878485066,23.471962144131375,24.944102396409196,26.882012876648783,27.261268053031422,26.6852018494495,25.862872422358617,25.290216143318183,24.494747129219395,20.657763179586514,17.545594203337927
2061,17.742638406732567,21.75465525293506,26.160798463800315,25.987055252653374,27.142839207941847,26.774962779559623,26.416379327860305,25.37570652086724,24.75350746757186,24.403141899303336,19.31766766727236,17.444970935625502
2062,19.453184150556368,22.26065502271947,24.047698114244945,27.43714244524134,27.952899999471303,27.478328606459783,26.903227825755195,25.850040171918867,24.872024937603562,24.654534927472476,19.478066360644494,16.37953283122595
2063,17.281964220262957,21.399227617717223,24.977643341580094,25.121231939906114,26.730275262160532,27.573916439267744,26.029666624855935,25.418887679679596,24.419543426758064,23.609410961524187,18.697829791781828,17.01432621269403
2064,19.1544430675738,21.19859043539102,24.496641541975904,28.556361542624156,27.303010051457672,27.332585577047563,26.485545682606837,24.86940550155052,24.450534893883894,23.53162039776796,20.013737374123192,18.31235025613106
2065,17.530540128650934,22.20871486663309,25.08760002660846,25.35802647715319,27.02911549044938,26.91983333122119,26.30600118186295,25.10571113443334,24.501996304571524,24.286180575375447,20.957717702387818,18.115605767877565
2066,19.047254990762283,22.534407488207144,24.819620731595837,24.9673776693233,26.551311215183734,27.16847391472478,26.98000089960885,25.631279861969933,25.394498061802974,24.722422687245558,19.701231870807685,17.46792614934285
2067,18.10959607944101,22.802005205095192,24.940356475363636,25.65135516318509,25.61284600921446,27.194243516720228,26.229557847623433,25.374286497785043,24.089810508904783,22.894264060728165,19.74767974371504,19.268118565374564
2068,18.776982651547385,22.194355645671042,24.405609657462826,25.54994153793307,26.384783827112855,26.302758730908348,25.94239564872681,25.485508277674647,24.690969968433155,24.359404604181588,19.480051679373712,16.414878520475508
2069,18.61275060400052,24.07125533396151,24.158722103606607,25.42366246829361,26.64578457975551,27.235994159415814,26.45828114797659,25.24706556104871,25.42851164615206,24.761977024582414,20.874422725646788,16.337356452554854
2070,18.40124011803995,21.67091112932431,25.483348537211373,27.369578864139385,26.72524789492805,27.069478806280625,26.35835020028785,25.605430671268113,25.27283834639106,24.381442842092802,18.65562641543782,17.450648329144723
2071,19.103429515800332,21.32208194362961,24.48048172762881,24.649873100746465,27.60013011492126,27.044759037290913,26.871387179331403,25.785432197998176,25.276482598949183,24.23132592279911,20.829385851690056,19.96394680675489
2072,19.456131790984063,22.611739671377745,22.83588422782821,26.01348879834736,26.66562533862486,27.621345997758997,26.734641628180164,25.905194861684006,25.179732157167432,24.121957313258015,20.514374523687174,16.728125823327076
2073,18.402982427422096,24.300210555630144,25.4064310331738,26.149944481449488,26.508146715033284,26.873311253284996,26.636500501143804,25.72414956118706,24.652654420498195,24.824087376631443,19.449897829678754,18.04907124208607
2074,20.730858080157347,24.499262343438097,25.16714558245481,26.446057251737507,26.165326860971025,26.935598400029804,27.269351663767047,25.949273486000646,25.211101234330165,24.553045556517073,18.96158840714865,16.81176035348806
2075,17.325186278850122,21.751197181906402,24.911698079428614,27.74265141689204,27.687841018623327,27.34379478219432,26.200053141872232,25.470946428016667,25.244041776947686,24.3773575650068,21.17675738947632,20.731448853571777
2076,18.979088157315246,24.08256054176846,24.70065017241925,27.177169641611226,27.216046646626072,27.296156565061512,26.689546315861683,25.390944312095435,24.946193215269485,24.123321715432354,20.86723085307402,17.699450880779843
2077,19.88345672316388,25.689899117983604,24.38327536037847,26.459737666857926,27.469046168152758,27.6765759574,27.035239137371786,25.911454688483328,25.135430297954787,24.717438043864714,20.562131733600857,16.37693432333252
2078,17.620042434841384,22.962949092116855,24.297928661051657,26.38606026822117,28.30778391421367,27.818714362442897,26.629389043007855,25.694913093912557,25.194995165675646,25.080734525585537,21.17300172251399,18.338402451152277
2079,18.20850754228606,22.49456110132281,24.769951780215315,25.094075264252677,26.893239888928573,26.75875749542158,27.113643051233954,26.291005493845695,25.396918825452335,24.590951350887405,20.016829747071938,18.973924317045356
2080,18.245850938145324,22.852923114246437,25.2093370105117,26.56692455812913,27.579122941342426,27.540775878446265,27.435482941255792,26.165971080003697,25.227832056840985,25.114977914924975,21.384207366851275,17.156438449155964
