stn,idx,rcp,hor,stat,centile,val
enacts,hot_spell_total_length,ref,2020-2020,none,-1,25.392575
enacts,hot_spell_total_length,rcp26,2020-2020,mean,-1,30.315105
enacts,hot_spell_total_length,rcp26,2021-2050,mean,-1,44.138016
enacts,hot_spell_total_length,rcp26,2051-2080,mean,-1,48.544878
enacts,hot_spell_total_length,rcp26,2020-2020,min,-1,21.035018
enacts,hot_spell_total_length,rcp26,2021-2050,min,-1,18.861532
enacts,hot_spell_total_length,rcp26,2051-2080,min,-1,22.851957
enacts,hot_spell_total_length,rcp26,2020-2020,max,-1,36.486045
enacts,hot_spell_total_length,rcp26,2021-2050,max,-1,71.791276
enacts,hot_spell_total_length,rcp26,2051-2080,max,-1,70.713253
enacts,hot_spell_total_length,rcp26,2020-2020,centile,1,21.614766
enacts,hot_spell_total_length,rcp26,2021-2050,centile,1,19.998401
enacts,hot_spell_total_length,rcp26,2051-2080,centile,1,23.725121
enacts,hot_spell_total_length,rcp26,2020-2020,centile,10,25.877514
enacts,hot_spell_total_length,rcp26,2021-2050,centile,10,28.386772
enacts,hot_spell_total_length,rcp26,2051-2080,centile,10,30.361136
enacts,hot_spell_total_length,rcp26,2020-2020,centile,50,30.150342
enacts,hot_spell_total_length,rcp26,2021-2050,centile,50,44.458425
enacts,hot_spell_total_length,rcp26,2051-2080,centile,50,49.924803
enacts,hot_spell_total_length,rcp26,2020-2020,centile,90,34.829331
enacts,hot_spell_total_length,rcp26,2021-2050,centile,90,65.509484
enacts,hot_spell_total_length,rcp26,2051-2080,centile,90,68.900044
enacts,hot_spell_total_length,rcp26,2020-2020,centile,99,36.309173
enacts,hot_spell_total_length,rcp26,2021-2050,centile,99,71.287963
enacts,hot_spell_total_length,rcp26,2051-2080,centile,99,70.65655
enacts,hot_spell_total_length,rcp45,2020-2020,mean,-1,28.000351
enacts,hot_spell_total_length,rcp45,2021-2050,mean,-1,39.67002
enacts,hot_spell_total_length,rcp45,2051-2080,mean,-1,57.21696
enacts,hot_spell_total_length,rcp45,2020-2020,min,-1,21.123486
enacts,hot_spell_total_length,rcp45,2021-2050,min,-1,23.414297
enacts,hot_spell_total_length,rcp45,2051-2080,min,-1,39.947929
enacts,hot_spell_total_length,rcp45,2020-2020,max,-1,35.243023
enacts,hot_spell_total_length,rcp45,2021-2050,max,-1,64.734272
enacts,hot_spell_total_length,rcp45,2051-2080,max,-1,82.807679
enacts,hot_spell_total_length,rcp45,2020-2020,centile,1,21.337546
enacts,hot_spell_total_length,rcp45,2021-2050,centile,1,23.700746
enacts,hot_spell_total_length,rcp45,2051-2080,centile,1,40.209656
enacts,hot_spell_total_length,rcp45,2020-2020,centile,10,22.629279
enacts,hot_spell_total_length,rcp45,2021-2050,centile,10,28.648684
enacts,hot_spell_total_length,rcp45,2051-2080,centile,10,42.231587
enacts,hot_spell_total_length,rcp45,2020-2020,centile,50,27.362296
enacts,hot_spell_total_length,rcp45,2021-2050,centile,50,37.92568
enacts,hot_spell_total_length,rcp45,2051-2080,centile,50,51.984281
enacts,hot_spell_total_length,rcp45,2020-2020,centile,90,33.214323
enacts,hot_spell_total_length,rcp45,2021-2050,centile,90,50.408311
enacts,hot_spell_total_length,rcp45,2051-2080,centile,90,74.912849
enacts,hot_spell_total_length,rcp45,2020-2020,centile,99,34.95624
enacts,hot_spell_total_length,rcp45,2021-2050,centile,99,63.33647
enacts,hot_spell_total_length,rcp45,2051-2080,centile,99,82.627606
enacts,hot_spell_total_length,rcp85,2020-2020,mean,-1,26.50383
enacts,hot_spell_total_length,rcp85,2021-2050,mean,-1,51.916969
enacts,hot_spell_total_length,rcp85,2051-2080,mean,-1,91.66012
enacts,hot_spell_total_length,rcp85,2020-2020,min,-1,15.056345
enacts,hot_spell_total_length,rcp85,2021-2050,min,-1,26.190372
enacts,hot_spell_total_length,rcp85,2051-2080,min,-1,66.167439
enacts,hot_spell_total_length,rcp85,2020-2020,max,-1,38.607425
enacts,hot_spell_total_length,rcp85,2021-2050,max,-1,70.367351
enacts,hot_spell_total_length,rcp85,2051-2080,max,-1,115.784035
enacts,hot_spell_total_length,rcp85,2020-2020,centile,1,16.065042
enacts,hot_spell_total_length,rcp85,2021-2050,centile,1,26.596381
enacts,hot_spell_total_length,rcp85,2051-2080,centile,1,66.592507
enacts,hot_spell_total_length,rcp85,2020-2020,centile,10,21.371116
enacts,hot_spell_total_length,rcp85,2021-2050,centile,10,32.662766
