year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp26,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp26,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26
2020,97.43575566087415,101.3214849921011,110.9757767245919,102.27066877303844,106.45023696682465,103.44154818325434,98.92074776198,116.27435492364403,100.68404423380727,105.17245918904686,102.64849921011059,88.83622959452343,104.10163243812534,101.34333859926276,101.7230121116377,95.72669826224329,114.89468141126909,102.9102159031069,97.79515534491838,95.5810953133228,98.66087414428647,110.39441811479726,107.72037914691943,97.71484992101105,97.05265929436545,99.26592943654555,96.07266982622433,104.53870458135862,97.91811479726172,103.00447604002106,103.42548709847289,96.42048446550817,100.31964191679832,106.30568720379146,111.52185360716166,97.70352817272249,101.26777251184834,114.55950500263296,104.90863612427593,106.7751448130595,107.23907319641917,96.39257503949447,106.8591363875724,106.5134281200632,91.26303317535545,108.05818852027383,106.51869404949974,99.84913112164297,101.00368615060559,101.46208530805687,95.5550289626119,100.93575566087415,102.0637177461822,102.69167983149026,103.74828857293312,96.0539757767246,102.91100579252237
2021,,113.59399684044234,132.82859399684045,81.84728804634018,123.97472353870458,133.2740916271722,119.51974723538704,102.91205897840969,134.1690363349131,130.55845181674565,113.47261716692996,78.04976303317535,93.3117430226435,101.48578199052133,91.51132174828857,70.67798841495524,146.8117430226435,110.41495523959979,112.94865718799367,82.6535018430753,90.43233280674039,78.84254870984729,140.54160084254872,113.72353870458136,117.98578199052133,111.67877830437072,85.70221169036336,90.99341758820432,93.01026856240127,115.31384939441811,124.59083728278041,103.34439178515008,90.23959978936283,124.35755660874145,124.35571353343865,91.84597156398104,97.29331226961558,168.5963665086888,84.99183780937335,118.79120589784097,117.27856766719326,105.76856240126382,91.99631384939441,117.14955239599789,121.97077409162718,75.91100579252237,111.09715639810426,107.7635597682991,102.77751448130596,115.27066877303844,83.19483938915218,86.53975776724592,88.65560821484992,90.26119010005266,120.18378093733544,120.12796208530806,153.7306477093207
2022,,87.79462875197473,145.44049499736704,87.557925223802,106.04186413902053,127.08372827804108,119.56029489204845,106.24591890468668,123.53501843075303,137.47998946814113,105.00315955766193,79.66824644549763,107.96577145866246,98.64323328067404,89.68562401263823,76.35044760400211,155.35781990521326,62.35255397577672,89.99526066350711,102.6669299631385,88.93707214323328,68.04291732490785,167.43759873617694,96.21406003159558,109.51026856240127,116.47735650342285,92.37572406529752,90.3938915218536,108.65323854660348,121.67061611374407,112.08399157451291,120.34992101105846,89.03317535545024,106.65165876777252,103.07477619799894,104.82095839915745,101.43127962085308,124.57293312269616,105.53844128488679,136.1379673512375,114.33938915218536,114.33412322274881,82.09794628751975,112.29515534491838,121.61427066877305,100.56134807793576,101.89494470774092,125.08794102159031,119.56213796735123,110.6650868878357,101.50078988941549,96.59004739336493,111.34096893101632,110.61506055818852,135.88098999473408,116.85202738283307,155.89415481832543
2023,,91.9083728278041,97.2596103212217,108.87230121116377,137.1477093206951,139.59031068983677,109.53317535545024,111.09873617693523,106.39626119010005,115.2374934175882,110.43364928909952,124.06898367561875,126.92127435492364,94.56266456029489,99.76803580832016,76.86650868878357,138.88072669826224,85.5308056872038,104.20642443391259,127.49684044233807,77.94971037388099,109.71274354923644,170.57266982622434,122.73986308583466,106.50842548709848,101.12796208530806,101.14797261716693,79.77830437072143,84.72406529752502,103.40416008425487,111.06740389678778,124.23565034228541,96.48683517640863,120.54107424960506,113.3388625592417,109.79699842022117,135.08135860979462,115.83464981569247,113.1882569773565,134.6119010005266,117.23512374934175,115.39626119010005,69.12901527119537,113.7509215376514,113.56029489204845,100.442074776198,105.75987361769353,106.57661927330174,104.97814639283834,85.67140600315956,96.55581885202739,92.98104265402844,120.77856766719326,123.5618746708794,137.62954186413901,102.0242232754081,112.60005265929436
2024,,115.58425487098472,103.62875197472354,98.23117430226435,120.17114270668773,137.3754607688257,112.99447077409162,98.08083201685098,106.74486571879937,111.0434439178515,97.95734597156398,90.13638757240653,108.6853607161664,76.0308056872038,87.28120063191153,59.3783570300158,126.11427066877305,78.4391785150079,77.24302264349657,109.23117430226435,117.42627698788836,93.29515534491838,166.57977883096368,119.87230121116377,100.51184834123222,99.61822011585045,122.37282780410743,83.69483938915218,89.78804634017904,108.65086887835703,164.48314902580304,97.42390731964191,94.36782517114271,113.20036861506055,107.44339125855714,109.73038441284886,104.23064770932069,116.0308056872038,119.13928383359664,155.99736703528174,116.12690889942074,117.00026329647183,102.59689310163243,71.27935755660874,101.01369141653502,81.52501316482359,110.37045813586099,130.4431279620853,115.83464981569247,114.60057925223802,107.95260663507109,121.54028436018957,99.65402843601896,101.07293312269616,172.53054239073197,108.62164296998421,102.62822538177988
2025,,109.75144813059505,152.9702474986835,105.85466034755135,121.25302790942601,132.13454449710375,103.1477093206951,119.75065824117956,103.96287519747236,112.69431279620854,117.84465508162191,66.99552395997894,93.50947867298578,141.144813059505,87.43470247498684,87.4507635597683,128.71985255397578,108.19747235387045,100.77224855186941,77.61321748288573,120.08952080042127,110.2490784623486,106.82253817798842,108.30384412848868,101.05581885202739,112.93996840442338,99.22643496577146,93.63138493944182,98.15007898894154,123.6100579252238,124.36203264876251,112.24012638230647,109.33859926276988,133.12427593470247,128.88941548183254,111.95813586097947,100.12822538177988,146.34807793575567,102.65139547130069,127.96103212216957,111.69510268562401,120.78488678251712,86.41284886782518,115.57109004739337,101.15429173249079,98.49025803054239,110.85492364402317,125.88599262769878,132.1614007372301,104.82411795681938,91.13428120063192,96.31727224855187,90.51685097419694,110.10268562401264,104.59794628751975,94.7230121116377,151.10558188520272
2026,,100.1679831490258,143.253027909426,91.6911532385466,137.19483938915218,127.86729857819905,114.41811479726172,138.6024223275408,135.8638757240653,116.90547656661401,114.12480252764612,76.07345971563981,78.22538177988415,119.81806213796735,94.58557135334387,95.21800947867298,141.85781990521326,97.52501316482359,98.56266456029489,102.68694049499737,143.74934175882044,106.115850447604,144.59505002632966,114.69852553975777,106.12137967351238,111.35729331226962,116.72775144813059,96.40995260663507,107.19325961032122,113.98499210110585,117.75829383886256,111.83122696155871,92.30331753554502,124.34965771458663,117.03923117430226,108.41442864665613,104.53554502369668,160.82069510268562,119.12875197472354,128.29173249078463,118.88783570300158,114.7596103212217,84.33359662980516,116.88493944181148,137.4033701948394,92.37177461822012,104.05450236966824,122.05660874144286,132.65139547130067,124.68272775144813,98.04870984728805,100.79805160610847,98.60768825697735,108.95260663507109,103.08820431806214,101.17719852553975,151.08636124275935
2027,,121.32543443917851,138.65429173249078,72.69036334913112,123.67719852553975,113.40337019483938,119.51790416008426,116.96682464454976,118.83228014744603,135.62796208530807,110.23880989994734,88.32122169562928,61.61400737230121,102.5376513954713,90.15165876777252,95.10874144286467,127.69562927856767,85.91916798314902,98.22143233280674,107.97525013164824,94.62269615587151,110.59662980516062,133.91943127962085,99.10558188520274,118.50842548709848,121.39152185360716,130.32306477093206,108.63796735123749,102.58267509215376,115.46471827277514,134.05344918378094,99.54081095313323,81.77145866245392,115.20405476566614,132.3385992627699,93.37282780410743,124.41232227488152,174.40310689836755,113.55265929436545,121.50105318588732,99.16245392311743,118.43101632438125,92.29594523433386,129.83701948393892,119.52738283307004,90.10874144286467,96.57872564507636,145.44339125855714,64.39125855713533,110.18852027382833,115.85176408636124,102.05423907319641,126.73038441284886,120.31832543443917,93.0057925223802,101.75724065297526,177.39073196419167
2028,,96.27198525539758,112.67324907846235,105.644813059505,104.71537651395471,138.32069510268562,90.08820431806214,116.90416008425487,95.69036334913112,114.71695629278568,109.63270142180095,70.78251711427068,96.27593470247498,128.32174828857293,104.57582938388626,98.39836756187466,110.81937862032649,82.26092680358083,110.56714060031595,102.00078988941549,95.04081095313323,78.41047919957873,125.4652448657188,127.51606108478147,98.30068457082675,109.83754607688257,111.55924170616113,93.5550289626119,91.123486045287,122.90705634544497,116.44128488678251,109.23854660347551,90.76434965771459,118.92917324907846,107.6582411795682,110.59610321221696,129.06424433912585,150.2654028436019,117.44312796208531,116.70589784096893,111.15113217482886,109.06345444971038,101.33412322274881,105.12295945234334,94.7711953659821,99.21484992101105,108.0347551342812,127.32859399684044,91.69352290679305,109.78488678251712,98.02238020010532,83.31095313322801,123.23828330700368,106.61216429699842,116.43259610321222,80.39336492890995,148.74486571879936
2029,,124.12032648762506,132.0589784096893,115.66824644549763,142.5589784096893,136.1050552922591,92.55186940494997,121.22564507635597,110.71827277514481,130.47735650342287,106.5347551342812,85.62216956292785,106.01395471300684,102.50131648235913,88.82701421800948,89.46182201158504,135.13191153238546,92.6408636124276,124.68351764086361,138.60979462875198,80.26171669299632,112.92153765139547,165.53212216956294,93.21827277514481,92.8214849921011,104.01184834123222,104.86914165350184,99.20826750921537,101.26750921537652,116.90310689836757,123.26803580832016,112.04318062137968,111.48341232227489,118.24986835176409,123.68615060558189,107.24697209057399,119.1292785676672,121.85992627698789,137.94839389152185,130.4518167456556,106.80779357556608,98.95971563981043,89.19325961032122,115.51132174828857,109.49657714586624,76.48499210110585,114.35044760400211,111.45286993154292,73.09741969457609,124.01895734597156,104.46313849394419,86.90100052659294,130.9333859926277,155.43101632438126,148.58557135334385,97.67324907846235,134.59215376513956
