year,ref,rcp26_lower,rcp26_middle,rcp26_upper,rcp45_lower,rcp45_middle,rcp45_upper,rcp85_lower,rcp85_middle,rcp85_upper
2020,159.2230121116377,156.0658767772512,166.22586786567828,180.30458135860982,154.95023696682463,170.38333458712606,185.9236440231701,160.07517114270672,170.90751723893757,183.27140600315954
2021,,153.494523433386,168.69844452545874,183.96203264876252,162.1321748288573,173.71510067955563,189.56582411795682,152.94989468141128,169.54482024031788,195.44046866771987
2022,,157.50110584518168,178.1275857283286,196.6003159557662,158.81569246972091,169.62784982608105,177.88414955239602,156.99441811479727,168.91025180717125,181.73541337546078
2023,,162.7143233280674,174.19951796492083,190.31000526592945,151.54318062137966,171.59382958666208,190.00131648235913,153.4432596103212,172.19380485443529,193.05284360189574
2024,,162.44375987361772,173.27551476107598,187.91595576619272,162.90389678778305,175.88110283607915,186.92469720905748,161.2518167456556,174.7432979079898,186.46361242759346
2025,,151.25286993154293,167.66581601652692,182.9318588730911,160.83070036861506,170.7497931242007,179.28014744602424,156.6358346498157,171.96379673512376,190.38272775144813
2026,,156.74228541337544,169.34179932758133,182.8740916271722,158.39652448657188,175.41425938463854,191.9815692469721,155.8110057925224,172.74257982670306,187.16621906266457
2027,,165.8879936808847,174.82792562887352,187.56893101632437,161.2045813586098,177.92870307680735,197.78988941548184,159.75547656661402,174.18175834171095,186.32061611374408
2028,,153.93844128488678,164.8062137967351,178.09125855713535,153.39731437598735,166.67381328518763,180.54502369668248,152.14115323854662,164.49654124180188,174.98188520273825
2029,,162.77667193259612,174.50332158625997,189.96498156924696,159.00394944707742,169.93495323353142,184.95418641390208,154.1511058451817,168.81443582746894,178.99568193786203
2030,,160.90589784096895,183.5009519180135,213.4389152185361,146.18773038441284,164.18365555806318,188.4265402843602,154.63649289099524,169.26867011345684,178.36777251184833
2031,,162.16987888362297,178.61550613683315,193.53322801474462,152.90231700895208,167.3934276185461,181.76408636124276,151.57843601895735,167.309612714826,183.31147972617165
2032,,161.2026329647183,177.74785970563642,203.23528172722487,158.44181147972617,171.03217232127184,189.07109004739337,160.21771985255396,175.77865144334342,199.43317535545026
2033,,162.27877830437072,182.60468789157483,215.440583218088,154.80437072143232,173.6758444293989,192.61269088994212,152.96650868878356,177.02124323806788,197.02203791469196
2034,,156.618588730911,168.79479078057278,183.0589784096893,157.81832543443917,175.79623360666014,194.45155344918382,155.82825171142707,176.89819402556367,194.5748551869405
2035,,153.64170616113745,172.56266654345742,182.7140073723012,149.79568193786204,167.18829459113823,185.54160084254872,154.99399684044235,168.57880942122645,188.50473933649292
