year,ref,rcp26_lower,rcp26_middle,rcp26_upper,rcp45_lower,rcp45_middle,rcp45_upper,rcp85_lower,rcp85_middle,rcp85_upper
2020,245.48683517640865,243.0569773565034,250.0216105642646,254.05176408636123,243.83359662980516,250.94908347751948,260.4731437598736,246.36740389678778,251.87695677150657,257.56616640337023
2021,,228.88541337546076,248.44466723376675,276.14791995787255,234.14375987361768,259.78137616289274,280.87203791469193,228.85389678778304,255.63381444779546,306.6855713533439
2022,,241.41406003159557,270.1542107181918,315.6038441284887,232.28330700368616,252.0355951754056,265.69536598209584,229.1855186940495,258.04507156876826,295.7619799894682
2023,,234.32095839915746,267.5264916757808,291.00537124802526,229.1003159557662,260.01879435291755,279.95260663507116,233.80805687203792,257.09689310163236,281.79731437598736
2024,,230.8172722485519,259.43946206505456,310.45697735650344,237.42101105845182,259.6507685749392,284.49578725645074,235.83944181147973,252.2068433146632,276.1541337546077
2025,,232.860084254871,257.22971604488197,284.6543970510795,251.5192206424434,265.412021364628,293.0223802001053,232.96292785676673,257.95223562640626,282.49981569246967
2026,,240.09952606635073,259.2317616559323,273.6472880463402,227.60610847814638,259.30489731437603,294.22169562927854,238.10647709320693,260.4212982909665,295.42261716693
2027,,251.48683517640862,266.40260055899864,287.9356503422854,231.45418641390205,255.37473356904636,279.66666666666674,235.16200631911533,258.1113025994543,289.91395471300683
2028,,240.72206424433912,263.4194515331956,283.5396524486572,245.06319115323853,256.99943579327464,278.074776197999,221.75321221695629,253.79116999377663,284.61637704054766
2029,,223.56092680358083,258.1545145218131,299.8091627172196,228.4352290679305,264.3885879786354,308.08241179568194,231.40405476566613,260.95832734932253,291.62037914691945
2030,,234.62496050552923,263.25728116012476,297.19146919431284,217.14402317008953,250.08893151784147,282.10452869931544,226.2417588204318,250.76676719804684,271.06716692996315
2031,,236.4402317008952,268.8293838862559,317.15381779884154,239.03159557661928,262.1171920058176,298.6026856240126,219.05816219062666,256.93808942505626,281.5718272775145
2032,,236.3931542917325,266.3442500101268,322.49505002632964,222.43891521853607,261.0610220918278,307.2048446550817,230.25908372827803,262.0510795155344,287.4445760926804
2033,,221.9884149552396,260.4970024709361,326.87877830437077,234.27014218009478,266.3405426414905,299.5473933649289,234.83499210110585,264.29892527167414,302.7795681937862
2034,,223.82027382833067,250.0582087738486,270.28146392838335,229.3715113217483,261.93946688733405,298.4670879410216,246.33385992627697,269.8547201876586,291.61711427066876
2035,,205.43206951026855,269.8023858711062,312.94718272775145,237.88572933122697,255.18910955640817,269.1624539231175,222.73723012111637,255.24353726841875,290.35165876777256
2036,,217.19842022116902,262.2867703649694,295.27003686150607,241.96366508688783,261.7501943378721,286.1182201158504,230.1654028436019,264.55044521039787,296.31645602948925
2037,,241.93665086887836,266.64758779924654,286.57967351237494,248.71642969984202,270.79954361944885,305.79199578725644,244.7662980516061,268.8954234285988,298.52106371774613
2038,,239.79657714586625,266.47245513833195,302.64075829383887,253.69167983149026,270.4363073296723,290.4934175882043,250.72037914691944,272.5996337785437,293.3356503422854
2039,,244.99784096893103,282.458257382428,318.7091100579252,246.9102159031069,266.63792973745575,290.9544497103739,263.7028962611901,286.4003901574992,304.2579778830964
