day,mean,min,max,var
1,-1.9619600275406874,-3.1312413188504373,-0.7298357559100815,vas
2,-1.8693869049625473,-2.9225427130390944,-0.5732259786237508,vas
3,-1.8367394140257625,-3.0684705157360463,-0.945365970718488,vas
4,-1.8647870479832787,-3.339821905083435,-0.5534162221661931,vas
5,-1.8318997054226753,-3.358231712554429,0.14711890687594567,vas
6,-1.8335426543388464,-3.3862816002982354,-0.1696218945965809,vas
7,-1.8463146821488245,-3.43502948916348,0.6695310099479018,vas
8,-1.921529983461468,-3.6790891531899135,-0.2567222258582022,vas
9,-1.8634720686551103,-3.073368591217996,-0.2954177591146829,vas
10,-1.8511618672904222,-3.073235499130743,0.10180089660876838,vas
11,-1.8278461996519726,-3.150160378575682,0.015098030561983609,vas
12,-1.788955794487806,-2.9046288119147223,-0.16598274143896719,vas
13,-1.8897570086753845,-3.3956848642412933,-0.826475841033319,vas
14,-1.7393134581359084,-2.8163201416856793,-0.5170280974786223,vas
15,-1.6992971417257698,-2.612783585634136,1.019657415837132,vas
16,-1.8030615251535673,-2.715667771751611,-0.3992467230962249,vas
17,-1.858878465327834,-3.692090610067205,-0.004344064256713885,vas
18,-1.7790048647422134,-3.8092050715450623,-0.2943257376873904,vas
19,-1.7494976535053284,-3.0839303844430597,0.20242362756026602,vas
20,-1.7972489961447307,-3.0282325185704178,0.0902054890716188,vas
21,-1.8496841935391288,-2.702313684433458,-0.6660541262042011,vas
22,-1.9819742642386928,-3.241719312846622,0.1848675518021928,vas
23,-2.2060886870958027,-4.044967235566347,0.5039622384509563,vas
24,-2.1664839904288935,-3.5244201883164816,-0.5691447300939682,vas
25,-1.9536236399287152,-3.0550677568573668,-0.16912559262904814,vas
26,-1.9100177337131858,-3.404048800900715,-0.38568319842598486,vas
27,-1.910394752147674,-3.1379833509796224,-0.5850196983658102,vas
28,-1.9544845191423554,-3.4990431334369037,-0.263457900406205,vas
29,-1.969990756590459,-3.6673727242795175,-0.7759655920576776,vas
30,-2.105892867940972,-3.2687188531440796,-0.5607577674981533,vas
31,-2.084144616171236,-3.282018496878812,-0.49363445343573775,vas
32,-2.1011847726696797,-3.1075440825902785,-0.5274656171967856,vas
33,-2.0562301406416035,-3.271475454172429,-0.8829690399469708,vas
34,-1.9862510243137832,-3.246614549369041,-0.3573882821188693,vas
35,-1.9458396449082571,-3.051034606124387,-0.8082688647841961,vas
36,-1.9658818167355567,-3.242091782534395,-0.5085511309822756,vas
37,-1.9725740935116536,-3.3991565818099674,-0.4398973306351397,vas
38,-1.8685429082128608,-3.014158314865049,-0.20837188204968055,vas
39,-1.8371484953070525,-3.6756967465854227,0.06571304041629315,vas
40,-1.8812504740003182,-3.301647259838074,0.15225744404214392,vas
41,-1.8354972608429347,-3.3743464540584935,0.07039218194733066,vas
42,-1.8461012316631056,-3.2526494421073338,-0.32177250760913223,vas
43,-1.9000283879671316,-3.559279412125668,-0.17615259251589063,vas
44,-1.793991600618366,-3.0148376153360914,0.48911632943070843,vas
45,-1.8684154967066982,-3.5012528559540614,-0.17683269208262814,vas
46,-1.9369294037440008,-3.5046684301609012,-0.3192245079678135,vas
47,-2.0525889189631306,-4.475887924256581,0.6632378418910463,vas
48,-2.0958143593369596,-3.4444433668142973,0.8496414316183208,vas
49,-2.2348932327959528,-3.879305211268017,-0.39569542771027516,vas
50,-2.2389022308239483,-4.191663448447868,-0.5656244293231726,vas
51,-2.215383895095315,-4.420789176936164,-0.47269857222309614,vas
52,-2.244045368912272,-4.8286807669750305,-0.6469480714803086,vas
53,-2.385571436709774,-3.8098046498295606,-0.4455844738564119,vas
54,-2.187332469420258,-3.382842302146452,0.21193325246184644,vas
55,-2.1751554435149623,-3.9325238311116166,-0.9841814209156936,vas
56,-2.287828011400327,-4.383900621645847,-0.8057549815118314,vas
57,-2.213383849699461,-3.5464210203596753,-0.7874110939389923,vas
58,-2.0098730844990977,-3.828985806421404,-0.8783707326329164,vas
59,-1.7649258919905797,-3.75743790675539,0.27992941287998374,vas
60,-1.862176274565736,-3.3157863761180293,0.025891860998973653,vas
61,-1.8188672720067254,-3.6468996345069633,0.25671287015198413,vas
62,-1.6473801725130808,-3.535848442082653,0.5254345241878755,vas
63,-1.679816176459823,-3.5033024657659144,-0.07411233401773536,vas
64,-1.6803918601505219,-3.0964360653532115,-0.25301204334978405,vas
65,-1.7612540619446064,-3.6342062662913226,-0.005444139524262013,vas
66,-1.6131824839068216,-2.6909046311879212,0.22784627448075065,vas
67,-1.711373280174954,-3.382335438528297,-0.34251970715999475,vas
68,-1.9731638957023863,-4.096307266996727,-0.374080071712497,vas
69,-1.812246960859659,-3.5320444578607,-0.045038263820233286,vas
70,-1.758463886508437,-3.309494632884969,0.190322362392162,vas
71,-1.9160681977302871,-3.618979165068461,-0.3074624752713036,vas
72,-1.858835065324828,-3.7994339772598633,0.12548723836700182,vas
73,-1.9270815267795105,-3.9204429311014612,0.09227524717003499,vas
74,-1.9562484314285007,-4.376966351663847,0.06397968157990663,vas
75,-1.8904976622239595,-3.507636649391456,0.011050925701602916,vas
76,-1.88873626466561,-3.5013151460927303,0.41712662012148843,vas
77,-1.8529920964898516,-3.437967511680591,0.48971259561291225,vas
78,-1.812580044776269,-3.4882154314887344,0.40361494868675096,vas
79,-1.791041425114188,-3.932013897817357,0.6706380775066485,vas
80,-1.7159644647049284,-3.9222619276317605,0.23876883363584467,vas
81,-1.782340087704679,-4.150412125595351,0.3590156880937052,vas
82,-1.8479074122286707,-3.8419984843500203,0.01309596819960145,vas
83,-1.6993393407831867,-3.5788882590226705,0.24829403267688196,vas
84,-1.65440389389833,-2.9922295056193287,0.9191438488620849,vas
85,-1.6353925879678468,-3.262502948436665,0.5236529793248252,vas
86,-1.322114156790273,-3.2714180228815506,1.4055514410954892,vas
87,-1.275581522826304,-3.18612724272098,0.7440117917002919,vas
88,-1.3880709852245192,-4.021952957746529,0.8330112200644655,vas
89,-1.4133714130494524,-4.158334393832199,0.6548401770524026,vas
90,-1.6370558861961428,-3.5622483568477223,0.6339234475238271,vas
91,-1.5670183513531255,-3.503320150304867,0.43226252427377415,vas
92,-1.6710737304433423,-4.523369013200995,0.6507119211555739,vas
93,-1.6816650123379737,-4.159115776676031,0.10174926007002867,vas
94,-1.4705177490479322,-3.618062882187695,0.4432321482016962,vas
95,-1.3903473013353427,-3.31004941601984,1.3836955796157984,vas
96,-1.453175794587979,-3.9158259582667565,0.6846406283937617,vas
97,-1.4167803943286084,-3.7150036203380887,0.8053482338362218,vas
98,-1.4030962406293193,-3.827467686163719,1.2939546998270341,vas
99,-1.4826744580960503,-3.652916362696563,1.3761893056384207,vas
100,-1.381289022517198,-3.069465432624348,1.2303013681997792,vas
101,-1.2372710877488877,-3.425784298012581,0.9391327604493496,vas
102,-1.251624440720665,-2.999924051457473,1.8013913498571563,vas
103,-1.0908493470476328,-3.276120911098399,1.3972113651330507,vas
104,-1.3109885838095134,-4.5036213244942385,1.0032157950313252,vas
105,-1.474843332512246,-3.226754841040305,0.6384451092589905,vas
106,-1.5076558268202962,-3.498020441001215,1.143028970445408,vas
107,-1.547813630258433,-2.7379959595772863,0.9292785301378179,vas
108,-1.2803322969549649,-2.8486308315722955,0.4510852831232296,vas
109,-1.2059506149970463,-2.7889935030919744,1.1564933775054769,vas
110,-1.1784394368741913,-3.553616742831013,1.4540792752922538,vas
111,-0.9919245294125474,-3.115651580275542,1.3932385736461175,vas
112,-0.8317785179700461,-3.3266562049913992,1.3479971109166011,vas
113,-0.9216289332073031,-3.28053841856543,0.9771479925270916,vas
114,-0.9082938083542171,-2.853536450511856,1.3688575805053267,vas
115,-0.961717442010488,-2.9824883724467197,1.0937319041633073,vas
116,-1.0821800717725398,-2.439124439007454,0.9468906850580594,vas
117,-1.0768938895693656,-3.6816995908587407,0.8856770527767216,vas
118,-0.693816674671273,-2.8894050081656775,1.366397772917362,vas
119,-0.6846047217453657,-3.5580467898299113,1.9776479797500972,vas
120,-0.7810835826753688,-3.024142767061639,0.8116559148472551,vas
121,-0.6661661656232638,-2.4813526589690875,1.3175359806820144,vas
122,-0.615625781814476,-2.9236605817195116,1.6925009088450433,vas
123,-0.65640227171169,-2.939668763919789,1.3817817655398907,vas
124,-0.550302629727888,-2.9783077936480797,1.3844520943939627,vas
125,-0.4754866427483517,-3.2027150970936216,1.3104486553385273,vas
126,-0.5480322558572942,-3.388039499433259,1.065770294068178,vas
127,-0.3089239742000776,-2.4601374230791455,1.8523775180544975,vas
128,-0.3215702810501589,-2.661355819419656,2.6434027633910766,vas
129,-0.3072191584462857,-2.4003104031327034,2.2985631425248148,vas
130,-0.16305288625722886,-2.3456701508464692,1.582413561122363,vas
131,-0.10171501472202236,-2.6220572377064886,1.2013720634657732,vas
132,-0.327872851493327,-2.577166721210055,1.6159736043612547,vas
133,-0.460161690426444,-2.438832639052637,1.8177377913926167,vas
134,-0.2513600001845407,-2.6007195979808833,1.4147729312111943,vas
135,-0.19341659112444737,-3.009025405244326,1.7661372306733878,vas
136,-0.056215046415031576,-2.967337925572075,1.6075694577730222,vas
137,0.1718035971488752,-2.5199119886368453,1.8000213682031014,vas
138,0.029635758056747074,-2.218983873382691,2.026689962457739,vas
139,-0.1770149763194431,-2.691276052822543,1.555384206760212,vas
140,-0.01075169632764205,-1.359158863969758,1.4932033751095484,vas
141,0.1545154088112735,-1.5580597025243135,1.5716896019111761,vas
142,0.005872189649054232,-1.680277629143569,1.7344468776667716,vas
143,0.15860422073153072,-2.506437789335933,1.8665080861545849,vas
144,0.24041612248564398,-1.996868014759105,1.820057234076843,vas
145,0.41595276870592196,-1.5141399660157124,1.8280821904491449,vas
146,0.727962347827474,-0.9631908696880602,1.899572147113739,vas
147,0.8586683291315943,-0.6473158242468425,2.262836321481936,vas
148,0.4686895166042915,-1.2803222099000222,1.7477520153372752,vas
149,0.19028441040378138,-1.9598753228549692,1.7697275918010869,vas
150,0.17918869680199206,-1.5262509406275957,1.5817980881461935,vas
151,0.33030359830540446,-1.3258410091792678,2.2841941274360438,vas
152,0.6161882968361874,-1.284567813556184,2.180083104230903,vas
153,0.4746781464624555,-1.6198618132154838,1.9612991955083632,vas
154,0.49085847101874674,-1.0900964104015511,2.055891450304233,vas
155,0.6000143880682914,-1.8183339390679996,2.6041273441199424,vas
156,0.5225900273861952,-1.062035697835925,2.1109254724589066,vas
157,0.44561858530027726,-1.740759511775563,1.9552535762159557,vas
158,0.5942497167486513,-2.2811234685217143,3.0157641951726037,vas
159,0.7191166527526102,-0.8554272145953921,2.0769052247839945,vas
160,0.6779511139580155,-0.8979306867224711,1.8284656646171995,vas
161,0.6175983460234167,-1.1672490393220654,2.603404676188298,vas
162,0.5869574881465519,-1.4066417712208656,2.2606113405715544,vas
163,0.5645843105308985,-1.2629363941663658,1.9432162517876677,vas
164,0.6946557554469989,-0.7632132452792323,1.9332816875103573,vas
165,0.8393578186724824,-1.0438999063651195,2.3508327652458623,vas
166,0.7906474769055541,-1.0722576882242008,1.9875222736779639,vas
167,0.7908823975182477,-0.6281977105539178,2.051960108761794,vas
168,0.940571908528818,-0.5211683383025788,1.7635692177890754,vas
169,1.0989658853120974,-0.11228927953283875,1.9397631329244147,vas
170,1.033999675233141,-0.6914127437909038,2.1079285333526627,vas
171,0.7451061453941727,-0.8517426643391839,2.010937864632889,vas
172,0.7030964251584516,-0.8937822435723257,2.3592156685390515,vas
173,0.8357203004530933,-1.5121101125558605,2.487607892139983,vas
174,0.7450281980582317,-1.5635427118607408,1.8045887977141915,vas
175,0.7831194286461759,-1.1051704012150696,1.8595011302817253,vas
176,0.7455478803739725,-1.3779311291176344,2.633808412228749,vas
177,1.028187269214442,-0.2925293462856984,1.9420956612346216,vas
178,1.2756532219908931,-0.6702523425987794,2.73054106879712,vas
179,1.3749877589364097,-0.22154889868343608,2.794191480494705,vas
180,1.0812054926976384,-0.5267186670625721,3.0514936044214336,vas
181,0.743843288719776,-1.2506394313442106,2.2568409555024753,vas
182,0.9937430586688341,-1.0045078804631422,3.1543149164379107,vas
183,1.2728814044662982,-0.5545655082666888,2.5791249465410644,vas
184,1.3020524739738142,-1.8311561914301864,2.9583879718003026,vas
185,1.0754043524712207,-0.7287708786035405,2.8974128981967717,vas
186,1.133938040288219,-0.3030696258997056,2.625707207671624,vas
187,1.0048246822291704,-0.2959606409484644,2.677821348756333,vas
188,1.1380191092684078,-0.4086367638887219,2.419980929419981,vas
189,0.7838520298715141,-1.1985015014878735,2.045440917234772,vas
190,0.9121395548847804,-0.26588826746546285,2.0208370809957774,vas
191,1.1845315017006082,0.44102225312549964,2.520415881196605,vas
192,1.2975927935824443,-0.41204686122447687,2.97837018149498,vas
193,0.7388384366283292,-1.4299418265976165,1.5971457927445427,vas
194,0.6001410166598287,-1.2416305275803614,2.1633436034361626,vas
195,1.1320980504736482,-0.6095843097857637,2.712465678794035,vas
196,1.3631398685662366,0.2950713703464413,2.196357625089709,vas
197,1.1470909198740502,-0.93420094268003,3.206223619137868,vas
198,1.1161657678531005,-0.4731523497820066,2.232578568796048,vas
199,1.0695378200884806,-1.1157011986496144,2.6368519252969587,vas
200,1.1846209693387615,-0.6951800348257386,2.4820103276851073,vas
201,1.090372128754227,-0.8390506040844712,2.146743905171675,vas
202,1.198105768154985,-1.0892290485325902,3.3818352146641963,vas
203,1.2925217023799764,-0.00747789467801123,2.7146212665853042,vas
204,1.6930747003269508,-0.5147179235339516,3.253352090006718,vas
205,1.185749787226126,-1.2477375494208616,2.09010479840312,vas
206,1.0487094819962128,-0.2449283434058222,2.228465255719441,vas
