day,mean,min,max,var
1,-1.7100431645504446,-2.8535585558703955,-0.8469835966032742,vas
2,-1.6699857382906784,-2.735413174341793,-0.5439044247082888,vas
3,-1.7210376447519191,-2.797154129284561,-0.3681565592185227,vas
4,-1.7898231895981322,-2.654770902659864,-0.5914678770748308,vas
5,-1.788868455199362,-2.490374920982582,-0.7683105514557212,vas
6,-1.7571436432404093,-2.644000990350368,-0.18420486349978032,vas
7,-1.7765190832133606,-2.387463594914984,-0.4839038467375803,vas
8,-1.6944280774244764,-2.447559067377137,-0.5219148709319331,vas
9,-1.6908949374254227,-2.5752189450231815,-0.41156420435004204,vas
10,-1.78162280594662,-2.6610240509478307,0.20550599500513514,vas
11,-1.917997446356956,-3.04076280930709,0.33101369753375176,vas
12,-1.8364316865638828,-3.7562354812458354,0.13738603547568964,vas
13,-1.7844438875094213,-3.134503637568016,-0.026987879000424597,vas
14,-1.8188135350255166,-3.147247464019456,-0.06482269771999667,vas
15,-1.9782610364456097,-3.2334316168226196,-0.27902988652857413,vas
16,-2.1297661615041856,-3.6605112372510105,-0.7748063209283178,vas
17,-2.003123126631059,-3.908857647775397,-0.24426650281004714,vas
18,-1.9035226827311138,-3.1470059153315306,-0.9446974154368659,vas
19,-1.851435551314639,-3.7724015879221526,-0.5269026264179393,vas
20,-1.7961320660399172,-3.558950841234742,-0.17390995824518388,vas
21,-1.9251714130032733,-3.6921995329685022,-0.8212096311811025,vas
22,-1.9001441713338754,-3.1771204763836787,-0.2774017065990379,vas
23,-1.8737404532072177,-3.3022803775880636,-0.02249070007908671,vas
24,-1.9698339896186636,-3.2182448484358703,0.22736831293415147,vas
25,-1.946718835509416,-3.070043682292,-0.3459929398867158,vas
26,-1.887662426295946,-2.972644879370034,-0.599277477796704,vas
27,-1.9155863390014152,-3.382654999150773,-0.5413233272547204,vas
28,-1.8810879048211966,-2.8481668151207504,-0.7418996569932814,vas
29,-1.9213785435169235,-2.819267945145038,-0.24391344437432902,vas
30,-2.047328761580333,-3.435492032092002,-1.0025414691032717,vas
31,-2.004889408121274,-3.2938706625402827,-0.7201347919304808,vas
32,-1.933135889260027,-2.9304284573049304,-0.3776388071272703,vas
33,-1.8324301926965725,-3.8907898963014143,0.19480253739061082,vas
34,-2.037718407804897,-5.534576468566517,-0.4221150412162705,vas
35,-2.141794718207122,-3.9100036381335252,-0.5138625395225627,vas
36,-2.243179621251153,-3.9297515113089454,0.026458771043646356,vas
37,-2.2461035767396798,-3.56652135929161,0.11815937757327591,vas
38,-2.3561900243457803,-3.8723533975114965,-0.3334656306752106,vas
39,-2.3579490226361495,-3.6668297388791777,-0.721071208704337,vas
40,-2.149103913591242,-3.4764795034493194,-0.6523392891189014,vas
41,-1.9598122694540174,-3.0243044897422364,-0.6470263093791946,vas
42,-1.9159203135770695,-3.223752817947615,0.25497800603328186,vas
43,-2.1411189201988936,-3.8892427654117276,-0.25387559827729805,vas
44,-2.1840588993935754,-3.483098109015696,-0.30749983836940903,vas
45,-2.086318328996263,-3.5182596613366366,-0.2751801707573271,vas
46,-2.082844807543698,-3.595900276731577,-0.09468904724658667,vas
47,-1.7802376069820027,-3.6331300760602194,-0.1434040699808046,vas
48,-1.7718231456937974,-3.8790124411441878,-0.1024846431887924,vas
49,-2.031975686668608,-3.221939204351831,-0.441336970010092,vas
50,-2.0291734476187577,-3.266956692249756,-0.4061487426327599,vas
51,-2.0353347154360724,-2.994457862513579,0.2142223640310195,vas
52,-1.9997918950735003,-3.658215928098286,-0.5790615373225139,vas
53,-1.7361505641399453,-3.219283569979938,-0.5928856515713059,vas
54,-1.7263512189615269,-2.9217429973876303,-0.29421171656758344,vas
55,-1.7571737121970803,-3.4628112852664032,0.5433569024205089,vas
56,-1.84483703478179,-3.6173959124045787,0.571144203290169,vas
57,-2.1595074414964515,-4.779423300175091,-0.05906860079776993,vas
58,-2.43610610523873,-4.391664175004741,-0.044769462156501745,vas
59,-2.5291902749477355,-4.107318581093339,-1.0133388627915725,vas
60,-2.325921779582438,-3.6914277364636683,-0.785576150822326,vas
61,-2.161247691432781,-3.7067590535772457,0.1446261918251048,vas
62,-1.9605822551244232,-3.5358450942961914,0.010481730597992544,vas
63,-1.7958866507815148,-3.5233384182263934,0.6122792810502389,vas
64,-1.912974462285138,-3.4782730727082263,0.05754352448189349,vas
65,-2.061583117212235,-3.940764279272087,-0.5354916916876432,vas
66,-2.144084575254987,-3.2414998012263165,-0.30099158343638643,vas
67,-2.12121186620596,-3.8979306355002126,-0.37880888323843775,vas
68,-1.8043088648869203,-4.073140860826291,-0.2928231966723164,vas
69,-1.669140600223771,-3.3426129444300416,0.006520982923585423,vas
70,-1.676964424237231,-2.978484168185057,0.17947100944417316,vas
71,-1.7715576992901274,-2.9526489731667964,-0.600412137066137,vas
72,-1.6555047925645487,-3.328830092193309,0.023020439517717674,vas
73,-1.6992340310171945,-4.0708325740981675,-0.1430276129175274,vas
74,-1.7400856923219323,-3.6258555154339462,-0.1517517793070999,vas
75,-1.8721905949371838,-3.5978275483738313,-0.3932418819894773,vas
76,-1.9760907305365738,-3.9035460701385603,0.4657591596456332,vas
77,-1.990686729199067,-3.8901067837562606,0.15368217516058175,vas
78,-1.754404330108414,-4.39029434742526,0.2885447123223205,vas
79,-1.5919117800961575,-4.151174671709464,0.3088533775033374,vas
80,-1.7504340827825868,-3.6906313841910947,-0.04785077722130532,vas
81,-1.774089846597931,-3.2626471556476373,0.5866942763358316,vas
82,-1.4990868046246342,-3.1700338198481566,0.957212793552817,vas
83,-1.2777406330853525,-3.4768087151517775,0.4204457561885583,vas
84,-1.312063166999526,-3.461253661412414,0.9009648534936934,vas
85,-1.599719212655432,-3.5780163796504154,0.5825255282893629,vas
86,-1.5368228891947768,-3.718098944853268,0.7657401909285285,vas
87,-1.4505427725830065,-3.791196456641025,0.29029995545767084,vas
88,-1.4696552785824033,-3.622521990818236,0.7781545681505354,vas
89,-1.6092025839236657,-4.174616435266302,0.20720093449766047,vas
90,-1.5707100698072116,-3.6047466218444915,0.7873131963229125,vas
91,-1.4720854071708502,-4.193976331662106,0.42609515113833024,vas
92,-1.7457045658383301,-4.048503688173971,-0.2879492858580252,vas
93,-1.7399743882097989,-3.2774252337571665,0.31054618904427156,vas
94,-1.4972277349627847,-3.7508191353595612,0.7884747732930275,vas
95,-1.439272244658742,-3.027294794812395,0.5671555751654911,vas
96,-1.5094817332339965,-2.9221752376093773,0.06347077690053886,vas
97,-1.4924927898126679,-3.2959029378020763,0.22763014658548594,vas
98,-1.5144428621969983,-3.1034647733477856,1.304190836837057,vas
99,-1.5708148797879526,-3.4496577600854157,1.2104497455974874,vas
100,-1.29321227096677,-3.4810458767413825,0.9618936471619247,vas
101,-1.2787903109175938,-3.2838857544371507,1.337695580141833,vas
102,-1.2522287171394662,-3.091673889363802,0.9652269806000153,vas
103,-0.9916157485831234,-4.032059135443972,1.263396598276173,vas
104,-1.1541243039282352,-3.998366488437316,0.4689737291302639,vas
105,-1.1971384021940414,-4.127276717214076,0.9860703981492572,vas
106,-1.1709419121800906,-3.841890056639124,0.9725809662744276,vas
107,-1.2117526968177614,-2.8870151205330736,1.108350747017424,vas
108,-1.3580021163989455,-2.8352672544022903,0.544328572455754,vas
109,-1.30900454172305,-2.71811437476693,0.7880510793501607,vas
110,-1.1579458275172338,-2.7623484119145862,0.4204608628749829,vas
111,-0.8419176697776181,-2.5225743945670263,1.1720204122889817,vas
112,-0.8043923732822035,-2.583737467102047,1.2930162436847956,vas
113,-0.8362947228059153,-2.652364017538385,0.8774999444904823,vas
114,-0.8049905452715062,-2.970051502980108,1.4291439184361245,vas
115,-0.9515457251791337,-2.844022473567023,1.2365765328417757,vas
116,-0.9516908997389478,-3.082144032427398,0.5647508950095868,vas
117,-0.8047412136453119,-2.788958161771914,1.0272676680461652,vas
118,-0.9255902662807416,-2.617830944594183,0.6957654546175192,vas
119,-0.8614356702841198,-3.885381053825801,0.7997115759520923,vas
120,-0.7026076243442456,-3.409071134964392,1.5220625377909711,vas
121,-0.6590073161471437,-3.2200791394027632,1.86533018441621,vas
122,-0.6197563113733822,-2.7050720856582022,1.4694761500828406,vas
123,-0.3843352790638446,-2.0404720790742106,1.3627698299127828,vas
124,-0.23476703845222882,-2.445229139549899,1.433011178049339,vas
125,-0.197816094671411,-1.8246582221281507,1.3695347449253243,vas
126,-0.29467296028171147,-1.8297197222435495,0.8695228569225222,vas
127,-0.3279348522571757,-1.5241753846388988,1.5565262987930497,vas
128,-0.35413391282392426,-2.2471373261552126,2.058020357734627,vas
129,-0.3596323639005761,-2.0725012900253383,1.7857504430139162,vas
130,-0.29540221560421487,-2.244748945403354,1.8019166945274618,vas
131,-0.2941452847007574,-2.153827816997809,1.2461681054229081,vas
