day,mean,min,max,var
1,-1.965689933952594,-3.213814331955698,-0.6239010337920539,vas
2,-1.915795012080939,-3.0398094519082086,-0.5915102675293565,vas
3,-1.9753672856940199,-3.1576292753178454,-0.8587830666903415,vas
4,-2.0185268711475723,-3.9070208417163155,-0.4469838332363534,vas
5,-2.015761020107989,-3.4948810147806952,-0.3900029303398373,vas
6,-1.9747848211860426,-3.0325469544135446,-0.8148040523589744,vas
7,-1.8918392790477876,-2.948390622040047,-0.5945477573120387,vas
8,-1.9194882249355056,-2.704702152886189,-0.6584203474067517,vas
9,-1.9386046783794484,-3.1494156571921637,-0.7408235836861474,vas
10,-1.8792786862596291,-3.541994716376081,-0.41921660863148646,vas
11,-1.978538546625337,-4.155447366024572,-0.5276625708753322,vas
12,-1.9203868247757474,-3.508354387908929,-0.8053616509354805,vas
13,-1.816707255068476,-4.239036171581864,-0.41719413448457493,vas
14,-1.705220161864189,-3.513898576390002,-0.18151410855425165,vas
15,-1.6950392632523668,-3.094363785790041,0.8154331175078608,vas
16,-1.89213701276461,-3.3602084483565107,-0.5079120802837412,vas
17,-1.955519869987124,-3.474321257132255,-0.7806800457845755,vas
18,-2.0276675864087497,-3.1104613590535415,-0.3762744273770256,vas
19,-1.9738772907452204,-3.241072685364655,-0.5187895558399112,vas
20,-1.8838437546175226,-3.1825965921956323,-0.1996421000797159,vas
21,-1.8006599871455928,-3.1034906237801207,-0.022269983551854743,vas
22,-1.8424197655349663,-2.8893306311929567,-0.1368381768029454,vas
23,-1.9975890591893803,-2.8014878590788452,-0.4551054820756185,vas
24,-2.087317993541529,-3.1369144569375185,-0.6009496200073681,vas
25,-1.9538228488470455,-3.4101608718059406,-0.7070148230985605,vas
26,-1.8597668504508482,-2.899166481805971,0.36267732112292117,vas
27,-2.010460349076685,-3.122976940712496,-0.29219974724062064,vas
28,-1.9672666991163286,-3.646134051870411,-0.35515388641487133,vas
29,-1.9527166743818154,-3.4610760556925384,-0.6350812582243409,vas
30,-1.9732530577139158,-3.7348600733015007,-0.6967161986840887,vas
31,-1.9912443074413098,-3.9756995319435355,0.053720517017519905,vas
32,-1.8918201369863248,-3.616617415780639,-0.32246044261007445,vas
33,-1.8307108274932038,-3.44262224920884,-0.2183416486211908,vas
34,-1.9823937701463692,-3.544766267671648,-0.7468798845048963,vas
35,-2.1053824951662254,-3.617742093894922,-0.2365788129127911,vas
36,-2.1574461216519008,-3.5614387144188244,-0.7116214524040368,vas
37,-2.0109818915779867,-3.344956199873299,-0.8919508087981588,vas
38,-2.02411957050134,-3.789121886016997,0.20281516431408464,vas
39,-1.9700260539507464,-3.5920711653858257,0.4249233493946208,vas
40,-1.8912266418985004,-3.4329938439801686,-0.48566830123689886,vas
41,-1.8543517986863451,-3.2253367515862865,-0.29017911997653084,vas
42,-1.8136334653487116,-2.9203180031484144,-0.4292978025719919,vas
43,-1.6994311497781327,-3.207900133005033,-0.3656599401469962,vas
44,-1.754323356367576,-3.5817016166194695,0.054033870708436085,vas
45,-1.6769538413573584,-3.528761261997836,0.3741600955785231,vas
46,-1.962672525407197,-4.058956490166668,0.7199493105131108,vas
47,-2.4639086617973613,-5.113694431549134,-0.15180508729305275,vas
48,-2.434195367269106,-4.6384081021478485,-0.7477303523128225,vas
49,-2.227401900855176,-4.280720934050578,-0.4117365997027389,vas
50,-2.108328020300218,-3.661404881160711,-0.7181243931830787,vas
51,-2.013768557264571,-3.462507335529308,-0.43567456853439895,vas
52,-1.9146270468097455,-2.9937405751123,-0.31285703053992214,vas
53,-1.9989173667077103,-3.457369924606989,0.23295398289135863,vas
54,-2.257149064261308,-3.5264944515477152,-0.22937238923487663,vas
55,-2.3054388992295825,-4.062468586836972,-0.4984757937381938,vas
56,-2.036996718057884,-3.6323497713227146,-0.42452034332710353,vas
57,-1.8935977926626515,-4.226639115349031,-0.10542246681510264,vas
58,-1.8712843479109855,-4.1780827189924326,-0.3017849678531542,vas
59,-1.9268315765752186,-3.8317461182052126,0.28249183324646204,vas
60,-1.9895912170865948,-3.6551057703037357,0.14702361544623438,vas
61,-2.062602292179481,-3.5490830726827154,0.08929218866111395,vas
62,-2.192246585306377,-3.7057489802606414,-0.8555053298393501,vas
63,-1.963329722690674,-3.716592687441487,-0.4279610318005729,vas
64,-1.6648943910417564,-2.9793741894456365,0.15344254022223092,vas
65,-1.6414963457208784,-3.021106605699845,0.3972040148976953,vas
66,-1.7388079272597574,-3.2065602093154344,-0.13393122836662547,vas
67,-1.6352941545340844,-3.6786722864154626,0.7418285913134153,vas
68,-1.580305204701547,-3.134463954334203,0.03639838651890313,vas
69,-1.729845947222852,-3.1674474076570553,0.09983960666435918,vas
70,-1.8497324982751935,-3.367339667633197,-0.040880753116559164,vas
71,-1.8348848093105616,-3.628892252741551,0.15923942712923375,vas
72,-1.933906864622748,-3.5549537745012625,0.2651653449225636,vas
73,-1.9734138146566484,-3.7291697375582418,-0.43866031541311445,vas
74,-1.9033571018043216,-3.824193005241823,-0.05673175656771414,vas
75,-1.7900708006736816,-3.6430129351265768,-0.005897463317425294,vas
76,-1.7443810878275199,-3.5328633814100274,0.11726334230008048,vas
77,-1.8419957423478557,-3.6815920693388344,-0.0009301806345957394,vas
78,-1.922490457874872,-3.8752540413532106,0.2703429073897033,vas
79,-1.8151905538484685,-3.77459261722386,0.7276771299543178,vas
80,-1.8948354370557994,-3.6995842761684425,0.12178574249996445,vas
81,-2.0037594082588615,-3.686591965883182,-0.09453352286399198,vas
82,-1.9274299933378032,-3.791921879186539,0.7724173051180485,vas
83,-1.6729970110661447,-3.3096602142454508,0.965445392140916,vas
84,-1.7177163267430522,-3.866642948570168,0.6761205500355791,vas
85,-1.9110148201122759,-3.5817711284185716,0.2658529177168639,vas
86,-1.7850050911221695,-3.903914104342478,0.8041776738846612,vas
87,-1.734206742633318,-4.58212116301214,0.26473846183660105,vas
88,-1.4434250141254021,-3.8787716832883956,0.284660119715608,vas
89,-1.2024803257837424,-3.5568460997804547,1.1693225642116063,vas
90,-1.3746092881925331,-3.7366176503549986,0.40724039030531206,vas
91,-1.4938041159884439,-4.818917834361525,-0.045966401329231514,vas
92,-1.2999189943398066,-4.384089440597238,0.40915691642875984,vas
93,-1.2361877965801968,-3.3763201689925704,0.4553063794931743,vas
94,-1.2281471585247112,-3.303279348378892,1.3508703087772702,vas
95,-1.4329285211798346,-3.6939213040381875,0.496830492566976,vas
96,-1.3484150399044723,-3.1781783649813735,0.6534766231232029,vas
97,-1.1737270374277464,-3.0578536990530822,1.7554197658922759,vas
98,-1.151059121979771,-3.1370557149589406,1.3928368526992176,vas
99,-1.1252705755492487,-3.822296954787147,0.920746820907303,vas
100,-1.2035560492432156,-3.7094806889870195,1.2663743276740569,vas
101,-1.2331169867644425,-3.452543206897834,1.3408524815800846,vas
102,-1.2424802886732682,-3.677130046991089,0.7074811751823856,vas
103,-1.3019461538336832,-3.448795955865027,1.2490621912348578,vas
104,-1.4127049414683344,-3.5560035297052415,0.1630004122175452,vas
105,-1.23808601553893,-3.616903264561988,1.0099613616705763,vas
106,-1.0995999842271165,-2.9818264464447415,0.7058787689860979,vas
107,-1.17410703968828,-3.2832033983220037,1.2336230232890624,vas
108,-1.417839666008718,-3.7500668553760916,0.8734457436340527,vas
109,-1.560104991871127,-3.479926360102902,0.6552623318576708,vas
110,-1.6374563942535332,-3.661342119934191,0.8013028202460702,vas
111,-1.7091365031554064,-3.446195967837669,0.06206964007140271,vas
112,-1.6463017498804495,-3.58147580808912,0.5154704208382307,vas
113,-1.4315040228200406,-4.0282373830937654,0.6308058585938741,vas
114,-1.1495947069106438,-4.320812086162803,0.8817803926925177,vas
115,-1.022495647076094,-4.276209018065667,1.2612659746066506,vas
116,-0.9544075341873904,-4.310887715110889,1.6630121415957373,vas
117,-0.953294708712706,-3.437782701460116,0.7494077551213171,vas
118,-0.7671782828071197,-2.5309878781266,1.103250687685491,vas
119,-0.5385779204191223,-2.447746055362739,2.008255063182116,vas
120,-0.616085450517986,-2.567279235605575,1.3378580504059367,vas
121,-0.5988885046501058,-2.4181137571613034,1.3518774116302055,vas
