year,1,2,3,4,5,6,7,8,9,10,11,12
2021,7.537592345152776,5.7567808931195685,5.796382896821002,7.297097620330818,16.131897917593356,49.46084451321506,76.16623846378756,97.94094390923918,116.02356778773105,97.40249666411655,36.969652933538725,16.53021714317118
2022,36.794070949891264,14.002892289860966,8.086603184291183,6.560274210558596,7.513446463655587,30.11811651012321,50.28726182573719,98.74925715152192,117.60903162044569,109.11332931549465,44.86627580857903,18.19895158598203
2023,10.926530898709046,7.8141561415201535,7.236856850456386,6.577899250919903,16.81965219038359,44.13422122281983,68.25913420450716,102.95478040081065,100.4506188320698,85.64797579662678,29.614628639312617,14.446112763830394
2024,8.629113121492976,6.487714375930523,6.267001180617241,6.554646855885903,17.31100661334583,25.5556363217214,62.79539380359872,99.57326394259174,114.38359161702375,90.1624245570688,32.65740056074779,14.619028830522364
2025,9.595630503814517,6.259599747998684,6.085995612361258,7.298987622673795,8.123531910629843,32.75353223031639,58.90861685033561,81.06340979978596,83.36758003208315,82.43001207842312,40.434298958509785,14.875668024630336
2026,8.953450096878338,5.806640900918691,6.443077500147661,7.180683606418446,20.40578277672797,23.79675514693897,50.065496708686325,90.09630207351812,117.08178343818815,105.70177572584453,43.86962357177896,18.686384142128244
2027,10.186408115995198,6.735865034128449,7.015300946266439,8.196841334032321,11.69749895644211,14.194600743868646,81.01973316105973,101.73865310013278,118.2117710507672,125.63167927049395,64.13331494590246,26.674712267189776
2028,12.274387972594125,8.207716593059013,9.537013218877664,8.721798678741111,14.616639350070145,42.22694752928165,81.1367062490264,102.28726806457905,118.5102392389708,102.07098226676118,38.8912317921447,15.166927613141775
2029,10.212197146447647,7.343458487178922,7.188280794681957,6.568832356286831,10.75995285748678,40.67320526803672,60.31289903002837,82.56996790100408,118.99739003557856,121.71494882616267,60.740051263166066,24.014167300882537
2030,12.592909631589883,8.167864881620037,7.131367641283311,6.613179926643149,6.306447576627027,27.5523957422681,55.76989473065078,98.45130364951119,124.09096424264993,110.71421365806874,51.52170221002653,20.176574705344272
2031,11.62175578527269,6.72750873538467,7.86534151383231,7.989028398776053,15.871689979599182,45.93055094252307,77.6691781078001,104.05568908569201,122.01023567230685,110.40755872616303,46.58433057453313,18.195915349862346
