year,1,2,3,4,5,6,7,8,9,10,11,12
2021,360.32936892188934,360.3920551401523,416.35407419058924,435.3979704754023,406.03264222435035,337.49799282105386,287.94958167261797,224.86852355764412,184.43031349353475,261.6579241309719,316.5438703333376,378.35325475201137
2022,384.2220289577882,386.9839198976624,414.69017190298285,422.3033505969551,411.41266594708986,325.7381878129539,211.52354471999004,170.51619798542927,186.8066755423005,230.58672863060036,273.9454050460935,332.258909739048
2023,378.0015486666012,380.0087866150676,419.4000313764251,419.5040556703156,416.45030688369644,305.5878590365124,221.71944412968196,154.26071143109183,186.5854172569209,225.33875170765265,293.29004350048484,319.6194937841899
2024,364.2842866340874,355.1951742745065,414.30844460408014,402.89873573368305,390.47588686281256,323.60720452165515,252.32180783245133,160.55926460266642,180.02682152373683,209.23120096254607,250.2213492460726,327.2453516329915
2025,373.62876798103287,354.85204637679027,426.22462369772643,397.0860480457737,418.07280868459765,342.4910149178295,244.16659356722866,178.3763908223956,159.8064572312272,218.92452835626682,282.85524299945723,339.3103758254325
2026,392.3037686909399,348.03326523725224,430.6929537592483,418.9803719164588,428.9824463349524,338.2002978729023,233.97548084157668,183.8150972479861,182.37842290206942,214.45690185160916,255.70720463906653,320.7366351477774
2027,335.8790354217524,373.92732468111495,423.1393001533138,420.1103725848771,434.00335040415183,362.9003249845548,223.462533919665,175.8132560801683,182.6962783077482,225.26936239811673,302.5070894979573,336.3486090993365
2028,387.4710428276054,365.4501862862815,418.08251856787075,401.2526614505995,422.68563706651827,293.27957136340956,218.91525797576028,197.56161432028105,177.88064004874326,228.70296405184058,280.85798031479874,333.8810345837795
2029,359.08106827356636,380.8454387918015,419.1633924650654,404.019030755223,403.5696244588163,349.3714529637905,277.67231050919736,190.36149725306345,195.8198884908572,220.41028169121216,293.1004633019873,352.7928179681277
2030,372.357206744482,396.74070311641395,425.6818988442933,405.53203301787,394.9369975142938,301.52659288081054,208.72140494422456,170.3505614557459,176.44535450732496,229.75159463660492,267.55125805644866,318.6030863604897
2031,344.41032716563495,394.720317685666,410.3018102147887,405.97303422005507,418.9659951518862,318.1835171476886,240.78882051257213,185.67681126683638,196.53176984341374,249.06701386220266,288.0663021922866,326.7181211434289
2032,370.3939182041088,375.90830953901906,396.34355757217253,415.8796531747961,432.9753283307816,327.2179634770179,247.19711867510563,197.04435253466238,174.39993077882542,212.0401612525202,278.17183400131995,301.384098914411
2033,348.8953124909505,360.78027115743436,414.8250129720417,451.1982197227362,478.12812540665743,385.2843891260924,295.9327453350051,210.4441251629862,179.64168305928322,232.88161166666723,272.16561421042843,338.4192538709603
2034,402.7921506784526,377.4048922446018,420.82791367203225,422.6256403657459,433.0942092064605,340.09321505415625,248.76723624893808,180.39287281998782,185.87057862582122,222.69261166872877,298.3880183358031,336.4694157194973
2035,383.32517850491075,374.69656038651294,426.2357750053465,404.99845314055233,398.39972266631844,321.5546997873333,223.0588763627832,181.76863550556104,185.00521061618883,245.27743403659537,322.49326537271435,345.0968589414825
2036,375.6622233366295,415.2157362130205,424.1520370156961,433.0965598263607,401.70731773488404,345.3138324997591,236.06319028985106,203.48048520720852,190.72290614063388,210.4253304709348,304.2956478298661,326.6475980844103
2037,381.2886468941812,388.4099332482843,430.7020964494276,425.10226892958957,439.87684770754635,349.4758432911597,293.7434063007606,179.9836234124374,199.13596377311924,246.6108670984141,280.8618518999856,338.81459634659495
2038,342.8752367883825,357.71710827841434,400.4908035526863,429.52533125607226,415.420635739334,328.0021452442236,250.3778460041519,169.11033387988894,187.72382706099583,249.07191989365077,317.9734588956271,360.86736535943766
2039,404.8163959718715,373.05944851496895,411.21961011239904,414.947605776715,411.8036778060281,290.74224355141996,246.63842749080592,199.55890401690746,194.8105723139757,236.51050852853234,303.2393181399,353.10388310302113
2040,385.2003165882364,386.1848981039203,420.23622917435375,428.05880196502346,402.752285640888,330.2742419250602,250.70957865852762,203.74697531723749,197.83940011451244,249.3561011989594,260.24288690861516,345.49861717659496
2041,383.69670261183757,347.28784163346916,475.93330325377144,425.98777272364464,402.62554052134766,295.195338655546,228.0051767661973,155.81827505505797,175.56816803466398,207.98687139669818,269.7547881384021,365.4513400054976
2042,368.46320668017916,376.218312542261,394.4585215693706,394.67528340060966,413.23495431136797,341.7750014781473,238.01878051367143,195.0501035085649,169.87524430341654,237.2049477578703,272.0953102294486,326.72856874434973
2043,374.9691433704598,369.45052668787423,411.2344593907467,407.1775149175694,439.8527116477304,370.42652914885304,281.20412129024714,204.65682519941063,204.76893349250219,241.889573189421,302.6043704083716,323.036705266555
2044,362.0084392966647,391.23932672415884,421.88798411537044,445.6757007879327,458.7839641170284,363.50263187825357,276.54188312607516,208.3010547490683,168.518794230297,238.62506401920606,280.67205489259453,345.4487469855541
2045,406.5122819356166,409.75380395739853,419.38272950539033,434.9867870764404,411.9904675001267,338.26564963034275,248.03552256805477,180.64038522737695,192.75255569724152,242.95250444443278,274.5166285624344,335.6766824112794
2046,379.1723974911599,368.7996600848674,435.51764932711706,398.6258248530779,415.2505852351596,336.01508541411783,219.41025704186356,181.61421168506195,190.0245596296728,248.5590498391363,273.3997004206612,330.0659739780804
2047,368.0462252305585,382.96398378129237,409.6717595160118,430.4083306384154,394.1072008042027,338.47174013241033,251.603128765241,180.95036497131204,183.96669059264255,218.91465399001152,247.00134968575128,323.6733982181736
