year,1,2,3,4,5,6,7,8,9,10,11,12
2021,1.1400338796922924,2.1663671375963344e-07,7.785889045422886e-07,0.0029821681125144967,1.0186445812259095,32.875474313978394,136.74816871057232,264.46213255024304,105.30401371366483,37.00133766842075,0.023139234060016167,0.0011485875118813786
2022,1.4430058553229886e-06,0.5884520600596428,0.012947071995700058,0.08930899924729842,13.272499196982068,31.596525174289177,81.3256063533475,170.66360259192814,134.3449673460901,70.22800902632625,16.906949818894407,0.0032333087583040526
2023,1.3640106939647004e-06,1.2437608457224564e-06,1.0363848309801056e-06,1.0675557374444653,0.8349223880706631,20.23024268199032,79.87091350306905,180.14900023505072,142.5488011389113,55.02450739330582,0.06184578802312844,2.7892254105732587e-06
2024,6.088223772110944e-07,7.040553591547728e-07,1.7459759465651544e-06,8.973694042769719e-07,19.387676236269023,72.27133085400939,179.15868682588402,190.56928204041282,175.73427514210934,34.00123368879143,0.7430189098674392,9.353581222669133e-07
2025,2.4592441888393282e-06,2.016283981984876,7.04568982530518e-07,0.0010439124193417563,1.230321727725886,14.813945771743596,119.21054939158606,174.42617203176712,141.22682215665483,26.316897562928688,1.3365092476377498e-06,1.1398850644459877e-06
2026,8.43000158586424e-07,1.5291922098164971e-06,0.0002306532396324456,0.032782476769229185,2.155662454096074,130.71085241688442,171.42703556371333,232.3391702021585,129.88695930155288,50.39564312134594,5.35719845902081,0.0036993566711927394
2027,1.4499004238938326e-06,8.896815475581743e-07,2.5272441286778963e-06,0.03605437407641057,0.680423545407361,6.690070487116219,91.06293765654296,225.40229252232913,142.88330742947,43.77365324277498,0.037627318095622087,0.04401790650772603
2028,1.3116619903115655e-06,1.741925368286123e-06,2.240259446156954e-06,1.698646630726218e-06,2.313504500419895,62.26652481272639,71.51059397666656,207.73864207139465,187.62058662572443,50.73995561078092,0.042560167843456204,1.4996019037245937e-06
2029,6.876371690946079e-07,1.9720067399543566e-06,2.1960038582449687e-06,0.2384127811661831,3.4134508819679468,27.02925059297979,108.03112194520847,234.26521321911088,251.14429874797855,74.11760835529313,0.014831349231729485,0.00046833242431891384
2030,2.0176233792418687e-06,1.2913032836737662e-06,1.5872060280827505e-06,0.0008777426911025609,1.7093977226619772,83.22611637081768,83.2496504092448,195.57403871115415,116.86056087306478,24.85239682928643,0.015430350961825516,0.000926017676188691
2031,1.003973296924896e-06,1.1076490209343927e-06,0.1925949791491451,0.06980451052578078,14.7814221681814,20.198901714415747,140.38542710319422,224.2289534314869,179.62614825387763,32.44766161200281,0.010679569269297312,9.600368844235413e-07
2032,6.455493992381975e-07,1.3335372366562032e-06,1.0003649200929216e-06,1.3701458570272366e-06,0.7256357387520143,22.20377766435573,188.24404253105817,207.83020008384693,169.23397559306235,33.85221181899985,0.007286165599964161,1.090619710032007e-06
2033,1.4565224143373082e-06,1.912513466027258e-06,1.5112593470890861e-06,0.1338171402376706,37.21452253610591,60.67247947840525,139.81476431450025,220.02328451212958,128.1664024053263,50.495660115976435,0.09187256069428217,1.4445672351290422e-06
2034,5.010796836966956e-07,1.356545873677755e-06,1.3693320605100597e-06,0.0656564086504135,1.0822448393909692,8.903872563076627,116.19529698078357,212.17567020824072,123.75276272520948,14.227551007081404,0.0013857543289868383,1.014183217672838e-06
2035,6.375175479869177e-07,9.263342983857816e-07,1.348073225061573e-06,0.016755890936693996,0.0544743152285807,15.613391242149973,84.64507206064283,276.7348142939346,95.22022535960018,28.910724077338507,0.013993975585512087,0.0004582066363068887
2036,1.1756235613884782e-06,4.510076479324003e-07,1.1085623547329769e-06,0.021587778912461993,0.531529114375772,7.041613510014241,127.89434618715237,242.06399545314608,157.5766664435258,37.50731438625267,7.784064735479545,0.0009256693289111036
2037,0.00046391773179816877,1.2129309070241822e-06,5.094395375821921e-07,0.034268914519310946,2.5542268841786377,41.899225504518746,138.8796319790564,176.16934555590765,152.81110353139368,23.29461746185497,0.008988308068913589,1.258121930198461e-06
2038,2.936516849584816e-06,7.836777994765213e-07,7.70386890078697e-07,0.017287421759014536,0.20952142567986326,10.873418717227908,71.71594978484747,293.37817641823875,176.06101961968008,83.19603890281843,0.01169898327562187,1.5342131027289997e-06
2039,1.5039177806646193e-06,6.869119940158063e-07,7.605579147882964e-07,1.2529489237978716e-06,7.155930434170654,123.02359131429182,108.25071466201774,163.9604193548417,195.39474699915758,41.102744508504614,0.011360588381011167,1.430036065620018e-06
2040,5.436817174792496e-07,9.021894848948477e-07,6.872820048875713e-07,0.0007145943019457419,0.852069211889383,17.567943798427002,90.71640026259873,155.9328029502504,158.46380924600237,12.033612506329515,0.009398307490848648,0.0018409171712134194
2041,1.862280223725648e-06,1.2014799765708344e-06,1.3405546370931243e-06,0.005550173817071508,1.8756142637651796,19.96540119946912,114.83221333036902,227.56778262516073,230.2290565085877,18.237403861214652,0.031284781594917245,5.071285887648277e-07
2042,2.241710702503636e-06,1.6779913443693572e-06,1.2240880905693987e-06,0.0485761255577628,2.1593273830692286,11.31584508772949,156.20593486977657,277.81263440391547,167.7833840471846,37.67740031574876,0.01388349072612035,9.099625802671407e-07
2043,6.35110038777038e-07,8.240405037779739e-07,5.776296601028902e-07,0.0008673706375819898,6.556445724407077,68.57119174111425,146.6212266755967,190.369323967964,153.1499669230502,80.3708029586363,0.003193626520113542,1.0527115968732698e-06
2044,7.21077833568181e-07,1.6590727995578492e-06,0.00046848891684887604,1.2692537671601603e-06,10.479740995703263,24.646610044065863,65.51931221186553,181.49677017752148,151.46550545707692,54.59338741449865,0.11933243799222736,3.6499740754456274e-07
2045,5.537276436943918e-07,9.290282675504489e-07,1.3775706374603047e-06,1.2067620041280433e-06,11.213146687039147,36.54335798802597,116.80109561081517,275.08333276106845,149.30276035856008,28.764652208184852,0.017103134103401176,0.0009364697354921684
