year,1,2,3,4,5,6,7,8,9,10,11,12
2021,0.001355546368262176,6.566584597082908e-07,7.400308523596175,0.8094400987408265,1.0300395872243977,71.08210508939418,195.51226388511023,218.30332274888113,261.76630847682543,76.5813983210131,3.860717617169446,3.9639162699961724e-07
2022,1.0920647044854597e-06,9.50191836317639e-07,0.3033600174762606,0.24254290451145302,7.39675152029239,28.871754883871475,104.08159000392611,228.5189147397926,107.98155830066247,32.68596111082189,0.5475891274067888,7.460525486159525e-07
2023,1.4346871998892906e-06,0.0008904446648001662,7.419916148426123e-07,0.7959061000478905,3.1594209248554352,59.96765376756515,181.12572554296662,292.11824458738374,168.5410580138589,40.14757244734622,2.254705085787948,0.15313193593423524
2024,8.60874680150844e-07,1.743462516933609e-06,0.06295775969431507,0.028011322199031193,26.232995403661178,46.77078332213374,114.57975674730675,140.99897913537305,152.16124955466287,53.56667633015097,1.3380163950420274,0.0018699499329608963
2025,1.4503147345517312e-06,9.735122027906062e-07,1.9790737199544447e-06,0.7238209325100459,24.59972189912522,88.21820332589537,133.98910020345878,253.24754580174195,197.12302514751045,30.877312590585483,4.472081556663221,3.7305856635964973
2026,4.9116711445524315,0.056645708061275356,0.6855445128777645,0.47100059978745945,1.7496251915123278,50.01308168355934,125.2056869197199,225.37393737401902,148.15161246111595,100.67183742290798,1.5748068882411321,1.3623077825508744e-06
2027,0.0013739067597635557,1.4423565741202045e-06,2.376084084976283e-06,1.6353490782729347,10.545117790392183,60.043837054434164,139.58297583506678,245.44835005853238,186.47554827873924,89.19790338350272,0.8130284651672134,0.0035672464058122163
2028,0.3257404927534496,1.3935680284967375e-06,0.4703507147621937,2.4788240006597597,8.375525909582048,115.61338144214328,175.94493219812725,236.7395544338471,161.2997391469247,60.396802250920004,4.746719113505932,0.022731316962298034
2029,1.3181650355237688e-06,5.351347249954115e-07,0.0018505356800989717,0.944015599981951,25.084639412279753,44.28581356462235,185.80781059300074,293.01592766995617,181.92622995283824,17.399498999075963,6.648524429117046,0.21630902894165852
2030,9.368071963805404e-07,0.32412886522271944,0.0002343985912247755,0.08227994962571385,17.007287864786626,39.91245593352922,157.75059313134133,217.33815144476839,178.82658545746176,14.641076093906028,0.1886978367976491,1.6512493099275536e-06
2031,1.5478569371991893e-06,6.862421850880486e-07,2.708997054695504e-07,0.7628702547967542,16.928161333512676,66.14668024937798,86.93100293775723,224.86152669789823,135.47873046783974,51.97060852361366,14.791026420889699,1.403275771975006e-06
2032,1.4743635071923736e-06,0.00045915671369580873,4.565204034366769,0.2462228200655346,14.05119426367178,20.02149249780023,217.1890529146577,244.81276794641835,89.27027927331108,86.20161373105995,0.3542894181328918,0.00023236064443722475
2033,1.6702666546927096e-06,1.32268145783128e-06,0.036434542622093606,0.008421926196728168,2.00668221031761,7.762258687843683,87.90672980181805,238.08856298210958,77.50124677796694,30.03317657059238,0.4951503460092069,2.485328799714327e-07
2034,0.6957582063228203,9.93608123909928e-07,2.09641491481349e-06,2.785733808342029e-07,1.1547895773994692,40.86537004700333,141.08420354402733,345.86776697312723,228.8676972009934,50.60190781654724,4.361035348293814,0.0032594718831146425
2035,2.094111881286685e-06,6.433961481813211e-07,0.0753601992983724,0.005167822368049913,4.916519921383772,83.30005114339329,151.64116169251764,208.90681336311488,130.86800957110805,14.27932594058845,1.7118880969383767,1.0752411052197797
2036,1.4447948225332311e-06,0.0010390487280793107,0.04814102000048381,0.13159684911792047,9.79843194742859,68.74971971406183,144.68585601701477,214.5536531832473,158.21093204472515,20.726686895763315,3.2211400248289888,0.00045928590558763866
2037,9.614817589590288e-07,1.3859799138898535e-06,0.0008786508612007899,0.14922040868301223,12.532985084329498,62.659005763670166,120.14514060443128,282.5259125288651,121.40603365436021,33.33342384702607,7.016239734615847,0.007071188639154042
2038,8.074771693363061e-07,8.477653412280277e-07,0.0013144073189628256,7.051250941270416e-07,5.828254045924967,32.6151690753368,101.16046640490195,192.55512132670026,130.8560332012429,35.238568914254465,4.909063823226673,2.0261092124813853e-06
2039,0.05638035216390939,2.106465920162517e-06,0.0033658592691752066,0.03868702493375192,0.5299173738466925,18.017024975329957,97.92143640380995,231.64085802027546,141.83603262489774,20.278388237118588,5.050771708575367,8.697358767816443e-07
2040,1.793208544006764e-06,7.792544811882873e-07,1.5105168384429437e-06,2.9087685161237897,6.426730761296371,57.06036510816385,135.54756892350082,227.5218396993494,184.6862717036686,44.73039368259083,0.3612676408398115,0.0002298630678693823
2041,2.257276226448439e-06,1.0956675041769117e-06,0.1304405521835136,1.9864096875561597,12.19301795581992,64.67460283050814,134.04690700924672,173.24832604937822,148.28875319260658,35.64143133369692,3.13091723985817,9.628982431913663e-07
2042,0.031375634329524525,1.6186256037706959e-06,11.994099733222924,0.14618479954948,3.777383859758329,14.977493787202308,136.06574625380142,234.90959993086543,192.9148820416263,160.65817274669672,0.9690021926153751,0.28271188951293297
2043,0.0003534191111844031,0.1557262738608034,0.005151695186872351,0.015716230896197263,2.6201762663977513,20.01208601410211,90.4322518858515,238.14659769404494,135.76925629336935,31.848888473017354,0.012733459648134734,1.6224627859214936e-06
2044,1.1999195607146895e-06,0.04049424878443677,0.01612861007411986,0.7841817210776122,19.964405372713976,46.6052733106405,170.56471240813752,203.39344696432863,183.98651099840149,27.774770948292975,0.10491125608043972,1.5347514222193248
2045,1.2493434628538843e-06,8.836246414323904e-07,6.483549717455169e-07,2.685099437664323,4.0434767206558435,54.307568353191236,245.47354703646386,204.36160071631477,207.7173431064835,52.23338218224487,9.760638517592682,1.6690314780100097e-06
2046,1.3919687963905149e-06,1.0353698197068487e-06,0.0019280593042200194,0.22102294135348843,38.509651174698135,74.12170474764235,170.44832580825278,269.0868479575161,188.9310561734243,40.982591599569105,0.691133669024176,0.013844705783335567
2047,1.50014108906353e-06,1.7104489029652547e-06,0.5030759216995556,0.009177257049257884,42.16169013480504,47.44721750909394,124.27704991050915,258.74649913038843,284.58518306459047,66.67190365148154,1.4844188473292104,0.0017157424829519889
2048,2.402972814112349e-06,1.8603804273330983e-06,0.0013086510475319622,0.5299194725800267,9.854091185282384,68.01203287747865,161.79442351087127,236.20165951862384,212.2448998518581,15.770610934908884,6.266582695909188,0.003720078220198255
2049,0.002808589424928947,4.822136548663636e-07,1.1949045925633044e-06,3.971731060535551,4.95872348634504,29.608598391364612,179.3845807433279,224.72974361899847,247.49483584342642,48.686751392053644,4.933863040642233,0.3537282546166104
2050,2.0308477726138077e-06,9.192685297803578e-07,0.09115669329578611,1.2617110635500637,8.962325205180601,37.097795925445894,151.70726437514398,246.87957153435528,236.27614226004766,84.28785419623077,2.225217961882257,0.004493645474474802
