year,1,2,3,4,5,6,7,8,9,10,11,12
2051,4.318611249697332,4.538537881581207,4.062708409905915,4.228365565076289,4.797350310205864,4.666767581514089,4.264623447615988,3.4938493014354512,3.4057610391831443,3.1140265533044014,3.6524338448974847,4.437085891143527
2052,4.104365541403836,4.126947317587953,3.970280362374004,4.402797514039607,4.520752615660496,4.658040061745492,4.674845575818925,3.8304319290762257,3.5240557435986646,3.0961388623720683,3.4278127895256625,3.8745668390238395
2053,4.018199753080222,4.497144976015972,4.270489768430771,4.1962081480791715,4.661661372608448,4.583085760463067,4.634828097827418,3.938597397056168,3.283684486640332,3.182524933132515,3.2511470483632725,3.531032476918574
2054,4.501487246899699,4.093628758014481,4.0657428528746555,4.337740350826484,4.601500397196334,4.033017726992307,3.6169101484035875,3.2604547864827875,3.170265601776261,2.8764993530688736,2.9989339058311084,3.9244323007726614
2055,4.4523750277860765,4.671241915508084,4.388349132831382,4.566065004819509,3.833708097281831,4.516477591933374,4.211806843427898,4.212202168702579,3.270752784490516,3.0696024654267555,2.86834040359966,3.950715494664762
2056,4.135884918930398,3.9488967298488697,4.036380073936174,4.344938551934595,4.34638798676595,4.408787691738722,4.083453876446209,3.694844926587401,3.47052842120316,3.0565117327563898,3.081913417596411,3.9624332762291212
2057,4.163205841869756,4.543423865365792,4.058489560283259,4.355149951620998,4.237489268808065,4.684872939720565,4.6021818282179385,3.528586919507197,3.340352746620184,2.9240461673868814,3.156275154830148,4.095618257993838
2058,4.267985148991762,4.295272739467923,4.243419537880675,4.008072341574636,4.539296726724306,4.36222713766221,4.427169636814367,3.810679634450496,3.163341234008924,3.154672116902573,3.4024588798307325,4.311656751218391
2059,3.7740548215999605,3.6461366745045196,4.161310212989557,4.03506047701521,4.545608780819423,4.375272974925147,4.049469647542477,4.01006227970838,3.182873381292185,3.0654491749453068,3.244660240072854,3.1310727771675757
2060,3.765081535279097,4.336947234768965,3.929132628722591,4.099744193857209,4.35149558056724,4.372161055119591,4.3112518306905905,3.7088882719281364,3.3428319645825844,3.0471539487389854,3.246469378553011,3.480204582049075
2061,3.778081530922878,4.419699751225829,3.9874585792136945,4.371102329890353,4.743513238715601,4.751468910519858,4.062948464416446,3.6278685611375514,4.004999341801386,3.0561033404382902,3.442816102344333,4.094008129296573
2062,4.221770851759011,4.634465022841922,4.154373357174538,4.202790555034674,4.193950683472936,4.573045816090693,4.114669357895284,4.01945192644581,3.0273673673662413,3.2541817029036317,3.3597012169048517,3.8371754470974238
2063,4.086152673194694,4.5259287537881505,4.402866120621734,4.1699951021833055,4.777681213636122,4.917033571958943,4.646907827578282,4.000925053540696,3.791415568414504,3.301386834354145,3.261089771376294,3.825871326791985
2064,4.486696246749792,4.755394147306054,4.319123899866473,4.370589751117222,4.450070330721511,4.749393302288056,4.175588963604761,4.022660356010255,3.1109465932808926,3.0711327423107564,3.046163734411643,3.596798823582362
