year,1,2,3,4,5,6,7,8,9,10,11,12
1991,33.43222979351705,34.75972180519433,37.09248274152206,39.10769395784923,38.86196905067452,36.10822744596755,32.078571356874946,30.317552482425395,30.04549184856428,31.096727478445445,33.68982024971166,31.93559322884903
1992,31.740774528315708,34.99506809924592,37.10145321130316,38.40107446402114,37.83272154177693,34.886093892109926,30.486507256225458,29.545690021741596,30.749297650704836,32.97836937396284,34.218736068317604,31.92169954581423
1993,29.46255038278983,34.9310796550138,37.14953553180239,38.62387189327727,37.318587754198845,36.82230805221487,33.11552978285974,30.752534030353658,30.76035280536583,33.99238305426608,34.67365000857156,33.35305421037456
1994,33.284285006134404,34.00427300528055,36.60099320956261,38.91124768908192,38.42005030086345,36.060445637207515,32.4389042446577,30.157820397477856,31.840538440763215,33.314676247077394,35.061438441628326,33.445144386962724
1995,34.17004260003337,35.56519059747328,37.86136187598852,39.10304565369301,38.83118882469248,36.65334788683394,32.378011346707844,29.438909680045516,30.6653429836348,34.046634989841955,34.20506404526824,33.3586798923202
1996,34.075539844832754,34.28950481215478,37.88296384582766,37.17124084858351,39.10468866412735,35.64398086929412,32.68277943022933,30.81240742749466,31.378817956394666,33.489527439194916,34.60914987732222,34.01232004045906
1997,32.20449811645803,35.97837549820896,38.22181656092418,39.69194961604525,38.10889682405645,36.061209800974005,31.63509391656855,29.658717271913307,30.17407957599207,33.25284578592378,35.16649241456494,32.30846262832129
1998,32.75643768126215,35.3440650607991,36.134767432982756,39.7619280991958,38.92346552391814,36.79870651412725,32.645303505165735,30.386493076275965,30.498756863634934,31.352973680984952,33.90440070183775,32.39437306776966
1999,31.79580600247043,35.25766849621869,37.8457080302322,38.695054958840004,38.71049773457513,33.64751691491578,30.53459093282318,29.102391659936494,30.096942598236808,30.897399441109616,31.69601288823885,31.99285915191114
2000,33.22518613870565,35.37655420360345,36.12518762256261,38.69761144656108,38.9652118878384,35.12384823832757,32.607024557994606,30.754319285206535,32.22298937551272,34.08099519531247,35.06604865334754,32.01315433595503
2001,33.598568552124206,36.05970238889393,38.17230368576501,39.080196381897814,38.48369144311585,36.87145827350084,33.459661708812504,30.436826991190564,31.79305304028683,32.33365779012098,35.03913773824177,34.372421394549185
2002,33.17594577373498,35.11722051264526,37.44006038390454,39.818802201098656,39.5732165955509,37.07506073408531,32.06700469270775,30.684271731745348,30.498151267353308,33.17675734876296,34.35875757137449,32.62087736133872
2003,33.601393740031014,36.34229902507338,36.18629063151987,39.056199940375414,38.19587059391499,36.88123178462659,33.77523737077927,31.49457659506001,31.687494357938316,32.303300663605995,35.985592533158155,33.13278451357309
2004,34.757800043928015,35.45582989040789,38.22437910530842,39.139797995945266,38.67253335077473,36.42338935563497,31.743920856992393,30.142973920481918,30.655928067126915,32.73661460956167,35.19036527415473,34.044466180789556
2005,34.62584679698048,35.656992124661976,38.42937110720257,39.25105048663925,38.77398974696572,36.767139879569115,33.20175714323296,30.434730420763852,31.279896033189377,33.87361022293519,34.84747664430403,34.27259536088555
2006,33.46996071490814,35.366614163172194,38.424640965104174,39.94553782464975,38.82621777947732,35.62288604129694,32.41500334529565,30.83600244858221,31.417606186428397,32.875669806545424,34.33863483362341,32.648758708122394
2007,32.97694786728753,35.34433958076581,38.39429211258107,39.93468997303777,39.868309954872814,37.45035736202022,33.05687329540434,30.934598101748332,31.430190216700275,35.12367434563592,35.96696071811019,32.947412386119126
2008,33.37128647762365,35.742656879660544,37.961799707399535,38.82301346489001,39.08216494479595,38.17600764449951,33.869933239908086,32.074202046167734,31.988974742386905,34.69101630083161,36.35581547627065,33.800914427613925
2009,33.524640017730874,37.36647186861824,39.2928361201877,40.0933403126036,39.071531793451065,37.75422833981069,33.68466459471848,30.751865495729025,32.575654491353454,35.598397981225645,35.77680276290507,34.69958951608034
2010,35.994116863019315,36.7449382578395,38.74574135045279,39.34278412061699,39.594558345730775,37.12577389156898,34.020917074121144,32.960498170935075,32.83872246068991,34.13907032655529,35.986773349615575,35.26931962798019
2011,33.99347392414332,35.495296836680346,38.29404248618132,39.7218557327417,39.05901601726366,37.36200698386543,33.16245521375527,31.37784548236125,31.62731056541087,34.068356770087135,35.69498640981505,33.63095664249736
2012,32.1592172211007,35.137362724974324,38.38866846654615,39.23252667772872,39.21026921316665,35.883778322864025,33.852068457746135,31.29566469232716,31.14792621139101,32.99122799966638,35.70990751482673,35.15590106126539
2013,34.25540664256074,36.483335107195494,38.71665215617786,39.04583979228585,40.045431946877656,37.06525188497915,32.953281063738594,30.455721076356078,30.727309455747406,33.96901753757714,35.21736110187287,34.62644249414024
2014,34.38987756960658,34.75523230585254,38.13617430805461,39.173505210310054,38.89237764508599,37.741819797451754,34.053166224574724,32.65679303291881,33.967759388426614,34.960620799362104,35.15872966218241,35.06328514939834
2015,34.47975733916112,36.370932928615915,38.92217250288189,39.805059907920736,39.37857927390918,36.6014136367917,33.76304153465092,30.81717253472689,31.362960728055462,34.5882915670433,35.91708774029533,33.648029181785844
2016,33.7271020154038,36.400419890726916,39.6167804424385,40.010084261194294,40.10836034372488,36.290785890131865,32.376362419661845,31.151160413417003,32.35436659025059,32.479132662175594,34.983325146414465,33.502407978117674
2017,33.76045096034256,35.85431586173463,38.85376626746298,39.831819879423605,40.379014844002874,36.86550430247879,32.9882492963704,31.252525633601575,31.97451382597453,33.6050734575896,34.91676452536931,34.74135971161485
2018,34.372918096896505,37.613927414789295,38.56556337747452,38.52091727420681,40.16370788059236,36.71416781278959,32.83716937428411,31.45750999653988,31.894314159305036,34.001424776037496,34.75076257646252,33.969137973739016
2019,32.01345874119532,37.247937376219625,37.53054790205636,39.04071121067967,38.681863983475644,37.50462161575796,34.089750403205805,31.904203900083782,32.09738448064471,35.25593552378126,35.81967897710138,35.58307403667772
2020,33.558452112313475,36.20412406523817,39.07628754219277,39.02016495561701,38.92302300714557,37.03092776260568,32.49068713150505,31.877278258969714,31.9842318884597,33.73869442906945,35.410002539579914,34.487226180329415
