year,1,2,3,4,5,6,7,8,9,10,11,12
2051,18.230551903416455,18.935941158674375,22.61042015190685,24.710500582619567,26.425061674068658,26.376351196690116,25.31284470294272,25.06861708169703,24.69811505181622,24.532876804014982,23.97020813170459,19.613731954478855
2052,20.007477920955548,19.737111541110988,22.59200014027676,24.889447160687933,25.41730149191393,26.005251049792808,25.169590408018266,24.4337364956928,24.878219770835706,25.641118152491725,21.64986034450398,20.31287803164438
2053,19.286144491380224,21.53999434645669,23.83796051355707,25.16811754651108,26.294961796042923,25.86079129329339,25.638082742475834,24.490066037529186,24.87643099142074,25.018670959454887,22.604147550682434,19.85206998945833
2054,20.044912868619992,20.461026762954614,23.094206304572587,24.573323810886944,26.994328653990014,25.79497299498068,25.33451396282109,24.300354519475174,24.494607958130093,25.342664449691565,22.864230986983223,20.573477968616547
2055,19.892659317065434,23.054030004034335,23.06129036960317,24.68182673003292,27.083309120244753,26.931307896155612,24.9823512388249,24.917949905620507,24.490784506239372,25.130861012866234,22.533262670798138,20.170867934000572
2056,19.370553655544114,20.461603601536204,23.279851549165972,25.947702498357184,27.728970687547516,26.96295165970221,24.371364950547118,24.181953985809297,24.72287046400885,25.14545239995885,22.38263883722683,20.14136454109151
2057,18.57895895034035,18.304667055843456,24.161185615691952,25.363767187622845,25.86597188282189,26.058656145196103,25.361839866363677,24.392802310406445,24.992109087696058,25.13576569045919,23.13429521357309,20.922451837214698
2058,19.480814085273803,24.318642530098778,24.58713146867267,25.06877807725329,27.759835971722474,26.310795517315306,25.739085044955107,25.077104348459798,25.076337477627085,25.682895917633044,23.42955433119009,19.515863949904226
2059,19.009513455456084,20.742824765536472,23.11768043643477,26.083562328202973,27.40878099109411,26.360607123128336,25.5236747830421,24.2999954442902,25.164916931459963,24.658349386347062,22.94635211870213,20.913983625139153
2060,21.949278317104948,21.701814598036464,24.356812711974303,26.6781927411747,26.766398827473754,26.51616161329288,25.214282649839838,24.852661780279934,24.718299630916956,25.606833121047103,23.369846525842238,21.37633832926524
2061,20.09324611120574,22.188127051170028,22.792318696854537,25.61598385753,26.793000987452405,26.59287518303455,25.290024914973696,24.62033631935482,24.852639269596118,25.51567939511359,23.289235982977647,20.231395867891287
2062,19.787207949549497,20.369557052750817,24.924031845419726,25.61430733165771,26.233881190066594,26.54432293913822,25.87629186261442,24.72513028679854,24.889301626825024,26.18455463594219,23.8080672911397,20.951282564315488
2063,20.915209398303524,20.551172024505213,24.26351044627745,25.55246325392222,26.80329942949877,26.4378029207066,25.1220050327225,25.10255624806494,25.11037375361338,26.065114731360612,24.406439223044647,20.24667012601866
2064,19.973562330490232,21.394628951554143,21.629224783925086,25.5291699861454,26.957014685464387,26.465466193410656,25.45923126816823,24.90058854139527,25.658809770071393,25.716743155457326,23.02607938066733,20.0110800370835
2065,21.212826221987452,22.109543320130154,22.87105873075296,25.262131428534094,26.913673737398536,26.8592657515189,25.059777064989763,24.716489392274283,24.631225313810017,25.774727586049178,23.36434816014574,21.506124367851918
2066,19.967855144506856,20.432737460694977,23.40972382139884,24.343414505523914,25.546554608003166,26.279806583585632,24.655169916403196,24.40288739349435,24.515647465264163,25.96385669353559,23.808793354524013,20.88707325644417
2067,19.306104740839363,21.916476184800278,24.262223553389987,25.682479975085187,26.239424179526047,27.05008878558507,25.528603095174592,24.897564868122068,24.94515517958077,25.908034936290466,22.166656754981783,19.72375363227455
2068,20.62254340243676,20.442133346814675,21.61449341080652,25.175965588040913,26.485780247806165,26.139087344469544,25.397750282297647,24.356770821690933,24.586448910128805,25.43095410891344,23.80478655124874,22.746545155852864
2069,20.168730687249703,20.270176911329816,23.920767450775863,26.158253701835555,27.279484645791587,25.933162509431593,25.632650694496085,24.695682247853725,24.98082216193916,26.330616870234614,24.107727811452346,20.23764035613317
2070,21.493040474159496,21.16274310666275,23.918531666523897,25.508705274451067,25.790317886731476,26.69424386043727,25.039541189947016,24.443302150696315,25.170823216598485,25.425603538984916,22.505947197556857,19.906982766995338
2071,19.705267528967735,21.187496826917645,23.44212346298335,27.052830037902584,26.938913636091186,26.744161694234435,25.589328945144974,24.67356187697728,24.838996357947767,25.12311238741721,21.82053797173401,19.955165835313096
2072,18.982196776060587,20.524751713083653,24.519252763488662,25.31300580086281,26.674452200916054,26.624754581777307,26.525714682932456,24.725310362257066,25.441181673331336,25.797888821452275,23.957391012587358,19.886183193607234
2073,22.335326620797076,19.026454842199506,24.09179740572103,25.198132579130746,27.104117253452017,27.537184447358058,25.770265777143276,24.716517328682556,24.921063157045975,25.591175981281637,23.475822118641176,21.69907454382801
2074,19.484889785384784,21.705324127343857,24.407599654413957,25.698750687833968,26.71437460674035,26.101667474686067,25.607500474794133,24.870115218558183,25.008196014286614,26.423636492215813,22.949427058313393,19.617092411623933
2075,19.98724394937325,23.127713471942283,23.41363042364146,24.66795337171802,26.741306678595,26.479678614712444,25.972338861458308,25.458312514333766,25.40415153835881,25.718697245202144,23.474744554317216,21.13045690884105
2076,19.233481458731507,21.020930941569052,23.481676690641926,24.315704169204903,26.601493309270804,27.079636861248062,26.149069110809855,24.948537329163063,25.39126707631502,25.48732856523978,23.478818200372167,20.642535278192426
2077,22.242824850572227,22.974593449147612,22.456395578999164,26.9785519926664,27.98021226310322,26.79225781860116,25.48546444134394,25.236172767134253,25.22023448200463,25.72606990395952,23.694990127968175,20.623231863288293
2078,20.069215863819064,23.574792855331378,23.920852694956043,26.602249559202374,26.876558429908684,26.58402309946342,25.852019419931427,24.77172792567983,25.546365114618407,26.95728022491957,24.273714000221958,20.917319937727214
2079,19.523012435104306,21.35124666742433,24.716193692788064,24.79787353426842,26.978712558812973,27.26658886025852,25.89467428380702,25.09845865317805,25.173056233075677,24.925414152453047,23.83534571782568,21.70618046487995
2080,19.466242724014258,20.51916438806926,21.62982202908731,26.145444786736586,27.545313068157505,27.2240990797331,24.986243393526014,25.16564303626755,25.135781152982887,26.074649395892,23.910345161907845,21.10045140925874
