day,mean,min,max,var
1,7.346220654213155e-08,-5.9135863266456845e-08,2.534272423087915e-07,pr
2,5.120614213701726e-08,-5.648110776334291e-08,2.5535054259440413e-07,pr
3,3.229211655550068e-08,-4.461353827943045e-08,2.533541891113173e-07,pr
4,3.749247099976379e-08,-8.110786911144945e-08,2.536528199901351e-07,pr
5,3.3816983744434476e-08,-5.222102013093422e-08,2.46775774975274e-07,pr
6,5.831170885203029e-08,-7.009448817579424e-08,2.512908964248542e-07,pr
7,3.460911519240318e-08,-5.78450106797327e-08,2.589802022573331e-07,pr
8,4.714795441394201e-08,-6.336580991189491e-08,2.535471938033858e-07,pr
9,2.6453099182980687e-08,-4.3596214259034644e-08,2.5606786191600966e-07,pr
10,3.3449342629458354e-08,-4.351122693950941e-08,2.569216150987617e-07,pr
11,4.1009527640727385e-08,-4.311394243483086e-08,2.521995976340658e-07,pr
12,5.528292039487005e-08,-3.4654099333642144e-08,2.567887675359469e-07,pr
13,2.1054763022730728e-08,-6.447749604299271e-08,2.364040129932119e-07,pr
14,3.817005299476306e-08,-5.50813551289935e-08,2.5682526016152846e-07,pr
15,2.8853153613912215e-08,-5.149494962200144e-08,2.5077982776281276e-07,pr
16,3.391690034322629e-08,-5.6172402271753995e-08,2.537260455644534e-07,pr
17,3.3050594522936164e-08,-9.64874286853167e-08,2.584639216901897e-07,pr
18,3.890471163306617e-08,-6.872519843713833e-08,2.5043753329748534e-07,pr
19,3.2444141480083793e-08,-4.5335145698271296e-08,2.530562355908981e-07,pr
20,4.003101556365817e-08,-5.4895202697078126e-08,2.4712337488558456e-07,pr
21,2.525662792036549e-08,-5.081588142181607e-08,2.3270009870363387e-07,pr
22,3.311737103668507e-08,-7.855897719416905e-08,2.3682996103646247e-07,pr
23,5.102510677675661e-08,-3.7048676088239306e-08,2.5681889542266585e-07,pr
24,4.370488884589526e-08,-3.242846041374481e-08,2.5586662518475156e-07,pr
25,3.310246977779111e-08,-4.822858076463733e-08,2.502976133077013e-07,pr
26,3.294128851052182e-08,-5.899311716630587e-08,2.5070787608016645e-07,pr
27,1.672875448485005e-08,-7.464429546149704e-08,2.295666281526631e-07,pr
28,5.188089066056415e-08,-4.747248707228851e-08,2.5813355111668415e-07,pr
29,2.981612727225904e-08,-4.277388943787864e-08,2.3902467286011536e-07,pr
30,4.224075281487924e-08,-9.125519976695584e-08,2.490390925389592e-07,pr
31,4.727907016341983e-08,-6.279641396937611e-08,2.453712395149905e-07,pr
32,5.5122923149302886e-08,-2.8960628566671058e-08,2.48115324676578e-07,pr
33,2.5100859574410886e-08,-5.5098287916603254e-08,2.456348020240683e-07,pr
34,1.6952355420202648e-08,-8.933561683923751e-08,2.498181726310714e-07,pr
35,2.0153745716409456e-08,-4.4268516497518356e-08,2.461080393324425e-07,pr
36,3.88834762772137e-08,-4.6648101631656825e-08,2.567998202083143e-07,pr
37,4.329666837509497e-08,-6.274262923758033e-08,2.5573197885853015e-07,pr
38,4.67691770469745e-08,-4.6824789424976824e-08,2.5832886585290937e-07,pr
39,5.0588228518463384e-08,-5.908528747989466e-08,2.569157177867615e-07,pr
40,3.0121082522060004e-08,-5.804608298241966e-08,2.5244817136561753e-07,pr
41,2.21084979930933e-08,-5.4870912520666964e-08,2.5784879364023855e-07,pr
42,4.923065307549317e-08,-4.668354772494053e-08,2.5710525757527196e-07,pr
43,1.737045116324811e-08,-5.459259663877288e-08,2.41737839105397e-07,pr
44,3.021036269053241e-08,-8.179380205862054e-08,2.577067457958135e-07,pr
45,1.4353757693965834e-08,-6.414610290891116e-08,2.539101868559542e-07,pr
46,0.015029786297799644,-5.483724198950531e-08,0.45089264242376603,pr
47,0.11657419185785124,-4.516360033046856e-08,3.497224771310885,pr
48,3.376071069228206e-08,-3.691759080417076e-08,2.568622432582033e-07,pr
49,1.972543749671693e-08,-5.685926556763012e-08,2.405683176981859e-07,pr
50,4.9377030362345424e-08,-3.753796543552168e-08,2.514418902858259e-07,pr
51,3.127723803218092e-08,-5.5059903472831046e-08,2.432843656872961e-07,pr
52,3.880429613557149e-08,-5.690835804841288e-08,2.474391103744092e-07,pr
53,4.340071123752999e-08,-4.4875476899521815e-08,2.517907899897501e-07,pr
54,2.1483213977444125e-08,-4.722829595771063e-08,2.4461122102578003e-07,pr
55,4.243061251697771e-08,-6.744893721859997e-08,2.50863135211674e-07,pr
56,2.2137625834553487e-08,-4.6892118593016606e-08,2.2955634292527162e-07,pr
57,4.1625429584162e-08,-5.689787514667586e-08,2.579573938154173e-07,pr
58,3.27926794284803e-08,-6.527797947320499e-08,2.5758907483364024e-07,pr
59,5.363265989453989e-08,-5.139488898972469e-08,2.501969250022972e-07,pr
