day,mean,min,max,var
1,-2.0692473549171626,-3.153297186411721,-0.43491943740433814,vas
2,-1.9063280943815901,-2.911638991608222,-0.37006404090524275,vas
3,-2.05675795500191,-3.155953323950176,0.5994409793571338,vas
4,-2.318475013078267,-4.085230081275223,-0.18640580063486795,vas
5,-2.1768094147562533,-3.5885698560937334,-0.26741181500609873,vas
6,-2.119304724492267,-2.6827975988491777,-0.2964202945236156,vas
7,-2.021566031961582,-2.8137656492939476,-0.14058688432670535,vas
8,-2.1880015462215834,-3.0660305514955364,-0.5035651870439136,vas
9,-2.191591495187372,-5.219389345796385,1.3457950043263687,vas
10,-2.327176285771591,-3.8270535769323364,1.0592171691522154,vas
11,-2.410319489726383,-4.282309360698334,0.03477621875781384,vas
12,-2.622291684734836,-4.567680518920218,-1.725359543557833,vas
13,-2.4058488195293024,-3.1566189914931004,-1.270848447593768,vas
14,-2.1464437650262136,-3.055932463962163,0.3232116397733922,vas
15,-2.1549543169932446,-3.240528795915055,-0.5262168800715807,vas
16,-2.1969391564463594,-3.316461983718537,0.19710271687478748,vas
17,-2.4447914546019374,-3.2189624352045607,-1.2448782266584346,vas
18,-2.3538987665159783,-3.3944110651420556,-0.8374009185457508,vas
19,-2.4423895329388596,-3.349062734086499,0.9929674871468941,vas
20,-2.365802781320132,-3.7349911571925665,0.49112790919855875,vas
21,-2.1980488293368246,-2.828445173966746,-0.3342242160795781,vas
22,-2.2728313147326227,-3.3424887366832197,-0.11184609221126363,vas
23,-2.265117238901601,-3.033741675978745,-0.4293950009324028,vas
24,-2.0579042092728477,-3.0183790293026056,0.7851696934836073,vas
25,-2.081559246032215,-2.7592664916979976,1.907281166213948,vas
26,-2.17045728620088,-2.890584937821074,0.17059754978232214,vas
27,-2.3635798206044774,-3.744063328355803,-1.260596717731694,vas
28,-2.1916464605868655,-3.5275556955570497,-0.6317358377472013,vas
29,-2.1713049080340516,-4.9023322488658305,0.15811097858252882,vas
30,-2.283774991257722,-3.231062743370914,-1.2694866105773495,vas
31,-2.2479555392647756,-3.9629379355469974,0.21441177498051994,vas
32,-2.0176192989761343,-3.8945913112770802,1.308258300795794,vas
33,-2.114706712484788,-3.651374472204243,1.449424508099563,vas
34,-2.1533010112053157,-3.4604024398828725,-0.7507339138092788,vas
35,-2.143813901200615,-3.454096383044918,1.1835611472124914,vas
36,-2.2353235152978743,-3.2549246594335743,-0.5839413310570692,vas
37,-2.2494141690905196,-3.2800508043588446,-0.5931053233991501,vas
38,-2.2685226954791022,-3.0147532001446407,-0.7490269116653068,vas
39,-2.222220253196851,-3.419709287676291,2.0245402747505903,vas
40,-2.2706482001599726,-3.4574670626510504,-0.43065862313729564,vas
41,-2.42229733158684,-3.2924873573515607,-1.042058611779042,vas
42,-2.296365173861641,-3.3202203875616307,-1.0386897017456462,vas
43,-2.0597208619969543,-3.269075463552573,1.5474087632533315,vas
44,-2.087848597228669,-3.0943937893939277,-0.2877617041543943,vas
45,-2.171380579245549,-4.0283644518013535,1.1937490365312915,vas
46,-2.223222669047667,-4.203429875570822,0.7065124790301482,vas
47,-2.284204810891788,-3.91514346211159,0.7300615655831844,vas
48,-2.1600885881902268,-4.758169225219498,0.303641975282024,vas
49,-2.1269178383025706,-4.2443517274981515,0.031024946743731685,vas
50,-2.2233171844073354,-3.6768151795621273,0.5492729080300787,vas
51,-2.122526005190251,-3.4723168927334322,0.13890100441224335,vas
52,-2.2405916930867504,-3.445567646880196,-0.5563189190112672,vas
53,-2.040418568285987,-3.456586666837859,0.6649846178826375,vas
54,-1.8732839236362544,-3.417260062051283,1.5497557988148492,vas
55,-2.255863112490684,-3.37668518960518,0.1042858748662927,vas
56,-2.5761761937122696,-5.457765641239502,-0.4464248988126696,vas
57,-2.297991826955553,-4.88039915078709,0.8468248900827582,vas
58,-2.076618625826873,-3.6692779125720407,1.3648264016482186,vas
59,-2.1500314489408283,-5.897518611431611,0.007089814027084751,vas
60,-1.8240765334733817,-4.1089407183652416,0.5710231183591321,vas
61,-2.0366862010774684,-6.587330675170508,1.0047800609525273,vas
62,-1.9352057147201536,-4.553638884259829,1.1718307727517112,vas
63,-1.7667189294062682,-3.72170160785227,1.7073092062705153,vas
64,-1.9270574757966492,-4.050714406496121,1.873158027697813,vas
65,-1.8742211666181658,-5.240303668501013,1.9147268376374147,vas
66,-1.5638172474183811,-3.935476237409982,1.2722192481872097,vas
67,-1.5072970001223625,-4.286169299942593,1.3138066795909202,vas
68,-1.8566252457179389,-4.753304238882773,0.952926925007711,vas
69,-1.9900165959065064,-3.810393514094694,0.11751489449338737,vas
70,-1.9036952700698464,-3.248838736954849,-0.023201526864864375,vas
71,-1.7644742623700957,-3.424676072694523,1.0216387937036129,vas
72,-1.6700728310879738,-3.5527378231839646,0.4631600645422159,vas
73,-1.2913018823048674,-3.5933660661379605,1.848496996522797,vas
74,-0.9678310851986952,-3.942848700801613,1.4759972579330223,vas
75,-0.8407440717699138,-3.6159578672729884,1.7915508170873498,vas
76,-1.08596355272473,-3.350110878298289,2.6615154674365575,vas
77,-1.5055340811549232,-4.122555545234264,1.2149165161398785,vas
78,-1.7860336989357697,-3.806886307701768,0.7949474714043088,vas
79,-1.1151790041047676,-3.2922900302947418,2.2508905101104624,vas
80,-0.6885091089389583,-3.389814834227187,2.3713464005157725,vas
81,-0.848874404088333,-3.9840082095854905,2.0503512387133904,vas
82,-1.3442148626639623,-6.613261435461976,1.2396491276733905,vas
83,-1.7071985348857477,-4.476625512561892,1.0721743901042244,vas
84,-1.5044420923035566,-4.4980816767268035,1.465233662599711,vas
85,-1.4533762952442382,-4.3642156797982805,1.8512669402389086,vas
86,-1.4428445081733625,-3.7107793737403307,1.3833809639666423,vas
87,-1.4704090207152625,-3.9599131766026807,2.5404382742618585,vas
88,-1.4951718599912265,-4.242325430890974,1.6361966906440166,vas
89,-1.33050919194902,-4.27960751574858,2.1436673421100676,vas
90,-1.3811615643637511,-4.031365213484351,1.3914477661319662,vas
91,-1.3047677787712895,-3.482079943197907,1.817940003871992,vas
92,-0.8935868523281276,-3.4391103162041032,2.000725414069408,vas
93,-1.017897571517614,-3.369139234374482,1.5245894609595534,vas
94,-1.23816784160883,-2.720426929532911,1.3069222888687562,vas
95,-1.404839929142159,-3.517286297792497,1.728111386012778,vas
96,-1.3524468429660181,-3.4171590869140207,2.7412381800466328,vas
97,-1.3215029836872643,-3.178584370389653,1.6503861705474365,vas
98,-1.3222241102972963,-3.574161664278675,1.77023367355231,vas
99,-1.0764632631629572,-2.859242737747925,2.2079391050762434,vas
100,-0.9461123654747952,-5.765996482752682,2.326501378433667,vas
