year,1,2,3,4,5,6,7,8,9,10,11,12
2051,3.744989062911237,4.024897351568369,4.164060704064338,3.864661510118523,4.409022409689795,4.602343140778687,4.489015346985882,4.150650265029764,3.6902786161857217,3.2007934230339425,2.9968261473599775,3.744348482807153
2052,3.7941119550774673,3.485976887323799,3.8767085081985884,3.799884302989782,4.613720149701663,4.339884794810888,4.089971600919515,4.06321731815886,3.5430049153428063,3.4707621096051025,3.4752409837537206,3.943970150838727
2053,3.8880339008618128,4.741678626307768,4.357321527573992,4.11179275057953,4.047665121558122,4.109267513278067,4.639977483423923,4.211502192175567,3.993251786484627,3.1932528015174806,2.9330719502488334,3.8620845604152483
2054,3.674711361268612,4.27867376493459,3.7630179215423034,4.208571326616512,4.658662397439285,4.544525770597908,4.528402049869975,3.868028602163258,3.6734056094638037,3.322395498431485,3.34899480991361,3.3851939981801276
2055,3.6176930033184957,4.564423225430072,3.962118146086051,4.239227235189246,4.246251202406766,4.336475760109782,4.38339817698718,4.262273392403069,3.4780957842116194,3.624847151427486,3.1315998782625485,3.9842211191165546
2056,4.525509118296932,4.213339985649899,4.34974563816043,3.936451389283215,4.36107934849552,4.441246508040874,4.241927375449333,4.288684784863434,3.663457312896817,3.5060753207190603,3.1725833697370884,4.0901709786808995
2057,4.2385670450677155,4.131767962231154,3.8705352976788965,3.8706747530092547,4.232243072544309,4.631956959139655,4.299270176811047,4.068353809082784,3.845261961220346,3.4516995245450643,3.757438906647801,4.616150005858511
2058,4.795010647951926,3.968653461892852,3.875392277064876,4.3858793767359545,4.540334915790634,4.80169431335815,4.235478653071993,3.7848293186808837,3.4142158912079643,3.396010269801119,2.8996138948707246,3.9795599129964803
2059,3.6260583757428253,4.397818803636723,4.054527184397617,4.326128598251717,4.2402304371980355,4.480559540265902,4.260076511394013,3.819775832378516,3.730786138478304,3.376199284154233,3.298679406400799,4.338083634534558
2060,4.542015925396356,3.850379779453619,3.986952475216088,3.6974756586106126,4.44260107866183,4.639446646413999,4.29953278125758,4.029721404727604,3.751419602032607,3.8272834410385737,3.3639181282377697,3.949607930669746
2061,4.13595998245545,4.105776517325502,3.7048196837967757,3.8787723230526674,4.4594548057926655,4.393131679157226,4.424084851269794,4.20623285929282,3.6713231277709295,3.3758379767896067,3.2188392940964596,3.8880971091813987
2062,4.472012387601727,4.556288535192628,4.162332423134782,3.7403315660107475,4.2995876544347285,4.439537426034543,4.166563275297479,4.245510478440429,3.7627219354384653,3.537647332310333,3.494415125559262,4.107572548900201
2063,3.6436339290013864,4.217958752951761,3.7143887166077394,4.1952673738956845,4.752572532141951,4.501201260918128,4.514329884746461,3.684326111733066,4.021012338887121,3.5409823351034713,3.3467776741591195,4.1114193165469946
2064,4.135572602083877,4.113544825053767,3.9316340416708653,3.690755095942137,4.593006959286114,4.521331409649358,4.304213600787968,4.258879498637391,3.8565055932718986,3.124988380905498,3.505604856513711,3.911419791528911
2065,3.968461773278712,4.0283148526600785,3.836637823243373,3.602228517036932,4.54401906474739,4.532418026105293,4.076941156461251,4.261206349387645,3.266620067787365,3.441359850507441,3.383079397631433,3.554787027498427
2066,3.9212467890269123,4.475277238199843,3.675427538939705,3.6193686504605673,4.48430021208201,4.327945150763102,4.183151154010677,4.016120969995118,3.6921617571293295,3.758554566043418,3.0722744951220973,4.017649681858201
2067,4.305755205495554,5.245109487287203,4.035867048111734,3.747004864545994,4.647416038334358,4.410488516890313,3.9300129001703095,4.1637493284470555,3.670731554886191,3.673496452210104,3.622566711797355,4.048453430774677
2068,4.247349816299427,3.9601601748681445,3.685433451376418,3.7407560337248227,4.614858867258357,4.0866991361277,4.464410136984727,4.03409468443386,3.9442043575020618,3.877024739921895,3.349415755283343,3.483845774383193
2069,4.314042230940424,4.180101695243733,3.7522936931663646,3.883852862241745,4.522816814773239,4.325183275150014,4.46408062825636,3.9376567533281768,3.5703012477768286,3.1640696854114867,2.812972193111775,3.778191064670005
2070,4.392840640215637,3.9907019218758277,3.682359652732857,3.73989826733717,4.648051018844045,3.8585257249094522,3.9279936342601984,3.9931709119398957,4.3044804719885414,3.7324075900786102,3.6411104871921065,3.761442610216187
2071,3.8185485968153388,4.744215794740625,4.078832237050541,3.917085758163621,4.8419115249600715,4.74563039957305,4.1908526283674234,3.9800176269339187,3.9136741754283477,3.663870982410517,3.3148543616569452,3.2263166668618526
2072,4.248507058323252,4.237265996194453,4.261289125672702,3.7280923449238696,4.689614859510944,4.819927061398419,4.168061145797423,4.356116168625219,3.5261410902855914,3.2648524344020458,2.7719960100992505,3.727978265840365
2073,4.397574911174849,3.683855814336153,3.6671576382449507,4.070289371209622,4.401206986725858,4.641205728859684,4.340458325231464,3.7449362739370766,3.3586557680396623,3.510264100781553,3.2555667096621286,3.4004533475459637
2074,3.750795112204603,3.725045368237335,3.744278803857271,3.9119499852945174,4.545324971590035,4.327133782905632,4.169524996902434,4.482557829112838,4.220063913900846,3.6655573698878783,3.2886191534619513,3.8011433595149304
2075,3.9184341013590065,4.167648312201291,3.9538695550059773,3.6743261661994295,4.127011122989831,4.60548913024991,4.448813211622194,4.763725385914067,3.7720786598343308,3.452797540614389,3.3998673989317103,3.6444008006749136
2076,4.038582045771677,4.489249712315379,3.9085326895882857,3.6095536314224193,4.672052825221272,4.5123381908932405,4.63410733398165,4.042593772209162,4.319075650654317,4.088377006487058,3.547459370183178,4.256164358202345
2077,4.348131937929007,3.91561033176654,4.173897462863134,3.7789318093332755,4.494002886769711,3.752491826291707,3.942739494872159,4.234720623955894,3.770999918428577,3.765161125654507,3.1611981493848123,4.574663960509737
2078,4.130863433464148,4.582885233664586,3.655546288411541,3.8615643876778174,4.344783952693724,4.560756713589701,4.255002432026335,3.7681054297141108,3.6177056234918594,3.4838053252339347,3.854428647235161,3.9694750539680084
2079,4.113547015602684,4.168812488450276,4.172862399538089,3.6189923846987826,4.605120934780703,4.478510074626057,4.267518469833259,4.653486975097312,3.8997276977290056,3.7551079145539252,3.537401557344252,3.8158534437750675
2080,4.380153551425197,4.310146829022477,3.9846042123526746,4.080993617979992,4.257033901547649,4.911706938187723,4.405791734770778,3.8754112933181166,3.6933183279717343,3.4046401596371805,2.867149572998678,4.21117415642781
