year,1,2,3,4,5,6,7,8,9,10,11,12
1991,35.056760453916844,37.47336501000019,39.63247058169212,42.045838955666675,40.40868792962493,37.60930577329456,32.40055376493935,30.0602674118396,29.97039254765028,32.70963970568222,34.98715764413176,33.507546824061386
1992,31.083884321771748,35.78760823329746,39.006359357378905,39.62238827413936,40.2215406010807,36.19102662700946,31.939645729817062,30.17225728689428,30.66684421964385,32.86041492233288,35.352527622544166,32.411476757201605
1993,32.7115765180555,36.32089804486356,39.423818786458156,40.47834790310948,38.708563489108364,36.41640916067948,32.20588228718175,30.321276678401325,30.367461167348495,34.34479700463206,35.571060558352286,34.38690882038857
1994,35.510849357486556,37.33941476732303,40.22755410535454,40.580189492206415,40.37174731568344,37.293468570787965,31.2896971358463,28.903289582797772,30.245793041975716,32.08092647701705,33.15122310963808,32.643812258151556
1995,31.598111392050537,36.24989166104945,37.94936115942251,39.555548318519506,39.77295845683765,36.79274091055548,32.806895018191376,30.671454918223827,30.96191369488493,34.4702371395413,35.7916845736611,34.77793995034682
1996,36.73745704718883,37.15668955424435,39.80621306154166,41.670474028036395,40.66700748032379,37.92212798236542,32.985794907829415,31.15360161547863,31.353659790323203,34.953692567232345,36.80553420662638,34.6793221512719
1997,36.57004649028479,38.32697258973834,39.78143807752715,41.447213717743026,41.15319239714967,38.56600418386689,32.32806610410388,31.040399771956935,30.352902066554716,34.01407082774607,34.72040072386232,33.300889590013426
1998,35.647397109867185,37.52320633641718,38.37471970553792,41.218032020264516,41.344255216138066,38.41723299842807,32.067553875643114,31.04472909119746,32.17407743556675,35.38700162527052,36.854953526055006,34.62735687048785
1999,34.44271068955691,36.46180702066463,40.65966452597184,41.72019972537698,41.31424643590575,39.04102339809432,34.0628726433981,30.58395727386177,31.440760182694415,35.515786529805965,36.732024279330986,35.99637354581054
2000,35.3164660956968,36.512507999323866,39.37650964421297,41.31440156221227,40.57749208672693,38.07600152992832,33.50131803520055,30.081969011743567,32.10234178530569,36.157344557240286,35.856829509788554,35.883420286141444
2001,36.049577518110496,37.33274313915608,41.00492112989105,42.32298094893409,40.69798990893521,38.98818371907053,33.81635721453028,30.339487064983064,30.803952463150605,34.111658193396906,35.248239167654944,33.49803058977176
2002,34.84051650399211,34.79734003945145,39.14871360627781,41.472706862509604,40.197637567557656,36.84549853970282,32.16475834759345,30.616898954385526,30.757793905460616,34.54940352088591,35.727763051828596,33.80295083706502
2003,34.12274242033059,37.37083635517985,39.76400908934217,40.463173413110454,40.06096543461681,38.21444110726546,32.21735634742117,30.409127063599804,31.312692569701213,33.68393621009723,36.560593343941065,36.584520188554364
2004,35.49411841860436,37.715177778556594,41.04738652598159,39.88828792992435,40.25611921466798,36.81162557317426,32.87162266740005,30.552546175624872,30.623635293645147,31.556780236749557,34.1966382894944,32.80297224747779
