year,1,2,3,4,5,6,7,8,9,10,11,12
1991,19.77515878685335,20.190427490198044,23.253361989336295,24.00493729912737,26.23814950508752,25.996370381343674,24.194301711727885,23.2073515614916,23.129794650129657,22.650142358506866,20.79545383776718,20.38198341645974
1992,18.79218201448106,21.094517813375205,22.713773124062957,26.400916823182786,26.854619530327295,26.723479787879885,23.491634645290578,23.209437274500303,23.278750679371267,23.76953235295667,21.859086665458562,19.825423409621763
1993,19.146325865090056,20.68242147093181,22.6866924471209,25.093192377300902,26.486846814123897,26.93257434786791,24.66294571742666,23.770662403341735,23.380471329308197,24.441753906821987,23.8235187309022,21.82815615468429
1994,20.906483106494104,21.317438575985307,22.285298098821585,25.382023344156245,25.908398366117122,26.409231019420382,24.311148460849267,23.313298882086343,23.895892608914092,24.345820516582418,22.14563087733753,20.52081593458929
1995,21.02752900819261,21.83402203573682,23.79363254221288,27.243362707438017,28.02492418363369,26.913716093713802,24.638676830842822,23.524413748872878,23.423395126340477,24.362834182501036,23.23737759119043,21.275207108027438
1996,19.469867259830444,23.013143603133948,22.004357548935808,23.732197084321545,25.917488432277665,25.206257460335497,24.384936645471694,23.850761339965185,23.3446513529517,24.117945512653137,24.049735362984297,20.69313332788181
1997,19.04836599486456,22.08328267943682,24.094306583731527,27.115191464313394,26.750493965549843,26.299819430649436,24.391112857550258,23.49412935069089,23.191976746787102,23.43275862084422,21.367695592370563,20.05029566953824
1998,21.110215530386952,21.370710884609974,24.24510727317006,25.433929184401446,26.99544713869063,26.704862976085163,24.837674432757602,23.745397608346174,23.39846873087477,22.952304253005963,22.349690457500547,18.876965761982987
1999,18.760207236502655,21.082039586986145,24.199471604381,25.386488838866093,28.500212907412976,25.981035657718383,23.889959590122213,23.201273034892477,23.413658388871205,22.704780996572875,19.84834433065853,19.421605590722763
2000,18.253265287620263,20.96668555308554,24.184139096553274,24.768564116115076,27.20170641781756,25.787141680238925,24.811991222848846,23.69812117190716,24.13297374005706,24.65032081691383,24.07174887256777,19.563925192077335
2001,19.36902981302532,20.280331586118358,22.902168348887333,25.87768823037111,26.477422321056235,26.356333817858626,25.10633836485836,23.897855374559942,23.707373958668857,23.829631671959326,22.76983150233077,21.58301097918129
2002,20.46491501341453,23.4656060844055,24.714526156807864,26.784199326143163,27.90307058478375,27.46968543917233,24.617324352677002,24.06738670546265,23.67503192011561,24.27634996080366,23.635882862992545,19.71556516241177
2003,20.452781504562214,21.560348731706448,22.81728476694467,24.400382923290422,26.325764859085307,26.738598081402753,25.111332887869132,24.511036512160796,24.159429297664026,23.134202702049727,22.514670039138235,21.461966897324526
2004,20.61016412604656,21.56152812682719,23.613273440516455,25.376180856061282,25.994988346603133,27.12764963880536,24.281126520294066,23.454214052768545,23.448528317964904,22.83404702749832,23.389506545026432,20.13528212320255
2005,19.841659830701914,22.417821968053232,23.998077744502826,26.874370070710704,26.17864758737742,26.689658011041573,24.84247705167346,23.858619282265597,23.747278200367465,24.43134064381745,24.21320338800582,22.810016132509308
2006,21.435642688497147,21.585120017957376,23.67258553244363,26.15096552635583,27.435134456221746,27.7126983423101,23.949670581830535,23.384096112384736,23.646113663436314,23.51843025191523,21.518929748854,18.93974692374919
2007,19.21169438535029,21.265356883764788,24.076767607649554,25.64166939330104,26.533243579858016,27.123964155929514,24.615721317300427,23.533107044857356,23.626697351378517,24.37111732026524,22.84001932092169,20.93307848554544
2008,18.839198174929034,20.654442359203,24.47637010217923,25.56017659526327,26.15954438853957,27.648025475082843,25.13896597916841,24.16919640728098,24.15174058517924,23.485159522980293,21.75443667645542,21.730552172553953
2009,21.093284052333264,21.473585368607903,23.303097090812468,25.956198148087804,26.711597701789305,27.85003401038488,25.417677932472007,23.775313301477976,23.885992677767458,24.87719213252602,24.14906852890304,21.884268511396716
2010,22.362846098384356,22.923742867771953,25.831536468348226,24.70819286965913,28.1933854974564,26.656574153992345,25.54621028659003,24.725217145264672,24.335567637843315,25.804803889426314,25.371583178885338,21.204424272457395
2011,20.369982411665166,23.130421193678597,25.51223585518806,27.685977691425318,27.740967324838024,27.703689475689377,25.788386626434974,24.32942687628313,23.96605521572162,23.653577364354806,22.713562396668465,22.53400513044483
2012,20.666712741440218,22.444153279756062,25.24892381105333,25.153460131119157,26.306099612559212,26.52199371584477,24.693947224524496,23.590575024132796,23.745769182196955,23.989607306857874,21.48262153856336,20.17413488908742
