year,1,2,3,4,5,6,7,8,9,10,11,12
1991,19.29412151381875,21.74938577682588,23.769576380577554,24.840258004260143,26.402825017304544,26.108237815110883,24.44164514262828,23.63319100239017,23.378725493951606,24.60472979859615,21.434564967823654,19.80336823975828
1992,19.807985105111886,21.911232581622876,23.93311714457968,25.336392564614577,26.644345707113278,25.611594167182602,23.712236073670965,23.521735188906185,23.53267029262838,24.236357929753513,20.99388628296502,19.42341640487868
1993,19.66738649628853,21.517675633835456,23.815710216227984,25.39130973679731,26.108323086240315,24.6922168623285,24.076795718770782,23.241371073999357,23.02559305892238,24.01310513932249,20.909441565589564,21.304349727416177
1994,19.951053853765746,20.68779481156717,24.297762425012667,25.917278021199113,26.294232623179706,25.66368436753563,23.691614926189818,22.697947289610234,22.95085431396443,22.750174814508505,22.438097086556052,19.83585407938114
1995,20.39237290547168,22.526300145654268,24.424478723931717,24.962022223948154,26.964578106484968,25.822416466161908,23.95236427785109,23.282579279126793,23.12633089323001,24.88065555027602,21.38736808019634,20.766573288104453
1996,21.26237846180563,23.12881392561212,22.01017329086248,25.860030105387683,26.458067846240628,25.81291722266723,24.38207174543744,23.644714638351665,23.739547218963118,24.773131461072673,23.379716115592064,21.19755210512262
1997,19.852033993449854,22.13715156217685,24.266574482500772,25.887721013778105,27.626442764794284,25.927190136099362,24.06049519918966,23.891243058847287,23.64359651451534,24.541035449460097,22.917640811696824,20.635567181806262
1998,19.05859217648604,19.609760947978792,22.43721534542394,26.001538035649183,26.69817816171659,26.59542175419224,24.21909164236825,23.7006991723107,23.726389057938686,24.27221327428424,21.090463324177502,19.990365541313476
1999,19.683278425713187,21.930389738874787,22.798947492394852,24.76717314687588,27.90795290853779,26.255699696682075,24.162482557068152,23.441507705251443,23.637918699477364,23.775682240838055,21.33636618198491,21.377218194273247
2000,19.97306785678213,21.748341140335892,23.31613694485343,25.451086569161642,26.834443585882873,25.941971858241963,24.628654381427598,23.552434629307122,23.696881134932262,24.238485759403105,23.97616669595387,21.51300863592187
2001,20.757360912283083,21.799252904288306,23.208104782993022,26.25930838646125,26.900887756072052,26.020564373073935,24.742307383375966,23.77748473422882,23.483686583568765,24.620713577760903,22.382750094209786,19.92783200851989
2002,20.354237079358693,20.715966500021654,23.193405771309422,25.972464224335056,26.899998625740615,25.28555610795906,23.84511492044575,23.597287067786002,23.528014743999048,23.85269343050108,21.101472978653312,19.668273192412506
2003,19.88306831342581,21.160617336319074,24.012770734996252,24.40230065732396,26.42889908757692,25.498794336201787,24.02815523171196,23.358317762783283,23.31972656558054,24.66047654230348,23.358920822230534,21.093704971002744
2004,19.897028213135656,22.524485557689797,24.972291579146937,25.92896194374417,26.441548714495795,26.313527109380082,24.764908195149754,23.501076121145733,23.917470157489117,23.96913401345031,23.170256533106947,21.193124404296015
2005,19.91829358563796,22.55128161186081,22.7672554167261,25.834719576777406,26.615661472762163,26.433484951748916,24.580994768283226,23.768958322033725,23.691673221254426,24.863344828968124,22.202616314626205,20.030806683248294
2006,20.041428894114627,23.48825265886958,23.577082656553547,25.49693323093387,29.032385728884563,26.599230134041076,24.434219454422916,23.72823133991925,24.01638848868813,24.604779047033066,23.330498784354578,19.73842156253395
2007,19.052726842965775,22.41564652630193,25.699208844004197,26.162202495305962,27.65467139392309,27.121649503128694,24.596442631901112,23.976880889518046,23.795724704622327,23.806540507080417,22.350194528311814,21.37403141269964
2008,21.276009157172826,22.141969204547937,24.58126919367425,24.71139775253661,26.8540105691329,26.695640122721112,25.03070073748653,23.642331813984857,23.82152443030535,24.901053179234307,23.08203147823361,21.13585973863008
2009,19.906010981831844,21.908965941704746,24.224821784695642,25.367804356695046,27.68965156716692,27.386786498933056,25.700221565738207,24.329666391383974,24.222340399357996,25.396262672819777,22.295292040070294,21.00669955701996
2010,20.221404073046887,21.485814723412414,22.722440972361465,25.703335346325627,27.314804576795396,26.95350899772233,24.66188190726695,23.944157358091886,23.758566696662555,24.056602236996845,22.601024273015756,22.725657523340406
2011,20.14559757169322,22.100269559859516,24.987043714287644,27.164356893934936,26.75596184392877,25.92924616810177,24.417012756271287,23.59466816558623,23.674347551808964,24.908395714119635,22.258382899384326,20.297664797026133
2012,20.19615452096069,20.471065612465015,25.95785758857155,25.500619608594363,26.66630752986815,26.370505528145536,24.808981622015292,23.79589248989212,24.054338948631628,24.096391617453097,22.132088892850312,21.37564867204356
2013,20.533165981837502,21.57504133902793,23.956308799880137,26.90670772189994,26.071465445028245,26.803398815897513,24.71172454981297,24.080593050097832,23.856362261501875,24.576262328615464,24.221368308690632,22.166566305031168
2014,20.907863875930694,20.93520775152145,24.057830837947527,26.73507611992751,27.12436256216047,27.00896050352014,24.91704645881672,23.933638991460402,24.046413752691375,25.128257838061995,22.735429468376555,19.822340464097323
2015,19.24553148767087,22.226787057470847,24.811219710089105,24.859181938318972,26.91094958291284,27.402305101374658,25.779351101062925,24.41946482862483,23.962448733288465,24.23315632060779,22.63771267008093,20.80025328588177
2016,20.920164464325048,21.606635235456036,24.372860722643477,27.00573358034042,27.091335645172276,26.957014775053445,25.280041242350563,23.794955068353957,24.128467525726204,24.99126009518547,23.802599161450736,21.00475101816004
2017,21.49155498519512,22.367130007676298,24.40862718599815,25.076927315463568,25.706727835547127,26.937645242387166,24.7138166561947,24.061940238756037,24.300152674396383,25.233643019487875,23.09921677444248,20.698596140388872
2018,21.05236383398411,23.253345052112955,24.719095449987044,26.975945814640763,27.737721604993304,28.162085283980563,25.295949796368323,23.93433435204135,24.191258769476562,25.35342423467059,22.816917502533713,21.48376882874028
2019,19.785412226611577,21.954227461978963,22.925892149363868,25.50993343058572,27.010582981750456,27.284951977355966,24.626334435249067,23.724315257946532,23.581644467293536,24.780486752685785,23.505752137935353,21.558938557649576
2020,20.671121494265766,23.057347413150556,24.316021139678888,25.457832264426504,25.810719035257314,25.5835896954959,24.319608169095908,23.91905713833343,24.236355372499016,24.456611747390035,21.36848380314327,21.415988514641253
