year,1,2,3,4,5,6,7,8,9,10,11,12
2051,21.649299489088673,23.554237208499707,25.457328638589637,29.042234039163404,27.63332025839002,27.99272413373283,25.55621706052993,25.033877640850182,24.82574728230666,24.80057921594589,23.78011800141921,23.397789718520333
2052,23.216218955132334,25.18634795830215,25.16991031723159,27.74058853970198,27.693377551074192,28.14712115735405,26.374070792280428,24.75836598045144,24.636696503137486,24.97910036471834,23.23651957328262,21.947456268067707
2053,21.227120063813313,22.999253545888614,26.734681776074982,27.225582289973623,28.758070560502826,29.108400202464303,25.743904480378735,24.988092149076547,24.777570980217753,24.986465933891594,23.118139528151733,21.888288363367373
2054,21.339759485698366,22.043940660030348,23.708586924256146,25.413221741967938,27.040884645098608,26.70245936918262,25.540884557364194,24.625021188462075,24.501959837678893,25.035603246877425,24.476609928811115,22.717370807534124
2055,21.341052260343055,23.32879528681878,25.867916052614603,25.760572600032994,29.77841645766325,27.868309884134774,25.874070507689954,24.30790987616725,24.59558516689101,25.289270911864055,23.312274666040246,21.834951738949048
2056,20.470019585609574,22.552414645748673,23.376568435591285,27.82659094073195,27.561555746007944,27.57190194302519,25.86729557887852,25.016710867416503,25.112320368791757,25.545506612778635,23.37771098014527,21.544166363419627
2057,21.11053045409943,23.430592353535918,26.10783989433283,27.273904071293526,28.55964413127332,28.038731720326677,26.437209671759305,24.837466516892682,24.941923491091003,24.5926628261526,21.257336801465147,20.862920737441943
2058,20.086456558613524,22.80838107608304,25.462265513310005,27.479647725147874,27.834431730013126,26.82451323602686,25.44617397478853,24.588583155208642,24.784163148945574,25.30167737256069,24.38383154527897,24.111212569858342
2059,21.386707134453527,25.293672253801578,26.115695338973953,25.124538650284094,28.302187234970596,27.661340489330986,25.55384419281514,25.230538854170707,24.720602222283496,25.055101129522548,24.089449022784404,20.977457560198896
2060,21.532714375008325,22.92559753617801,25.01391847337369,27.816615341414213,28.537033280544424,27.29187873251198,25.229488780305488,24.661567510910615,24.725890300353047,25.898574120352542,23.49986851517527,23.18997980125539
2061,21.377994691250713,23.460091432753067,24.381092275493874,26.322454949216553,28.305618075227645,28.253880546587407,25.65285172849953,24.373630250118367,24.812302022407824,25.772323644561375,23.304537709491704,21.96114227596657
2062,21.198302809309133,23.426518268041793,25.298806688843033,27.56847042361006,27.51859343119578,28.138203436117564,25.485535117080172,24.837448813202595,24.877214656892637,24.475479377599054,22.174102833298075,22.57285935413342
2063,22.117064593793042,22.993501212046088,24.29115233284769,29.27452773568833,28.18675590560833,27.10007908384199,25.01190779870885,24.57657144871745,24.705832387111744,25.09990189055665,23.344927084084038,21.666664848099245
2064,20.808137707793662,22.33090115554117,25.102892351654745,26.877682734353986,28.79964225881362,27.959469148585516,25.558611264112766,24.953912333471564,24.9223499529127,25.309817967184625,23.453563746061416,22.124711583067366
2065,20.929031745324565,22.19954578087546,25.200498624367672,26.5558539238955,28.500127257928842,28.04399441313547,25.956557441837216,24.81612741141557,25.01249839485193,25.82913791949814,23.545354318879667,22.52984035607865
2066,22.135885450653745,24.85210970123745,26.25999787072738,27.01368219191203,28.62188351646815,28.457823338369668,26.11980163348968,24.64433876312206,24.77945101236239,25.544936937287467,23.72383414406088,22.26100348712976
2067,21.74293208425485,22.401053631924842,25.234648323763523,28.781943413228632,28.332644427407697,28.311808381879178,26.269568502427667,25.10792355422771,24.991724837511523,26.051794327430898,23.83286505744378,21.96243116978261
2068,21.739956464550385,22.69218180314659,24.699400298265672,26.366105130696255,27.89353550657234,27.90837286465297,25.669579432403843,25.083781587297498,24.898336105453996,24.92181181159996,23.23356773149859,22.382421528717213
2069,20.087816146190896,22.921726066254486,24.112835538068243,26.473227127648283,28.052457129675936,27.72575590798831,25.957840644480243,24.768568652483353,24.77672745910887,25.42419378311932,23.08327385643065,22.81673403743663
2070,22.86074599762232,25.171238067400502,25.361612115766793,26.710179207869274,27.94731782301809,28.042372283479683,26.57838312666745,25.500839186051408,25.487918302166282,25.65430047956422,22.879806932519564,21.542893524708916
2071,22.306816556339847,24.698401610113624,25.912838352313138,27.307146626679287,28.036429022802718,29.058790846140315,25.69431328815942,25.86336514998531,25.190445941231037,25.706238700413714,24.759481379230387,23.0900680536599
2072,22.232111361332823,22.929765295590155,27.001827312344776,26.63690276341505,27.945940647912046,27.633272483437658,25.424127249144878,24.715086098926754,24.82768605938671,25.443117875987618,24.150399728091134,20.521061964874633
2073,21.792636298112814,23.613443133933185,25.622930446814593,26.101901675554092,29.161794822696994,28.40292368222879,26.628128265827847,25.849474013464334,25.384731462194782,25.937958163830096,23.46229543956406,24.255043780750515
2074,23.62067190136636,24.31688712604131,26.00495559739354,28.04167220994888,29.186326037156217,28.32002084921456,25.817317947174992,24.93993911066795,25.062088390577067,25.584990854535707,22.750290871782237,22.60781891592409
2075,21.459258706830347,22.680758515999464,23.936582019149522,26.85310632500175,27.176832451416633,27.70697681129214,25.23278081779793,24.66389809445023,24.837711388437366,25.789168589104317,23.928451959237726,20.16784946363951
2076,21.507234328887687,21.25493591808908,25.157243602866878,26.175699188781625,28.017649367404875,27.844933567503027,26.521682805050546,25.058384389886637,24.676494187152972,25.44747214364907,23.509208216307005,23.729665872076403
2077,22.625878064755376,22.710828957874053,25.88918709030612,27.242097204140748,28.564756133960106,27.78538905426592,26.05702541187236,24.34992320514151,24.582849213397125,26.03164075635395,23.818949577992967,22.388225064354994
2078,21.515156529712893,22.028633967318715,24.81823358044105,26.421342753669403,27.079807462069734,27.87309695859658,26.57352623882991,25.114691624827874,25.05920979503293,26.45710055570126,22.276621976525256,21.83448573838563
2079,22.332132440423457,23.63221648774631,25.19175556431092,27.25352015532995,29.19269078471412,28.595881151281823,26.75870685605603,25.51057538262369,24.743073702882263,25.053277823381112,24.46562271493585,23.587860648454765
2080,24.159402332718283,23.935845359150857,25.648711866661,28.31796634340662,29.463414739467098,27.82783028011418,26.55965767737955,25.419867187635273,24.980329448663674,25.676756993001003,23.639228315378567,23.9040309825859
