year,ref,rcp26_lower,rcp26_middle,rcp26_upper,rcp45_lower,rcp45_middle,rcp45_upper,rcp85_lower,rcp85_middle,rcp85_upper
1991,0.0,1612.4315615059904,1667.169832789663,1730.2143517340155,1535.2364630138097,1642.7104861753323,1747.332517094026,1487.9915406642492,1631.615395350793,1751.9425238185245
1992,0.0,1511.0137367173543,1624.262707792726,1724.4070453073364,1451.2315429096573,1627.960359880996,1799.7639123752176,1429.4913926009258,1617.8099721604956,1775.3022720240704
1993,0.0,1604.9283870543045,1665.7213949646753,1709.9892693593852,1438.3630674149,1633.074777910478,1724.822567205995,1429.6826230667475,1627.0474286757676,1710.5834539182474
1994,0.0,1662.7267857126994,1703.1404674169694,1748.4213002781685,1511.1234980844883,1664.3235452557826,1791.8130873941566,1469.5275040047477,1651.207886798862,1761.511744206961
1995,0.0,1603.5751295594164,1691.4768929958893,1766.790180619298,1462.9694340554604,1646.476376247479,1809.0192417374956,1430.1847178648072,1638.2550425441636,1796.9314388736673
1996,0.0,1600.185477237882,1675.1926435768132,1767.1826531885065,1559.764755273312,1680.3381283853735,1813.893720519519,1554.6613276353244,1667.036187204767,1810.974952964036
1997,0.0,1635.6458435142226,1673.3421968832295,1721.3953720942268,1554.3301341017789,1670.5665711289682,1774.1660910840385,1524.5824536810987,1658.4847523689339,1767.5688223889374
1998,0.0,1700.1774627337581,1727.5948637700044,1759.1283225706552,1614.690112456969,1711.2817607751979,1834.7030697709272,1572.6707471508869,1700.6825928118992,1839.4722237113378
1999,0.0,1610.8446771921006,1698.1063700213404,1766.5384439966224,1481.015193595294,1650.134368918561,1787.6287920890752,1450.2327976694269,1640.8095760455367,1758.4085404781854
2000,0.0,1640.3067108590562,1705.1162531134214,1760.7577765000788,1482.1526089065246,1669.228960951235,1808.1507607221324,1447.3549367902058,1657.8792657695558,1811.378345876752
2001,0.0,1586.8090347537386,1682.679035991931,1761.328778804701,1520.9456035315388,1679.0117490708794,1809.2518659624031,1502.38686960647,1667.3996134423555,1790.9297791875908
2002,0.0,1563.9388862491987,1667.030609226519,1757.417936118567,1477.8126163744146,1676.5438933403632,1799.2490307826486,1477.4539315658021,1666.9004992000985,1789.8974576065807
2003,0.0,1648.124988204102,1744.5888235151542,1828.4016618011879,1567.908741490582,1690.5629205351238,1778.6290390428992,1536.841378366818,1679.8405707526665,1781.175923798992
