year,ref,rcp45_0,rcp45_1,rcp45_2,rcp45_3,rcp45_4,rcp45_5,rcp45_6,rcp45_7,rcp45_8,rcp45_9,rcp45_10,rcp45_11,rcp45_12,rcp45_13,rcp45_14,rcp45_15,rcp45_16,rcp45_17,rcp45_18,rcp45_19,rcp45_20,rcp85_0,rcp85_1,rcp85_2,rcp85_3,rcp85_4,rcp85_5,rcp85_6,rcp85_7,rcp85_8,rcp85_9,rcp85_10,rcp85_11,rcp85_12,rcp85_13,rcp85_14,rcp85_15,rcp85_16,rcp85_17,rcp85_18,rcp85_19,rcp85_20,rcp85_21
1981,23.484863,21.549383520846504,21.50745603946956,23.363243648137882,22.98326227118082,20.45191582742217,18.743097477697233,20.77546065825686,22.095138887600058,22.710651697393303,19.783763235745482,21.635288489057984,21.89000310887161,20.386603950296262,21.91439645319889,19.32112074355183,21.74575834142354,22.343495512012453,20.859513244566415,20.664278416835714,21.174445695246334,19.296256541756748,21.549383520846504,21.50745603946956,23.363243648137882,22.98326227118082,20.77546065825686,22.095138887600058,22.710651697393303,19.783763235745482,21.635288489057984,21.89000310887161,20.386603950296262,21.91439645319889,19.32112074355183,21.74575834142354,22.343495512012453,20.859513244566415,20.664278416835714,21.174445695246334,19.296256541756748,22.169351162622718,22.986696359014672,22.605149304456916
1982,23.015045,21.443835778452524,21.392667890404027,23.6422024003906,22.320454504028874,20.443231779598705,18.987813479692647,21.229988890051345,21.711767625136872,22.83952530395834,20.433380542507678,21.4456872081347,22.0401623028107,18.92069961409163,21.402405543268173,19.124883688051113,21.640274503487547,22.219710033808212,20.483582897674523,20.842073880700184,21.11308321439725,20.070895711409605,21.443835778452524,21.392667890404027,23.6422024003906,22.320454504028874,21.229988890051345,21.711767625136872,22.83952530395834,20.433380542507678,21.4456872081347,22.0401623028107,18.92069961409163,21.402405543268173,19.124883688051113,21.640274503487547,22.219710033808212,20.483582897674523,20.842073880700184,21.11308321439725,20.070895711409605,22.550507273130506,23.641574989544722,22.880100056321965
1983,24.02716,20.77338250835055,21.435286358306882,23.388690158375425,22.553889743232503,20.528597442674766,19.03081264610347,20.558947181889778,21.73759241978661,23.04094038328094,19.81912345420625,21.18436936981368,21.761998672399272,19.89276816497005,21.858516809656976,19.743010369802448,21.89911679395965,21.781766830701144,20.43616042587712,20.807088097152473,21.15154628474943,20.276276170196127,20.77338250835055,21.435286358306882,23.388690158375425,22.553889743232503,20.558947181889778,21.73759241978661,23.04094038328094,19.81912345420625,21.18436936981368,21.761998672399272,19.89276816497005,21.858516809656976,19.743010369802448,21.89911679395965,21.781766830701144,20.43616042587712,20.807088097152473,21.15154628474943,20.276276170196127,22.78297524661002,23.26883667946049,22.621697808627744
1984,23.243011,20.756635175394308,22.222138944167,23.64811867288296,22.762807532468628,20.115765397738812,18.932301062296517,21.649192629699257,22.36173100558659,23.65486429446065,19.61972661994008,21.947837997077045,21.4374077171978,19.779503282919507,22.131510669256556,20.566865448732585,22.187765449134247,22.284717149885978,21.048471517863675,20.938187676388907,21.479297499279824,20.304524192780036,20.756635175394308,22.222138944167,23.64811867288296,22.762807532468628,21.649192629699257,22.36173100558659,23.65486429446065,19.61972661994008,21.947837997077045,21.4374077171978,19.779503282919507,22.131510669256556,20.566865448732585,22.187765449134247,22.284717149885978,21.048471517863675,20.938187676388907,21.479297499279824,20.304524192780036,22.051729094692405,22.863737501361413,23.043497667054226
1985,23.309326,20.702392976841452,20.961052313033974,24.174607758456148,22.76861073862716,20.031787413011955,19.432722549738344,20.851079844015374,22.32281807474004,23.041196689391484,19.65084849049765,21.986640533187995,21.516081031848955,19.24610315407,21.743278164423998,19.344397037443855,21.417862037675093,22.165485320464825,21.21728856586958,21.82377166995599,21.657459872143647,19.030749207660847,20.702392976841452,20.961052313033974,24.174607758456148,22.76861073862716,20.851079844015374,22.32281807474004,23.041196689391484,19.65084849049765,21.986640533187995,21.516081031848955,19.24610315407,21.743278164423998,19.344397037443855,21.417862037675093,22.165485320464825,21.21728856586958,21.82377166995599,21.657459872143647,19.030749207660847,21.877586040346785,22.568722503130573,23.857452296010706
1986,23.18341,20.38063457505109,21.459227126522478,23.722220814671346,22.59141981652806,19.91707074907748,19.270211343080064,20.121762585947863,22.22338271080315,22.85444770185393,19.881543778224568,22.050362860782684,21.502315819706098,19.548240407107244,22.214043048882502,19.563926287911215,22.520076443874814,21.929210861611807,20.61741964663031,20.918471809393168,20.787866273926,20.089891156573742,20.38063457505109,21.459227126522478,23.722220814671346,22.59141981652806,20.121762585947863,22.22338271080315,22.85444770185393,19.881543778224568,22.050362860782684,21.502315819706098,19.548240407107244,22.214043048882502,19.563926287911215,22.520076443874814,21.929210861611807,20.61741964663031,20.918471809393168,20.787866273926,20.089891156573742,21.822028211656914,23.234749651309016,22.777763546965673
1987,23.632874,20.81138126284128,22.08659078744205,24.17600931603863,23.141855302363183,19.431755029305236,19.48026694873147,20.83353436584696,21.864221544688633,23.29581490059593,20.19256242056747,22.26073400474388,20.572729074295353,19.44198224827801,22.404439584362535,19.84354405666835,22.283232523710637,22.712204681088224,21.183135242627543,21.15819393278548,21.05187927551225,20.51385321763547,20.81138126284128,22.08659078744205,24.17600931603863,23.141855302363183,20.83353436584696,21.864221544688633,23.29581490059593,20.19256242056747,22.26073400474388,20.572729074295353,19.44198224827801,22.404439584362535,19.84354405666835,22.283232523710637,22.712204681088224,21.183135242627543,21.15819393278548,21.05187927551225,20.51385321763547,22.187251011545925,23.393626927795424,23.351094655664156
1988,23.348969,21.48868889767033,22.510513996273744,24.299867906439317,22.692994355685187,19.91798086970681,19.396327582168055,21.747061294620494,21.76141406907169,23.70513987688321,20.229033425734315,21.599932591186416,21.051870161074135,19.910167790606977,22.08684387455702,20.470360669773925,21.919741216378043,21.27850242598936,21.5936590008169,20.956101109743486,21.489924408093714,20.709993750232798,21.48868889767033,22.510513996273744,24.299867906439317,22.692994355685187,21.747061294620494,21.76141406907169,23.70513987688321,20.229033425734315,21.599932591186416,21.051870161074135,19.910167790606977,22.08684387455702,20.470360669773925,21.919741216378043,21.27850242598936,21.5936590008169,20.956101109743486,21.489924408093714,20.709993750232798,22.048180107902,22.98910638961513,22.78821650192606
1989,23.135773,21.74414857664084,22.086065556041376,23.406029245815944,23.876175464421294,20.225473460574506,19.325849511751244,21.14588273918247,22.443575554320773,23.27279560106109,20.180595233124336,21.047589786604703,21.770818451192667,20.29746448306713,21.362578131860687,20.173850156409515,22.254378388902808,21.349508306720907,20.83726920769419,21.094197089982174,22.070623913849943,19.101611648255016,21.74414857664084,22.086065556041376,23.406029245815944,23.876175464421294,21.14588273918247,22.443575554320773,23.27279560106109,20.180595233124336,21.047589786604703,21.770818451192667,20.29746448306713,21.362578131860687,20.173850156409515,22.254378388902808,21.349508306720907,20.83726920769419,21.094197089982174,22.070623913849943,19.101611648255016,22.42413479924454,22.821387109234536,22.7282404223605
1990,23.59137,21.770316944574006,22.09834665320136,22.732206018990382,23.58640587727558,20.779284189351984,19.33294732088524,21.40416916800359,22.24546719168262,22.82587340368798,20.03618007185014,21.08210226831028,21.91990671883042,19.738729433861977,21.765862147641826,20.567697822701632,22.08639478108489,21.832105773029582,20.78724977101757,21.594127609939903,22.608939146279283,19.621063117783137,21.770316944574006,22.09834665320136,22.732206018990382,23.58640587727558,21.40416916800359,22.24546719168262,22.82587340368798,20.03618007185014,21.08210226831028,21.91990671883042,19.738729433861977,21.765862147641826,20.567697822701632,22.08639478108489,21.832105773029582,20.78724977101757,21.594127609939903,22.608939146279283,19.621063117783137,22.584419823816006,22.38323398262372,22.856471982441235
1991,23.416382,20.335004290638835,22.034568774123784,23.133880524325548,23.353222733043538,20.46436197046546,19.64008618737313,21.449899170954268,22.132558255181436,23.37513831696367,19.830898370270802,21.101997708081285,21.54926860563063,19.55618142723148,23.009139349220675,19.830452461857135,21.332070346158105,21.82743933432056,20.78523711606323,21.415149348331283,20.545209169729276,20.471379062603035,20.335004290638835,22.034568774123784,23.133880524325548,23.353222733043538,21.449899170954268,22.132558255181436,23.37513831696367,19.830898370270802,21.101997708081285,21.54926860563063,19.55618142723148,23.009139349220675,19.830452461857135,21.332070346158105,21.82743933432056,20.78523711606323,21.415149348331283,20.545209169729276,20.471379062603035,22.846247858305503,23.480394844281534,22.554036071649023
1992,23.296722,21.681630277977433,21.786047413341294,24.143053166936056,22.227711785695533,20.05739921568113,18.59911240033125,20.73522148734088,21.162534613603555,23.08620412844516,20.147269746446,21.507270480606678,21.480919065471255,19.920389336470066,21.7396092985461,19.7911500097008,22.02777169327237,22.689816345369138,21.323459920434743,20.155280710230727,20.35413912152262,20.39578874332932,21.681630277977433,21.786047413341294,24.143053166936056,22.227711785695533,20.73522148734088,21.162534613603555,23.08620412844516,20.147269746446,21.507270480606678,21.480919065471255,19.920389336470066,21.7396092985461,19.7911500097008,22.02777169327237,22.689816345369138,21.323459920434743,20.155280710230727,20.35413912152262,20.39578874332932,22.46039009820481,22.923505522735866,22.424876775805842
