day,mean,min,max,var
1,4.623507181814091e-08,-2.603232638677389e-08,2.581485206605962e-07,pr
2,1.1562203407187629e-08,-4.104223387526681e-08,2.563356481604733e-07,pr
3,6.814495902728669e-08,-3.3648942005902225e-08,2.5527100777027983e-07,pr
4,4.4816986509469836e-08,-4.216317071847972e-08,2.549498843985272e-07,pr
5,4.650935178907444e-08,-3.75049565605165e-09,2.5701710004554075e-07,pr
6,4.786908649669402e-08,-3.193423383224257e-08,2.2951253446535967e-07,pr
7,4.502829171445369e-08,-2.4272649144283657e-08,2.536364013202254e-07,pr
8,2.0328924050103096e-08,-3.4399712675307054e-08,2.559483535302668e-07,pr
9,6.051348751091372e-08,-2.4381086617533853e-08,2.527128471237048e-07,pr
10,4.5706258944429555e-08,-1.689960057856843e-08,2.5451891203489813e-07,pr
11,7.341762768004352e-08,-3.706447789955309e-08,2.5465087673189605e-07,pr
12,4.8251683961870196e-08,-3.059660960802492e-08,2.463229481564965e-07,pr
13,4.3017715142269454e-08,-1.919209217814881e-08,2.3934379734130704e-07,pr
14,5.595493577990057e-08,-2.8647624991181946e-08,2.5081971543615727e-07,pr
15,6.014451126265978e-08,-3.802205841776333e-08,2.5097927543487964e-07,pr
16,3.661471964180481e-08,-2.9778633484205564e-08,2.583155958482808e-07,pr
17,5.17094090591287e-08,-3.0459558337037825e-08,2.583368641404722e-07,pr
18,2.5337822794496875e-08,-3.874706004307256e-08,2.3374915217323008e-07,pr
19,3.027511999563326e-08,-2.7619838921956882e-08,2.527811132260339e-07,pr
20,3.459519216957513e-08,-2.436490922238063e-08,2.3195289511043092e-07,pr
21,7.633627728071461e-08,-2.6500285974271514e-08,2.5865902054677867e-07,pr
22,5.292582853683409e-08,-2.3153713875346514e-08,2.546100162685176e-07,pr
23,3.702301668609702e-08,-3.463333722496068e-08,2.5160523294233366e-07,pr
24,6.509472428264037e-08,-2.1812375273480218e-08,2.493599268488372e-07,pr
25,3.379803737933064e-08,-3.5591225537762735e-08,2.458196790022454e-07,pr
26,6.524570143419331e-08,-4.5062233075126987e-08,2.536432441402831e-07,pr
27,4.966041407475902e-08,-2.6583972721414486e-08,2.4881264508220357e-07,pr
28,5.195961596187194e-08,-3.757022965509281e-08,2.585316409747785e-07,pr
29,5.0127365562100484e-08,-3.4329625378145306e-08,2.4811660592893695e-07,pr
30,5.1878485418180526e-08,-4.506686227516945e-08,2.41361301990396e-07,pr
31,6.00884459414558e-08,-2.4731463191699332e-08,2.5537662580274666e-07,pr
32,2.761707453241987e-08,-3.029661840235735e-08,2.0072140024921756e-07,pr
33,3.7429311044480116e-08,-2.6993062409795267e-08,2.544161285163811e-07,pr
34,5.8431721711402475e-08,-2.1454050720754126e-08,2.554660173498327e-07,pr
35,2.911900372833044e-08,-3.377675040490929e-08,2.3642464631878878e-07,pr
36,5.424177629666145e-08,-2.181711744114582e-08,2.544194852906824e-07,pr
37,3.4345997341762e-08,-4.9689223633018986e-08,2.45862175640395e-07,pr
38,2.3267333697101673e-08,-4.567378202095401e-08,2.16803908549585e-07,pr
39,0.002060001127478892,-3.210297077775411e-08,0.06179820582452021,pr
40,0.0028090625370663395,-3.316008445975697e-08,0.08426993074905033,pr
41,6.677076291626106e-08,-2.7358856173047677e-08,2.5854894730352726e-07,pr
42,7.750049650655728e-08,-2.318542875778423e-08,2.5917118049930173e-07,pr
43,4.0982675791211666e-08,-4.4475942057686665e-08,2.587074422469675e-07,pr
44,5.773441416204295e-08,-3.3169893627668183e-08,2.5524517340668913e-07,pr
45,0.007490641326429954,-3.434198082426354e-08,0.22471827903551636,pr
46,0.00018731402000148975,-3.809533441464794e-08,0.005617955122778245,pr
47,5.9527204054794574e-08,-3.296942784501743e-08,2.584188819234407e-07,pr
48,5.1611650652292714e-08,-2.4122826553921293e-08,2.53212069543181e-07,pr
49,2.9052116871149082e-08,-1.902295719141127e-08,2.3876622646358784e-07,pr
50,3.564573110677046e-08,-1.5904792584675555e-08,2.541005426818238e-07,pr
51,6.044290618633872e-08,-1.0849919417259003e-08,2.531432500694771e-07,pr
52,3.4592425873600754e-08,-3.3095595044806105e-08,2.42190646809663e-07,pr
53,6.246686170389588e-08,-4.1241663542847496e-08,2.5914572054673205e-07,pr
54,3.373421433233267e-08,-3.0324589434050625e-08,2.4251521601548703e-07,pr
55,5.643149940462717e-08,-3.986064614083315e-08,2.55042331539142e-07,pr
56,6.261322122073963e-08,-5.494015228325626e-09,2.498118619446979e-07,pr
57,3.520536429605546e-08,-2.983133138447971e-08,2.5119956050680175e-07,pr
58,3.5017197067385344e-08,-2.025612051400653e-08,2.4184859296147227e-07,pr
59,3.612608532330019e-08,-4.8709120919591095e-08,2.5597600891771966e-07,pr
60,5.058462266207166e-08,-5.159143455874556e-08,2.529671416286058e-07,pr
61,3.44421611745127e-08,-3.1764785102033974e-08,2.5414776758428484e-07,pr
62,0.00037455909825084583,-2.4427044912056806e-08,0.01123591024555649,pr
63,0.019214071648049568,-3.1223913539776164e-08,0.5764212330254526,pr
64,0.023537670846449397,-2.6852004453427476e-08,0.7061290585834331,pr
65,0.015253145641486637,-5.127294364567673e-08,0.45759297172816604,pr
66,5.488926255903575e-08,-4.5360363567047534e-08,2.331743834609501e-07,pr
67,2.9464295413988898e-08,-1.4861217250905578e-08,2.400918639506836e-07,pr
68,6.883395845218674e-08,-4.3134879509227843e-08,2.514884660499719e-07,pr
69,1.4687447769495983e-08,-1.7877570682215587e-08,2.5126185257241124e-07,pr
70,3.383933235545161e-08,-2.985505405949879e-08,2.4679100818637484e-07,pr
71,5.0033235658288775e-08,-3.3250007777934874e-08,2.5488941688191856e-07,pr
72,4.333496938761102e-08,-1.5185367248881492e-08,2.4763625540408647e-07,pr
73,5.3923847727273144e-08,-2.0712248982012892e-08,2.5630708800375937e-07,pr
74,4.944202287414582e-08,-3.335148092449563e-08,2.495301598756675e-07,pr
75,2.954209434307417e-08,-3.130294283733637e-08,2.551904629264171e-07,pr
76,4.4757415469906633e-08,-3.413613967670906e-08,2.523364760757858e-07,pr
77,3.3567674396167065e-08,-3.003658569189622e-08,2.5062020572015456e-07,pr
78,1.8453485307930836e-08,-3.6380901900838947e-08,2.3038626913270683e-07,pr
79,2.9818163610097766e-08,-3.604820451777394e-08,2.3723042790805884e-07,pr
80,3.610196677679249e-08,-2.832482858852151e-08,2.495619769057919e-07,pr
81,6.234952297015354e-08,-2.7367729347813966e-08,2.562873698077885e-07,pr
82,5.106022906130201e-08,-3.0008116409783744e-08,2.507208146178773e-07,pr
83,4.646558088654846e-08,-3.7655806585925824e-08,2.532756701084484e-07,pr
84,0.00017082516707483806,-3.911023819943475e-08,0.005123999292926498,pr
85,5.0320328158750526e-08,-3.717766542499116e-08,2.520767727248286e-07,pr
86,3.1234174258756855e-08,-9.452128248597022e-09,2.483128403345257e-07,pr
87,2.7327280837324673e-08,-3.002816694014944e-08,2.502538750651935e-07,pr
88,0.024903765969684816,-1.4693375057388008e-08,0.747112170657069,pr
89,0.008515808329419037,-3.115050823024252e-08,0.255472101528465,pr
90,6.692236625809424e-05,-4.4176998158439854e-08,0.0020067234977920027,pr
91,2.896677573678498e-08,-2.0431302302415233e-08,2.3054262006068928e-07,pr
92,3.9896917274514795e-08,-4.763626644447711e-08,2.270611592964338e-07,pr
93,4.433048329169158e-08,-2.2900694607474172e-08,2.4270226242445464e-07,pr
94,2.55007041210975e-08,-3.035658373322351e-08,2.3608666973114333e-07,pr
95,3.8394971443270905e-08,-3.304414011664493e-08,2.5305434020334966e-07,pr
96,0.0007490869074181556,-2.637111825938025e-08,0.02247189538873646,pr
97,0.031048892040173484,-3.0923420535679425e-08,0.9314653882936628,pr
98,0.07113027976063453,-5.782750382151103e-09,2.1339073295957283,pr
99,0.009153799657621097,-4.1734508352893426e-08,0.1688524673151853,pr
100,0.008970483701116689,-2.756526013379517e-08,0.16910469929697,pr
101,0.0017864124831605296,-3.218726281970708e-08,0.053590833034814975,pr
102,2.9045388780198475e-08,-3.1952393729569035e-08,2.453451629026575e-07,pr
103,7.61836202475978e-08,-3.6547018213050805e-08,2.4968526969039146e-07,pr
104,0.002674962616088929,-3.416066031378308e-08,0.08024729114989054,pr
105,2.795701218157788e-08,-3.972848295888155e-08,2.2421292100269116e-07,pr
106,0.00020188767907069517,-5.467195030896343e-08,0.00605642278416602,pr
107,0.009865686376035711,-2.818882157478283e-08,0.18793768613866862,pr
108,0.08339860021795255,-3.3720475912309207e-08,2.3308359897235915,pr
109,0.009881903634373206,-3.2806756820595466e-08,0.28888123637046165,pr
110,0.02275013077387558,-3.89462682998694e-08,0.6821972355644106,pr
111,0.0020179270117137984,-4.996146397078537e-08,0.05967262162906996,pr
112,0.0022267157056335726,-4.5909950918872276e-08,0.05589508132936093,pr
113,0.0008468119615502037,-1.805077266679959e-08,0.019714066155709673,pr
114,0.00019630292925940717,-2.9426125490601346e-08,0.0058886557948649955,pr
115,0.03965504150112928,-2.3289039634257173e-08,1.189650433023174,pr
