year,1,2,3,4,5,6,7,8,9,10,11,12
2051,10.606762337935248,6.170710910698475,4.369355063671843,2.857691623451377,3.445960473935664,29.814146773018436,86.11601430649803,118.45733928756407,123.35907967705603,114.40420089766418,39.605377155151416,22.020617537006615
2052,9.229140001028584,6.135629330162988,4.882755818978699,5.447924039150887,5.778632450310132,52.15870823255824,89.06058612630233,112.33681888622644,121.37344695134665,112.27501006346587,46.49584221771836,23.394592112191603
2053,11.16689837787166,6.325173089279248,4.617204697356839,3.829397962379057,9.921811443434713,23.18194755445044,80.70645651295955,105.83707589034726,121.80088191980015,103.90671817253585,34.012177936839215,15.487505241185286
2054,5.753540421523789,4.281720413927791,3.5752069003663447,3.0822889124024133,3.233919270115979,17.867246944324734,99.6953170316864,116.19188166766087,108.07439753926046,101.93636442233978,34.690257460574735,15.742634678175207
2055,8.720742187318434,4.255665677181227,4.139158194825592,10.457520850976959,5.45740278696708,24.207058851710393,90.4708241018307,109.31346716819675,120.55505231409981,98.01651815421818,29.470825679336603,10.510685231317177
2056,5.936444280376786,3.749415128450657,4.276007491227866,9.63985639391237,20.036546000948487,34.653666322826695,89.07879318664622,102.03605194882473,116.17611094508828,126.20673925714202,58.64254990983905,26.854269501895242
2057,12.329074745280572,6.555736807455182,5.190110666603084,3.796503261852275,7.469200734340733,48.97177158515111,82.4162611164716,107.2275763483741,116.36639441517717,109.02470379056024,35.320846063927284,13.233155252088544
2058,8.633543566619691,4.136806653699129,4.1768949694158355,3.105961109317694,5.006774434744494,42.37278523513449,97.86663038964532,108.42815174702244,120.38768762632962,107.08106663915733,33.33212750684183,16.820446017769566
2059,6.347919469522718,4.196801081140767,3.5741090852106443,4.123154631377331,22.166317389041044,28.53431958106562,67.66489169502358,103.46429538127353,121.9014156885887,116.178181437095,42.058320054973166,19.621989222659266
2060,9.325190843077014,5.551295441224699,4.71491955437067,6.390364867209273,6.692278967226833,6.845772041666233,86.85855966611459,121.09116164539013,113.10776249396605,75.76357428912898,27.624865273349847,9.516854218184825
