year,1,2,3,4,5,6,7,8,9,10,11,12
1981,1.2738887049283575e-06,1.2765587315016958e-06,1.459421496898965e-06,2.128611684631912,7.031359893211247,17.48777729976342,102.69734204945571,292.7001286555006,118.39982831882075,13.106399035034785,2.091365102079818e-06,7.057667821074185e-07
1982,2.1015978734622248e-06,9.620663504038295e-07,1.293242059842663e-06,1.5566165892957327,18.700462122286286,39.03138750200397,162.07976208544807,120.05510223499381,403.10514246288426,82.40433243112822,1.4852456673175877e-06,2.0119881777317773e-06
1983,1.1952628474482338e-06,1.481411434486417e-06,0.1831317498665011,5.522164265161146e-07,0.9517060215692854,12.972244058071439,117.85736363113732,112.84741369854426,363.4064499164599,51.71129049515725,15.266367390252443,1.139429832521068e-06
1984,1.287250259552891e-06,0.05589344870330922,3.29213777180739,9.060137126103795e-07,35.56005537232595,18.554085087825545,76.07027049073545,106.3100727226092,220.88505106605004,20.057851469049833,1.255466412660112e-06,1.9431321931459513e-06
1985,1.3481604382579763e-06,1.3147666850321735e-06,8.809747538389707e-07,1.3774888439220405e-06,0.16536437006437543,53.62563853135207,115.64050561628666,204.81007658328764,100.00021152087521,8.763483102880024,2.9851900823618275e-06,2.2908217439035427e-06
1986,2.2937918690775984e-06,8.323903067338002e-07,2.034719345059568e-06,0.07893961793284934,1.1310507060903189e-06,19.657789671745178,47.88139999324965,191.85986774348294,83.9753924460979,3.4748385943891085e-06,2.3953542148577366e-06,1.058024031533416e-06
1987,1.6009351053992845e-06,1.7692813647223072e-06,1.0802231096207974e-06,0.02757110585758192,9.346121511599822,23.831066450473664,90.13500492172096,119.90172029006317,75.8678040069788,0.7451269359253817,1.4266448739287863e-06,2.453832775622433e-06
1988,8.682425082705624e-07,1.3838353458757857e-06,6.21037028240854e-07,8.660070599018847e-07,0.04685587670976898,26.772405746906497,146.0038152759442,145.20865913383443,88.2216642692918,108.78022527050317,1.9808905519469452e-06,1.6689432604551818e-06
1989,1.82411334621672e-06,1.5652337866922644e-06,1.5408616864758039e-06,3.086648181654333,0.04131423552911713,12.227344239193872,55.67553135294433,205.48115470930298,89.2662709859166,68.68598901330796,1.9721095889251664e-06,1.052097390635352e-06
1990,1.3523306303010485e-06,1.3878185538900073e-06,1.9596309463263635,6.357126648678477,0.0710267126446899,73.83390907456405,150.2183287391666,358.37909531484723,204.5110828508,28.400331780279913,0.31180610179911944,1.4916444431502012e-06
1991,1.0100713116304886e-06,1.3053373532802064e-06,1.807686759938141e-06,0.10511454107320263,23.496326814319634,46.96091899375654,191.46380988548202,215.95237512488433,148.73544367031698,39.354792938275985,1.982673460035253e-06,1.9630870399768517e-06
1992,8.631473055708148e-07,1.382277345978438e-06,1.6689709056134817e-06,3.8182761115078763,11.231846316889916,92.46393344850233,136.1886448077467,135.13482878838596,179.90891258787425,76.40537340128826,1.5150436230478741e-06,2.2616804389442192e-06
1993,1.4931159954698067e-06,2.645904318747755e-06,1.3472238098705926e-06,1.5556796486057944e-06,15.169030105370664,65.856695667349,106.73078505273807,197.98730849373973,115.44938111049767,10.105467879058017,1.023092323073861e-06,2.946045665885966e-06
1994,1.3214950184027446e-06,1.4927077392417855e-06,1.0384682544972809e-06,2.674929589610265,0.0017087064827942236,31.653748959452688,147.05927560244461,391.0398400618244,307.94911766153547,36.74368205313135,0.009126059190291965,1.3421626950798211e-06
1995,1.3337034063734595e-06,1.3295991629951973e-06,7.907228480152006e-07,1.1325989455770288e-06,2.131640634664566,50.38515021370556,69.71567671941044,165.56813447553262,107.76064338511765,7.339549426496511,1.5362394148432135e-06,1.5379019437951489e-06
1996,1.0557285955035719e-06,1.194098943891038e-06,0.01877991840749719,0.8844621195012871,14.173164868998425,15.079024649103038,134.36167672463216,110.99441470997773,152.05001720425454,29.650309604760654,12.658316287554182,1.4540062570946963e-06
1997,4.772958366206403e-07,1.1543268778393593e-06,3.4583728784047404e-07,2.4558405561639343,19.376678226483648,100.91114684322044,124.59039953035317,180.97894186146678,79.46517858689417,61.006941044201454,1.9392577844178977e-06,1.326621476307069e-06
1998,1.6727504231778584e-06,1.1642692745402503e-06,1.0873932415132775e-06,1.310282250939842e-06,0.00014626163180544936,31.566602407628658,146.3615616358199,253.30602140166602,212.09349033907066,1.0377310481486353,2.190890095470951e-06,1.2042656113222693e-06
1999,2.370366682898203e-06,1.3721620410296983e-06,1.1516692128669143e-06,1.1487139764881095e-06,0.7742655193723439,59.13135197625908,97.5071950241201,168.8323381770517,93.60534747704232,18.416814180395786,1.963057681507441e-06,2.252271405386551e-06
2000,1.081804356932751e-06,0.05756573304470228,0.13489819019992524,1.0833031697734876e-06,2.852424655480368,40.70140861265118,141.462724031585,202.67887176117773,170.16447818596612,75.79845792655854,1.8344928705248535,3.200214810431633e-07
2001,9.916259965966178e-07,1.537093090681594e-06,1.055438401583564,0.12690694506083372,35.75224780418509,48.615344386346514,118.46530439261306,98.5738879588679,182.93602829049698,34.44301971132588,2.234379099462668e-06,1.4882347073260605e-06
2002,1.067631982209656e-06,1.2291224095256304e-06,5.612749674621259e-07,1.7897138200258678,15.914395075659208,78.07563722361668,193.32521676371724,185.60541716996158,147.2871590095658,23.48601919762767,0.04082934845350014,1.0330791961154155e-06
2003,1.1548192375572165e-06,1.5748518040392568e-06,0.004610213679009113,6.363973211152331e-07,6.555919512128832,38.88415507470268,86.28632513905082,147.48070267912826,117.39451071071032,93.25587298859381,1.6483749506633451e-06,2.6692147726890384e-06
2004,1.8100330408433122e-06,2.3800200571386034e-07,1.7638012719921693e-06,9.654689120809164e-07,13.254388966667733,51.86246659915105,126.96121696603232,218.10245438651916,180.06748930063148,16.091282178596654,1.818037530845925e-06,1.125324449620741e-06
2005,1.5336512857381827e-06,1.0879755223195598e-06,1.5698820542276985e-06,1.5840321408153812,5.142862901840877,25.917430217600277,69.9384916187879,284.1902601445007,97.55325125363505,74.53855855631129,1.4006721234213544e-06,1.0355331349888553e-06
2006,1.1446631306498544e-06,1.354292153994626e-06,0.4077307382951104,0.11253681613980232,4.313712028507715,57.00441476223298,163.7101468606863,173.72113823581222,72.79388489963938,117.22952479542104,7.058147675096115,1.459625388042892e-06
2007,1.3649299776170792e-06,9.027469070672826e-07,2.0667066524099953,1.5736970306108404,0.7726583521251142,40.48831358891656,98.12464662239128,134.90572758161136,293.50774882578895,29.578953312601726,2.5958288462031634e-06,2.1952350795359953e-06
2008,2.01873478267961,8.871478703184889e-07,8.448196038454757e-07,6.066811704823092e-07,2.9362089644029705,45.817937130870384,191.57800167414865,154.29365910624958,67.01019754445194,1.8535478600122137,0.34008421017535806,1.2956882748156552e-06
2009,6.31492317804791e-07,7.959633396651576e-07,3.8023383315674397e-07,1.6780713682253882e-06,3.4175055806122914,18.69809022799114,114.85581654144873,167.82737870260775,92.59216808381645,75.84049992326462,1.4507172020049199e-06,1.3271647739124753e-06
2010,2.5246404289005583e-06,1.3033459499574503e-06,2.252946546412977e-06,8.468046601842204e-07,4.526777706562063,5.091044091974315,79.64870113460292,223.23572623009392,110.31027342141284,35.42207578054924,1.6597405329997446e-06,1.3538238280584375e-06
