year,1,2,3,4,5,6,7,8,9,10,11,12
2021,1.7654781804943823e-06,1.6818418909939767e-06,1.9929633973542685e-06,7.36575983350758e-07,1.2477707018046625e-06,32.7874796171168,89.25648602427879,276.5225841712966,67.98752002983024,36.06905835905296,2.0111221120498338e-06,5.578360538128317e-07
2022,6.445808429329229e-07,1.213491065192294,6.401268008845703e-07,2.0190375101994068e-06,18.830712623457444,26.974374198768885,58.75209681988637,154.5338437556754,151.1962631948459,85.02558453337366,11.543544105411975,1.4949807351371166e-06
2023,2.5693205857456344e-06,1.5605083082593e-06,1.7399796381617764e-06,1.179188934685536e-06,2.1122917402307747e-06,9.239812782644483,82.70160306826426,167.06870870698702,107.63088537232963,32.01710360616061,2.38532600297194e-06,1.4637345799119098e-06
2024,1.3371153022398625e-06,1.29467213703991e-06,8.623736028558858e-07,1.3649473397447553e-06,21.80137493267979,146.0351465442387,171.97000303226397,267.2385512198927,108.82759047328976,38.554391038458334,1.7536624168417533e-06,2.8627819775491913e-06
2025,1.6715350330622505e-06,5.101151465206917,1.055027775180851e-06,2.1507880453841328e-06,2.439767340291042e-06,10.655966509635213,130.35141113431402,163.93188687161955,90.80823265303641,22.96628100133202,1.7123115761536505e-06,2.1603058156378026e-06
2026,1.5361554624559826e-06,1.3390286785083695e-06,1.8013387492807455e-06,1.040776862056207e-06,3.9293519856819765,148.5627954070265,224.053063746562,154.88250570464814,132.03696547000143,51.621755825399894,1.683513351988164e-06,1.1134511708659139e-06
2027,8.515128965112667e-07,5.975861650928631e-07,1.2748242313146437e-06,1.7540477886813808e-06,1.820227777408456e-06,0.1582501735060259,82.7067276349175,197.81863343408978,94.77350264832407,47.340024070572035,2.2204410362763214e-06,1.1288752727500832e-06
2028,1.1202002168877418e-06,1.5675722024609259e-06,2.0489283307271257e-06,1.751905542740312e-06,0.7213828628480815,112.91160000819707,61.48451623376059,182.42239918546898,228.81764961639607,34.66209565494013,2.0642599558589503e-06,1.5700150964198394e-06
2029,1.7064802829040763e-06,2.2582165681498043e-06,1.8361734278563752e-06,0.002317373077496382,1.3088611261357292,25.958473340599646,93.02355523439392,183.00255309816012,244.92654902867605,68.72634985589488,1.338416764737316e-06,2.321306671549899e-06
2030,1.1052664139128705e-06,9.138744031295734e-07,1.3393138785974915e-06,1.697690113694177e-06,1.6644053074023989e-06,88.56960029884267,77.26562386882814,173.64292202157247,99.22953454851107,15.256077293416482,2.542105806573797e-06,1.605539956879754e-06
2031,1.8215197252643113e-06,7.578727651372692e-07,1.280912515734626e-06,1.3390249877979033e-06,12.604144360088863,22.725514027810743,131.12528102879912,179.56227040851584,165.19622027446854,27.77279256320747,2.049946786321375e-06,1.2729523383434497e-06
2032,2.3313282312568336e-06,8.387813806723484e-07,8.229699285208161e-07,7.039906953283771e-07,2.253564707944996e-06,17.82660469399273,203.1914870229699,160.38300446850806,133.3262427780205,23.622454259018834,1.8004630343415606e-06,1.333329478899495e-06
2033,1.690885045437113e-06,1.2897943832009164e-06,1.8134232759731747e-06,1.6511541181423614e-06,19.95278024356935,85.76646248120274,140.90016506143533,183.750035802471,113.85377447113837,95.24918248826313,1.8042734856640161e-06,1.0828087775439351e-06
2034,9.066604212416667e-07,1.5023638902562991e-06,1.2725616628425449e-06,1.6497689456013453e-06,2.076365169205947e-06,2.4900210671714613,177.01422218237744,162.19637353713566,107.40275321912812,14.422527470353998,2.087531995273273e-06,7.765521247682662e-07
2035,2.177547048966891e-06,2.0308521580867377e-06,8.889154167727961e-07,8.910689840627772e-07,1.9600507845706964e-06,1.4533028788644495,67.06847177759386,415.017158806386,113.22478647320678,34.826408565595614,1.3579709408360122e-06,1.2532113600760755e-06
2036,2.0088893140997563e-06,1.088828566811866e-06,1.840457785290277e-06,1.0105566209747476e-06,1.127251288435206e-06,3.475774027222425,99.69827465418433,154.06699368478235,144.8230394039604,26.792291942025866,1.5210126842992065e-06,1.3163452929810863e-06
2037,8.492536558863538e-07,1.160829796531612e-06,2.323097382446307e-06,2.154890826414329e-06,1.9925064231996283,64.26867043486592,122.46098188163405,173.5671503909244,158.64471469286934,11.397740497474071,1.7121833254549141e-06,1.2093942094660274e-06
2038,2.753252621063373e-06,1.5067119163198343e-06,8.254553579339839e-07,1.9925663869172702e-06,2.8316355963633916e-06,1.63265079499335,59.28301516518432,287.2606118685355,97.89169524115124,124.05725234888074,1.983845277829702e-06,2.6371309873509922e-06
2039,1.3356903748191016e-06,9.962193437703456e-07,8.500388688524484e-07,1.2404479877507176e-06,5.64110773566463,313.5252038046968,132.5298735959786,95.92001001959498,206.8317553454835,25.556606805966755,2.155666048660746e-06,1.5841358929862339e-06
2040,1.2367998698587176e-06,2.691024332466525e-06,8.27494872855691e-07,1.0401074927972207e-06,2.1063568980053113e-06,31.505259308345735,73.19977636613679,116.56217936702143,148.77926310067681,13.783162595747898,2.2837766315259042e-06,1.2393185017893731e-06
2041,1.0744048346821804e-06,1.7153883434715001e-06,1.1683674507195231e-06,1.6966755702239315e-06,1.9691435490385525e-06,17.203888318360693,100.09637754913629,168.34798905140215,194.99039737036122,19.51370299282214,2.69280343121659e-06,9.633188898804992e-07
