year,1,2,3,4,5,6,7,8,9,10,11,12
2021,36.32876580304266,38.26640709605956,39.780060537850204,41.89957923385139,41.90678847380124,38.46013010490929,33.526106963301615,32.149733791714304,30.359978061121023,33.627844003058115,38.05817975850264,35.67861983528419
2022,33.31247871347126,36.76898648686022,39.7867885884976,42.303578955282966,42.111104315473625,37.74851010965278,32.42487314064109,30.79847205472795,31.799905549656746,34.89872190003709,37.13199348382134,35.23544429166727
2023,33.816698938181396,36.175496812285324,40.16602088153457,41.79471191002888,41.62505912656315,39.87187704281909,33.72921266676658,31.629979755897402,32.051338589272696,33.59860293960367,37.72592594311373,35.97104736205866
2024,36.27754379009859,38.57601176959944,41.2162458146205,41.618637390201314,41.308696381527646,41.38304945001605,34.41282645288755,31.8255976320323,32.2720871863814,36.26685317003971,38.61493112962233,36.702882474032066
2025,36.64162907363005,38.804897814619565,41.42507033308065,42.45256421183581,40.18688902830668,38.47835819467412,35.180169446931565,30.876918655382248,32.19018031320486,33.6611592714123,37.996342664632294,36.10668899079558
2026,32.54116417881709,38.132837177282,39.743683197026925,40.665276491176336,41.61370011983621,37.80865434867154,33.331630590028425,31.307063655442377,32.20984524881997,35.49672192250892,37.45200034006627,36.487082638752454
2027,35.610701658240394,37.79094513237502,40.33658300849371,43.143796152732754,41.38167172462143,38.47017959107418,33.72512616087832,31.067934421379743,32.44449051768324,34.8347547841271,38.93147942654199,35.22303915613231
2028,35.138577453543625,38.195799126513705,40.880672085988586,41.768902344438736,39.39218466661499,37.0495587901343,34.18997743396758,31.712663607535152,31.276863109754853,36.06151888269724,38.823193166251755,36.432780554834515
2029,36.47447699670374,37.64717823466094,39.99414020674223,41.77334980932137,40.16389833526776,36.76791652544385,32.96926545117737,31.823328704611626,30.226717255799727,35.22692275594709,38.985772192629184,37.16364729946843
2030,33.30986233844628,38.65709015417345,40.27814492427067,40.4398056215369,41.55900589886172,38.902261495963636,32.95595209496283,31.136992929910825,31.662054331965045,37.25824035605605,37.95373998453419,36.743871043681565
2031,35.851873811643344,39.14660953604573,40.412696147155614,41.504974528935485,40.23982838134119,35.88592097474204,32.975233251108726,31.489984130268024,31.872830045102695,33.81019715471658,37.436565869165264,36.208811766187125
2032,35.17273327306326,37.36519954691274,40.88728891293378,42.77120903319497,41.42481881465735,38.3930014161575,33.24771710908251,31.276115916581794,31.541816093125362,37.434741918554316,39.65315569583222,36.45334089433244
2033,35.8967978645477,37.49725215570785,40.271871177666775,40.590454342113006,41.25895924345805,38.888602489343164,33.61812142247367,31.837827750603807,30.904795420397843,34.563106138184466,37.59039952841089,37.56363860885481
2034,36.44886160694415,38.703159989387,39.47327502738563,42.35260657948629,42.241609891844966,39.57380148069355,34.527534532922154,31.24534335819712,31.803652378494235,37.3787927295691,38.76184506332389,36.35735999201623
2035,34.61015093877541,38.047860550447226,40.02899974307878,40.94010196632799,40.54741625408738,35.913725888001444,33.55347738393793,31.01814666648827,30.839925357421244,34.340321636698135,38.918433072781816,34.17341577173189
2036,36.32092835119767,38.860703309065975,38.8228383924486,43.019206431627204,41.034091477483884,38.8358835357042,35.72017956875166,32.674778088141935,32.20895439670488,33.04678900658747,38.31746621341678,36.703497829386144
2037,35.67317821358656,39.405729835027714,41.01561156733843,41.51413700372418,42.75120199912633,39.920179299300166,34.70237582619964,31.497932131573737,33.180735204320676,38.291246703926376,39.774701142706625,36.920781700105316
2038,34.22507732816863,37.22514460816933,40.8448668105995,41.557560080427585,40.7724005224973,37.628837505302464,32.15479787770602,31.534484382111252,32.599951114463785,35.76849436613277,39.22333778681106,37.273579235628674
2039,38.2060142425165,39.4750019241687,41.62423021729556,41.57612706248157,42.77630169311849,38.06171897630322,33.50677023751073,32.29232107837269,32.20625195156048,33.626002825972435,38.98046379486609,37.06470084592355
2040,34.37241926613453,38.71195355426367,40.42280308583552,41.75053633396198,41.605507394520345,39.26424600164747,33.77112872758906,31.743397794689294,32.868629158097235,37.613484501932355,37.639821112108685,37.41241311382126
2041,37.00800478140527,39.70915965009646,41.69265390842402,42.212850056015924,42.10540659554145,38.570477081782585,34.32250000053257,33.08580821832786,33.931604457128884,35.65682883072195,37.76462043306334,36.884241854252735
2042,36.41176623887032,40.263210108481296,39.8958212807253,42.85647462658393,42.056012633497986,38.97531406816786,34.52179386836766,32.7495622543763,32.65152663170996,35.87706713700322,39.214272621419795,37.78785928087746
2043,36.993511321806906,38.11423429127673,38.89008316996114,41.77680525051709,42.88044260454902,39.83423386201158,34.006472419438026,31.67747703121441,33.10798756304365,38.17821566497672,37.59225619063018,37.95994969809903
