year,1,2,3,4,5,6,7,8,9,10,11,12
2051,36.392569520283956,39.66560686954312,41.34213534166816,43.191117505769526,43.02288339597303,39.16622505557021,35.19306895770583,33.08599486234013,33.98006708118288,36.279766681501634,38.84773289554569,36.12275804276387
2052,36.15871347593578,39.115437515779455,42.561471358995234,42.324886717931925,43.593875674590244,40.83567737744085,36.44598016679628,33.31237044789401,33.09675479956031,34.15740508844909,37.77279446467939,36.087793018048615
2053,35.3643232560347,38.35708099428966,41.62842540005185,43.08093630432013,42.370906702735084,39.77173197900709,37.94089373520172,32.91062375557028,33.09366826779476,37.48933491356203,38.90091531074918,38.426617355541815
2054,36.69899102420415,39.14597347229334,41.17094568002676,43.201208456513704,42.64217109957358,40.16289305700331,36.55625891868299,32.38852713729096,32.08167628035414,37.71795083067276,38.301791180951604,37.115962557142005
2055,36.0188160529792,38.42027033380344,40.04886768896234,43.44860475704201,42.675812740817435,39.60747956330863,35.4701408201594,30.951590871177746,33.30438147479366,37.12132688667507,39.48179925746519,37.663613778738174
2056,37.51686897692718,39.292121784566596,42.09939764266111,42.568781723240136,43.4159266194294,42.706221136348326,37.505950506268306,33.39123765813151,33.802311006862666,36.0285059059524,38.76244071996587,37.5389564148091
2057,37.787394224557815,39.31929505803745,41.91970611659939,43.539835466096264,42.82349746158311,42.16664845692289,34.88614624082608,31.994613279815773,32.76019825721783,37.550876810328134,39.70411035062703,37.61831963058421
2058,38.791017314553876,38.88445018360757,42.56323913257212,43.12731520282456,43.00541720409528,39.16981990509753,36.08980308971144,33.968813327356884,31.98410526290345,34.710400510269004,38.03367239444356,37.62537235030169
2059,37.80376951694458,40.961665603620474,42.237464574539615,44.20962506266562,42.48893455064971,39.06303170314738,36.93490532512454,33.04746896868864,32.61543152915271,36.57222740615604,38.43769453633387,35.956064323682874
2060,38.49530412454685,38.73394485126989,43.15052653147383,44.22415554706088,42.26894829124061,40.37976917978874,37.20003282612634,33.89419944103787,31.78602181310062,35.46860479448801,39.02539273447196,36.50221920126446
2061,37.481007868494984,40.34780946968682,43.192613077482,42.85395290824785,42.540183379883494,40.94400559570847,34.38062763789305,31.796926731946314,32.379244787280896,35.84515521056712,38.757074141013476,36.94812698299062
2062,36.973255764264906,40.590087572513895,42.598307645128756,43.36926377628915,41.993776379702446,40.25881787799413,32.54563485063473,32.8556717185259,31.702222919376077,34.652738234868565,37.35175737415515,37.151108622279075
2063,35.96988626005267,39.74477931259553,41.463957976141316,42.728804525594185,42.733903922132214,41.508141615506396,38.063200129963796,32.85191744730873,32.12951969201469,35.28758740833867,38.63045935703038,36.33570596155895
2064,37.447361156804355,39.70763117824139,43.58510354543156,44.657254131731186,42.297321564549414,41.16056611888779,35.25012623921705,31.414017121335647,33.14254534878392,36.65772162130592,39.11466368384617,37.00270884099335
2065,36.23408484210828,39.34269915261551,42.10899779999713,43.41213974687663,42.85083720550067,44.142668507810846,41.81474973142371,36.063521122838736,34.489509645507674,37.353496372346235,40.0311819455606,39.21393385194276
2066,38.281122240656316,40.38107011058927,42.6591286678456,44.25654956975705,40.542203363781795,40.43524025441335,36.012859236110046,33.76479345077284,34.422424348754376,35.84263200038865,38.9853392769576,38.19421513549167
2067,38.217190616864,38.88086159213424,42.874921670302534,43.04354136005701,43.818138338537814,41.90048791883098,36.99301075675568,34.84808807587709,34.9619434317444,38.84924270077975,39.98303588649853,37.42428376788686
2068,37.259042501414804,38.06292243656656,40.73190887230836,44.08743287379149,40.711551897617355,40.54969195601132,36.9690271920179,32.8637693616476,32.6149609347897,35.09866772576426,39.019242926192696,38.0383258037703
2069,36.85869837830659,40.52624388710827,43.38399954509419,43.748040859169485,43.73774385199762,39.90583971989835,36.78301653184129,32.73645702295511,33.25873871983996,33.51423065492148,39.1540501845608,36.18544421634511
2070,36.72340896343568,40.53499350338924,41.4894240979584,43.798683670162724,41.58844113717158,39.24045252852855,37.80070965129928,33.89429505719045,32.17609031740974,33.07177078633967,36.80682091330174,36.74147500348517
2071,38.284362364236685,40.09838968200212,41.9130760281211,42.14040452301425,42.88977401438633,41.962072914213415,37.539111138652586,33.69123793813689,34.22746473774565,37.1663502423791,39.75730045119077,36.366240645600634
2072,35.76607268591291,39.08719048430917,42.0643881234599,42.82343051056984,43.18674140390776,39.19523559044642,34.03862298703703,33.236088490909495,34.77362052401312,38.14777410215756,39.91878849090999,38.5781103054605
2073,38.13937136798946,42.61355327947217,43.51909158359906,45.02145309143579,43.8012997776468,40.45264607733016,37.425526538246686,35.2700974972897,34.78677977074167,37.9847977905736,40.09731411092595,36.82815991116269
2074,37.54319767673816,38.42062064275704,41.66368407908371,44.110476457996036,42.872668226174255,41.87841717516797,35.52525957699759,32.53277722260232,33.319882294107366,35.449932462796696,38.498037967448234,37.16429623502039
2075,37.76667502915625,39.692943791255935,42.861809931057444,44.05881876398188,43.48716604891861,43.33356472539401,37.15227499538647,33.69115434116481,32.58755925137507,38.247933285294934,39.79568470870694,39.14426307325372
2076,37.503655432306275,39.81663594473215,43.05942118038129,43.72022889658224,43.69050994117142,40.47172285584848,36.60655614571468,33.54565504429126,34.72401783414674,37.75186099818846,39.77857849818019,38.73018761940215
2077,38.4642612352655,40.191899952096044,42.149958821194616,44.37420145471906,42.45814862059711,41.25224838338625,34.816276225965616,33.11525441847286,33.7656305039978,38.58867134887697,40.994519792732156,38.46322728684363
2078,36.35362452507087,40.5066058205361,44.04887282738085,43.83771116786802,43.6974343340635,42.52970854640258,34.89064132844633,33.37377992732764,35.16519169851403,38.36030536455567,40.38067993026254,38.161141442721984
2079,38.33086430193263,41.317321653860844,41.84962450755941,44.17260288303923,42.65350512253806,42.32419252625404,39.87571331609884,34.22984049074414,33.93584801719859,38.434128173532685,39.94394366557563,39.30392295963059
2080,37.647495677231284,40.64030536368794,42.51008379302583,43.45309481299298,44.69690172002634,44.18593868115655,39.548250936430044,37.07930635987413,34.91082408039175,38.82238155100948,40.05081001032011,38.515462163981304
