year,1,2,3,4,5,6,7,8,9,10,11,12
2021,22.039768540306156,21.720319440354206,23.37929252024943,26.72780589248562,28.28868491810611,26.88897380841613,25.84000386981618,24.44307772229088,24.22577094503481,24.7443261012989,22.39668553629803,21.82428585452524
2022,21.013443319864127,22.283495137635363,24.473063026308484,26.68330161649676,26.9253878816809,27.693260863512293,25.461512997329994,24.162036572235845,24.13727544804258,25.154023737064552,23.774194869087584,21.108715872433592
2023,19.577431645947996,23.77369665633225,25.19626764232424,26.79720108900831,28.729601499674278,28.59970802303212,26.445436703197128,24.783998939473985,24.921388909979424,26.159461034738925,24.71968597298741,21.472953830432832
2024,21.274486856621824,21.29325272341893,25.040967625949087,25.252786781887487,29.096738085719856,28.335882775138447,25.30312149768151,24.473487565345533,23.785120088336864,25.610011011622497,24.61388352301045,21.848090835587005
2025,21.86130800366421,23.815855198074946,24.681800961826067,26.103614299932914,27.884983376867403,26.527347123649683,25.05462436307872,24.612695994280244,24.7918003030819,25.885838200434222,23.600496513351754,21.382802755486818
2026,19.926168370424218,23.009256646977367,24.606682913695355,27.18849830432258,27.64103833234243,27.007535226597273,24.489732862063654,24.097293842158084,24.016016594422613,23.950691798532034,23.361381921681144,23.287991073862727
2027,19.601651906532272,23.827139456485394,24.586452833567254,24.85411925626473,28.21541718530344,26.827383462127816,25.493188698318047,23.951003049332677,24.038773820171873,25.029489838679392,22.34160396945459,21.932063313743075
2028,20.534807625696953,24.888729411591708,24.116024727559125,26.48182566713446,27.455808461442466,28.106152734037956,25.533594534871657,25.413026833956334,24.505631783232893,24.694669914453364,24.911126703833567,21.711544846500324
2029,23.580285082986883,23.38516879552704,25.765281698186513,27.759635320109876,29.448461894401717,28.21756968064951,26.031403385597198,24.895398527228416,24.695139458985036,25.743074777248246,24.906912774468136,22.877936179983916
2030,20.900226574652997,23.103212722912552,24.662053168628553,26.2758960942535,27.222635522869123,26.494543648664706,24.342350044616794,24.376885737649943,25.04597364118936,26.23560535693165,21.975468994674763,21.38716264552558
2031,21.718560194839938,22.291968354821307,24.56784409001131,26.712587273304653,29.14302429589293,27.760695652174878,25.55966166864209,23.860669272767804,23.7360815516535,24.371513266271638,24.993922009460572,22.551466331187452
2032,20.48593537209836,21.52731809729306,25.76619900021478,26.33746597891978,28.64481865770296,26.378790340206436,24.70308271184053,23.763677215290127,23.7506610830363,24.043017640426402,23.087759592353855,21.698103691102876
2033,19.75817427338578,22.865302316986888,23.875124996406765,24.783393684640398,28.152071835461484,28.13615966022878,24.886882691480768,23.910693144862247,23.7135883715326,24.191528679262284,21.595927923056266,21.741876672357982
2034,19.560039706348967,23.601853328577622,24.648312195500395,26.467386274392002,27.671762992442815,26.716215134661248,25.927089372222124,24.46621696732544,24.622105736853086,25.251957857692524,24.4687143379672,21.58856338759304
2035,19.94214704055758,24.01887098897917,23.730481740373584,27.472860507034397,28.152831536190817,28.229215032059248,25.911967933310148,24.938061202848765,24.032537860343506,25.37136292803611,23.10837657938107,19.941152959781206
2036,20.453771539276225,21.835940717427434,25.229538607709546,27.384517908607375,28.14875233939618,27.783207523087615,25.526886505996604,24.70928214716103,24.78293773043619,25.584063490736064,24.470060960660977,22.02782969433352
2037,21.740905357580612,21.035621025500138,23.56456110599065,27.488035783017683,27.95690018788412,28.89746192536463,26.048261931358795,24.231236580380667,24.58052822314261,25.002786762502932,24.22239638342828,23.066305748823858
2038,21.379476802083254,23.442397884806446,25.318245926007144,27.10548028837614,27.84017529081105,28.58415648343235,26.176677038344966,25.217477199338862,24.640540916445033,24.766134571709113,24.151643825171842,23.02899889718457
2039,21.27066171901704,22.25798007187114,26.248657458266884,27.245080891643024,28.086160227164893,26.911908919144835,25.010623712110426,23.792489462940416,24.393722537956155,25.64384632294324,24.06797290307762,21.491533608287078
2040,21.434283773955823,24.858786543787062,25.840722358549847,25.843966708035662,28.064866046890934,26.666333447965048,25.194854712589223,24.307501075848368,24.410721131973478,25.247799285625618,24.481743081875766,21.996555248847464
2041,20.57770337246116,22.53424677022519,22.312312211831525,26.646368139220158,27.390191160007742,27.569444812320718,26.186793118364573,24.797553857617835,24.07662990611247,25.5511804230196,24.08205317717092,21.49352932026302
2042,22.295665022521682,23.03255010747382,23.662717285639452,26.943851878166125,28.802307375498184,27.593544985328247,25.40912744434321,24.085908835545524,24.358290241158777,24.9048446671573,22.449348887951324,22.139488719605037
2043,20.887390076057695,23.93710727147373,25.969142113613273,25.30671580373731,28.24148625727316,27.943357223848363,25.749613479018297,24.95159585039899,25.1359497288135,25.824445591022133,24.151417996101056,22.903409397582564
2044,22.98011332729535,24.11095477408805,24.458447741472508,27.06739937059324,27.250146922950197,27.721972544785274,25.99996620928094,25.107397420124144,25.61388534904354,25.43156949849687,24.44397238469012,20.50348184171263
2045,21.160608898480454,23.834833450451157,24.19569585987601,26.8809823151144,27.624417617229106,27.08217898864895,24.757238576992126,24.323240401813795,24.072199382599198,25.213771365758152,25.194142280530667,22.486442744879035
2046,23.10909925702076,23.300508067076496,25.23328793340838,25.899638112244574,27.900701220811424,27.092690375235712,25.622845933955322,24.958036148967157,25.623939573721778,24.974796911234513,24.658660137169814,20.877726939151344
2047,21.83150434641253,24.90052411161785,26.38588178179702,26.766865950092154,28.189597338302924,27.458782523813998,26.4710970192849,24.21007824513815,24.196375623441956,24.951928622604544,24.394639255735168,21.938349692527552
2048,20.730969659500953,22.773271603122343,24.958110058142555,26.748145640258706,26.651193340853887,26.0657782567856,26.174193513707788,25.77031865773679,25.860970809907133,25.937235268843416,24.363739615211557,21.85492877200093
2049,23.27230704244574,23.555868746507624,26.55738744302583,27.56550338083622,28.667594435364002,28.22119160659185,25.0352141244477,24.610716015801774,24.923643378514107,26.126892600601884,24.025596004955176,21.9750233251169
2050,20.699000055014682,24.12864158026621,24.694704848340645,26.436895403831596,28.114595822297805,26.901563756140984,25.95069258210547,24.27968648311232,24.8240303593148,25.571722472738195,23.98185686013377,23.36168901036471
