year,1,2,3,4,5,6,7,8,9,10,11,12
1981,16.681906206237084,20.754384751768388,22.773179349449645,25.02034885776833,27.147689647195474,26.00466655707963,23.88276053202027,23.668341176600112,23.69691592822658,24.637670410176117,23.029930457888817,20.867989628628763
1982,21.148728634485163,22.73529972444941,24.190452524693605,26.179946417438327,26.754811215509744,25.51044919149347,24.478872111849267,23.551460277627093,23.371442924306553,24.174465282567624,22.51415909405944,18.86258644849531
1983,18.331107740526445,19.28017022104353,22.391240171518128,24.596138019567775,26.25594165178099,26.154731979586177,24.485049086545327,23.769438233550243,23.34771813104137,24.88487061131266,22.568743132922783,20.176892942011644
1984,19.480252887536512,22.937690207112034,26.144045115419903,26.03867384030873,26.808472452268866,26.04708187904886,24.605993618239136,24.210624889079263,23.54851788693993,24.88105884626739,22.75631771328145,19.780421833495232
1985,19.509958318519026,21.551064663551433,22.775004762398904,26.311592780674115,26.066114620069076,26.511395753883832,24.129633995539724,23.71859440151301,23.541521252734107,24.73299565727637,21.290398242078016,18.7214523946378
1986,17.265175335392644,21.327646901738536,22.38946538480511,23.92006111511771,26.55745416889259,25.022039957485156,23.65352758196018,23.31203233636916,23.417040704294,23.75850481293718,21.93665097245991,19.46986939006273
1987,18.58202988564565,21.44508344451661,23.57893496983618,25.991599959749873,27.035299596538234,26.101613390456535,24.322689470720217,23.537394129923065,23.42581040344024,23.677670103718814,21.182399531630548,20.519039201055968
1988,21.20244280246796,22.92085406700907,25.159870310899173,25.47235928326387,27.458906558662267,26.133311546374838,24.457060152656283,23.668721353371446,23.625004917050113,24.52771131764484,22.1269529587521,22.23146778322018
1989,20.878616302486176,21.513676087350216,23.943763714883055,25.314015328231243,26.934371958710912,25.620917506866743,24.466701419665572,23.722721795749482,23.65316227800433,24.582318261783694,22.09053651207758,20.073507593546452
1990,18.94780099552976,21.464999026287323,23.575759523319782,25.169632588501624,26.197602148082428,27.048712412281,24.99460362783562,24.164938733121502,24.199607121743796,24.36774076464057,24.104541132320737,20.89457400684502
1991,19.818140261236426,21.537249040780885,23.700058326195343,26.087740277600933,28.001981053589088,27.14665495884059,24.542086852137995,23.747475301860437,23.585260328365493,24.68626636207697,22.577104743222204,19.647631953581154
1992,18.418943564598713,20.905215166414724,23.937274535271886,25.3590822015588,26.556240361693728,25.636228818904204,23.91455876877933,23.68157786384388,23.82599841423858,24.76498314594045,22.544279523824432,17.273476111756725
