year,1,2,3,4,5,6,7,8,9,10,11,12
2021,22.92536099228572,22.799082416236608,25.9960298237916,25.692696881804785,28.294901136552696,27.07546050277603,24.69858714969174,23.843934691100344,24.19036665143331,25.04183490797273,21.598173812826943,20.827312039521026
2022,21.08002242936665,22.91881463005617,25.448046857914278,27.413200506958535,28.442907642651136,27.279929621013547,25.636614453204952,24.42929768100073,24.573458194698432,25.380902008300502,23.427351145680362,21.39432604625339
2023,21.4316925979468,22.596396193099615,24.448946077797853,26.701373216842153,27.90801954003827,28.49905743679903,25.86889611057919,25.09974222386149,24.66276408458186,26.036748168376235,23.782677371002595,23.500935775333016
2024,19.73343362276285,22.78434352083212,25.448011187425116,25.621962250909124,27.03748803392819,26.242492637772774,24.774273253259864,24.639268609123054,24.664878864359604,26.0300520791676,24.054005553482018,21.781066668795127
2025,21.980493499922154,25.306441627587123,25.923704750044646,26.474905117699155,28.566686218669805,28.582524295295464,25.84407432068759,24.892610083220216,24.891703533027144,25.717690658368976,24.172906007895822,22.14805843543891
2026,21.70379894876607,22.637430340412408,24.527386906852747,25.728484600753333,28.811471909088503,26.778569429464763,25.43733519128542,24.615701276102108,24.945047238502568,25.313956614049165,24.256569062715965,21.333784012264125
2027,21.498164828414847,23.907557483952903,24.540203014935603,26.25056600271182,28.065901168223782,28.64642388040825,25.976523927661606,24.869255050392706,24.57008766365873,24.38253832663669,22.94181878196149,21.217946738072275
2028,22.86488460994912,23.256778036209116,24.8615157645953,27.302227359917826,28.080009208609987,26.77656739051827,26.228765686422747,25.190465786772684,24.694989629733904,25.404150387337502,23.64668859154858,20.919132377295224
2029,21.347272447799075,23.482705611892488,25.130093079992765,27.56990027061404,28.465066729720444,28.004051307154423,25.90754409843748,24.70460179484319,24.593604757589326,24.73050112431088,23.49978449134301,21.781867346112648
2030,21.411443066804313,22.40919320790547,26.15838573489626,26.840433231144345,29.246831513228475,27.62547761059405,26.16332881942768,25.8310325162006,25.42839204226852,26.788514875561198,23.925559150433475,21.99685635676366
2031,21.954869644238382,23.644232500684215,25.772645719363172,27.202864947856607,28.825221422284542,28.38783597476868,26.19446372876333,25.250704472928017,25.119893526711444,25.6405666200669,22.478340468458818,21.816846382569068
2032,22.990534445288038,23.48644511739425,25.103509008917214,26.838143224967652,28.937697214795257,28.672802461538446,25.68667456261573,25.388882692445883,24.719693074652586,25.66880589923163,23.514525803330436,22.09761127197576
2033,21.364093876819084,23.186263149990992,24.85594465605503,27.27520589927313,27.791820587738805,27.451273594665622,26.16733438128554,24.916347198541708,25.309351213520266,25.40672143340312,24.359227388032313,23.325007297633604
