day,mean,min,max,var
1,20.08766125018949,16.797317708665446,23.184718725019195,tasmin
2,19.807598989392194,16.529066497736324,22.68205551083352,tasmin
3,20.15706626699318,16.836994634676756,23.32526721774164,tasmin
4,20.161332097298377,16.828638736488912,21.947293442968004,tasmin
5,19.944332284671898,17.239061874899704,22.201649574307254,tasmin
6,19.843486050723413,17.66525045394617,23.36372344907616,tasmin
7,19.743804087401692,16.822772772089905,23.140015960713257,tasmin
8,19.892071317085286,17.344940889285667,23.026992117731723,tasmin
9,19.926765416883722,17.034905816371207,22.61457849493283,tasmin
10,19.701407430884977,16.13238636845901,22.96931628385184,tasmin
11,19.695940139898674,15.422064198338006,24.291534065215885,tasmin
12,19.310037110592184,15.183299663847862,23.701958588169106,tasmin
13,19.453771948640338,14.877271966673533,25.72675173581227,tasmin
14,19.475173684324925,15.238662159560135,24.091530117456216,tasmin
15,19.46954286483936,15.761067339953982,23.19990589037168,tasmin
16,19.502009158500496,15.887663304993993,22.856729672979398,tasmin
17,19.696934077911973,16.15583437677782,23.570077497277993,tasmin
18,19.711229527481258,15.404588711736608,25.53258099213606,tasmin
19,19.928534327851473,15.763067579685057,23.515003815598632,tasmin
20,20.085887049015618,17.02340271498973,25.64875142453269,tasmin
21,20.045585781055042,16.93635395422355,24.685951487231748,tasmin
22,20.457375980377627,16.989915744871098,26.09234724311925,tasmin
23,20.338799855505947,16.321076403156837,25.445767811396564,tasmin
24,20.667889056958412,17.046767267242515,24.78477667946514,tasmin
25,20.91567906458967,16.88588552654153,25.157588866184554,tasmin
26,20.989218548555865,17.247081010076315,26.36797427043021,tasmin
27,21.077040694187453,16.83776872831443,25.290279952505585,tasmin
28,21.148874892574256,16.857409589240405,24.237303430412112,tasmin
29,21.03574197035971,16.23113961676441,24.351215992845923,tasmin
30,20.682162408679314,15.274569438044281,24.318193844105423,tasmin
31,20.536525960334764,14.106893546549045,24.394416369136707,tasmin
32,20.526145692641027,15.582204772759624,24.949287721566776,tasmin
33,20.449888253709325,15.301995202802686,25.060783613695833,tasmin
34,20.533609733177407,15.842721276038532,25.547932622464103,tasmin
35,20.746578928215726,17.11473137816779,25.985482042561827,tasmin
36,20.672828931546466,17.432135395396443,24.17235328279891,tasmin
37,20.6575212323373,17.606987842906207,24.153593957932443,tasmin
38,20.74721917953667,18.28726346103832,24.37469229609404,tasmin
39,20.904000181242015,18.479565806121002,25.56549261451265,tasmin
40,20.990784196872475,17.081257533563218,25.382373388352505,tasmin
41,21.520824676449283,16.5971353801107,27.275677135532632,tasmin
42,21.6730293290961,17.05208635855618,25.208206521551176,tasmin
43,22.14400608453129,17.35450213453892,26.099733099153696,tasmin
44,22.009057734548584,17.89273439101261,24.850590271853505,tasmin
45,22.307816366369995,18.49158736120171,25.702688615599058,tasmin
46,22.569027289611775,19.143455569620713,27.00109130285928,tasmin
47,22.556076031345395,19.720260581602588,25.375979730150476,tasmin
48,22.522276740667884,20.582742523851437,25.352542769292498,tasmin
49,22.521505913621787,20.252306497803218,24.890257355314773,tasmin
50,22.825428942534398,20.79768554069304,26.335336699480933,tasmin
51,22.904049709483562,21.611621107029734,25.89176109634039,tasmin
52,23.01713895940805,21.3755610615012,26.601187814126533,tasmin
53,23.389630313446666,21.49305463808308,25.978792897501634,tasmin
54,23.30263636167815,21.440292151721437,26.24333141320794,tasmin
55,23.24502693341325,20.952324734979612,25.417885610666502,tasmin
56,23.285017759793018,21.262882123388707,26.759761009803285,tasmin
57,22.978373628991896,20.598369967687958,26.803916872658206,tasmin
58,22.697162532865335,19.610700273542477,26.942385295503044,tasmin
59,22.417042041002013,18.106617094706067,27.801987854280142,tasmin
60,23.179162982005224,17.802414931429624,26.950959379885774,tasmin
61,23.28854400666736,17.971537702919647,26.701877621141804,tasmin
62,23.074664837014765,19.041405195242362,27.713616775862306,tasmin
63,22.895311370016227,18.157228072016267,26.854894520381677,tasmin
64,23.011118766422996,18.41291357788394,27.733989019391345,tasmin
65,22.814747326255816,17.693208936957518,26.865278332752965,tasmin
66,23.02078927668596,18.999119645408257,26.851135814672418,tasmin
67,23.261102189173414,19.867485999374637,26.598669854096613,tasmin
68,23.227902028524724,18.84919965290524,26.23705834677253,tasmin
69,23.516838298695685,18.939560171822805,27.5135860686638,tasmin
70,23.475051237139333,19.111863656211824,27.030023875918246,tasmin
71,23.66235254581587,19.255075668150454,28.974950033223223,tasmin
72,23.80881220281949,20.753984644313192,25.991109242811632,tasmin
73,24.189545540729572,20.359360331852997,27.03246638631485,tasmin
74,24.522054496979543,21.605519055986377,28.18505301517216,tasmin
75,24.64095452197341,21.93175380043256,27.99877164641225,tasmin
76,24.837400990870965,22.594824169388772,27.839824858496996,tasmin
77,24.828182147971397,20.74147707387563,28.59569760050684,tasmin
78,24.78613467995518,20.672985651342486,28.83400987228552,tasmin
79,24.294800539031254,19.690051720188762,29.220662224972912,tasmin
80,24.41073976131297,20.148708544837703,27.670002252922004,tasmin
81,24.341373848834607,20.025566697448824,28.45643355977957,tasmin
82,24.239012251130976,20.71760626109007,28.245445023759927,tasmin
83,24.474123457353116,20.934715246475022,28.7695012224536,tasmin
84,24.5951923624582,19.984112218199755,27.97172479809366,tasmin
85,24.67420829813575,20.765705273390253,27.80579109887708,tasmin
86,24.841421407852717,20.112773756186286,29.488405461639303,tasmin
87,25.28611485876344,21.619127860739027,29.10808062370812,tasmin
88,25.351669801187448,21.143294253524545,29.24729013242593,tasmin
89,25.36755601543701,19.915141782957903,30.151906673124984,tasmin
90,25.40924001851168,21.333373422763387,30.107576448950027,tasmin
91,25.26499120660468,19.662331531744115,28.533756210935778,tasmin
