year,1,2,3,4,5,6,7,8,9,10,11,12
2051,23.765994974280442,26.27405685344519,26.954767755094366,28.576819545522294,28.757024354413634,28.393469826678718,27.383002112580236,26.480867776761606,26.090586980095317,26.388135323866926,25.87995961048202,22.37023272553077
2052,22.101841671728998,23.107750902437115,26.73584695071185,28.397949144772664,30.55170756467241,28.513308949075427,27.581893875698174,25.95604722253381,25.54423476743248,27.354188018977744,25.66064506252415,21.244227842713165
2053,21.95226918104182,23.214711780640233,24.880433091020965,27.271872864624672,28.635346591034313,28.520997594146927,27.131316654555487,26.72649174682426,25.827396512002718,27.450184669917256,26.318559529514264,22.694521470279934
2054,22.833294303582925,23.655871720697366,26.412778525270873,27.744013349567616,30.188779127165702,28.616461706224232,26.93909158202553,25.68012830854356,25.300753932075697,26.80536157657828,26.201968908029105,22.24686859290505
2055,21.11779991418632,23.6084297402692,27.854537473801738,28.555251085226775,29.65149471407121,29.166452598161484,27.156467991532818,26.375136556936994,26.64915735149037,26.99497933930233,26.511242330928113,22.86084739278436
2056,24.047176984616296,26.681067860412433,27.05441083167196,28.583409849380647,30.382524394573654,29.700492790999068,27.616511970616976,26.92290565897847,26.440383735176304,27.370198244095967,26.043980012520326,23.362491583715737
2057,22.17198569037639,24.32276473936096,25.945224025409164,29.19991207818487,28.978134068759946,29.055959798084253,27.78033069101093,27.125893207879752,26.27980090924951,26.611184060043428,27.120215855071603,23.191501404969795
2058,22.790657785925436,22.69421429030743,27.50050255960632,27.87462095791975,28.907280821367056,29.27585328113853,27.152119518532675,26.38634352447272,27.409219284621987,28.11806286923757,27.28033765212399,23.09691965136397
2059,21.792044171424084,25.233055975621344,29.195875714075566,29.178400543695723,31.04729709143576,29.909688044357218,28.465565251372567,27.087376821644654,26.78825225068835,28.080574157772784,26.51351740092184,23.99906890642249
2060,20.838727901447513,24.32637982694526,27.939173435139985,27.3091692105877,29.878824244742447,28.668834534446553,27.757713777941902,27.164208377293576,26.83283399758132,27.320828704623096,26.804980452618203,23.371006082094027
2061,22.80055814135912,26.709056564010098,27.58181253668622,30.021952369604318,30.238077531681064,30.300706284800174,27.416389379837014,25.999081085382368,26.106762415706108,26.915738556434135,27.23713118750327,24.924173007085606
2062,25.506788762146822,26.543685367789475,27.482189243295267,29.50439690549987,30.262599194218236,29.577640873085063,28.276217631531225,26.67437373085736,26.36280346485067,27.50687597816349,26.197484195051324,21.86738240023048
2063,21.892249140782614,25.38930701738784,25.980373499019805,28.360870432631963,29.40058008929725,28.553872062762817,27.236728755863574,27.35625500745244,27.20960574561582,27.69860994429429,26.87754617386113,23.136919731596084
2064,22.77722217383739,26.09908377948621,25.018964396387577,29.363528797215302,29.581364823760154,29.620830641676413,27.709945151385,27.39195443507101,26.585598581121076,26.872639343554873,26.302587007718742,23.759319850874185
2065,23.67766202132553,25.049558678113424,27.080959437642214,29.866638876885858,31.167240783346333,29.509081256941837,28.25949114715791,27.208083584368595,26.293259406174222,27.28317052192104,26.36239936961052,24.72963439948276
2066,22.650195358377722,25.27081977365858,25.83810533486209,27.124283627242473,29.30187803592378,29.890286719403566,28.77175859128564,28.19618115477302,27.669278495702063,28.063599734026763,27.252435251092884,22.63144775199511
2067,20.978676827940827,25.193575678225105,26.936990433697556,30.103266881394596,29.365557096245606,29.893800441261693,28.281543048997023,27.410031254428347,27.22700366832767,27.921749695233093,26.971603980982753,22.46846066277522
2068,24.113786192036756,24.915089932912252,28.199562235660455,30.688393862796044,30.621828683286086,30.135733170504697,27.463230267303132,26.79636209107293,26.310689068521967,27.608445747528695,26.55669247103259,23.67234323372283
2069,23.251953324976647,23.690471746850935,27.414206303027427,29.818291993070197,29.972006859011124,29.361005738982293,28.40545469941286,28.0276000895817,27.730917383814752,27.555626044364637,26.6669340047802,23.09459394982538
2070,23.376681507067463,26.423925679161062,28.618959702023087,30.252224887118015,31.156763703894832,29.69849602162195,28.28918308681458,27.527710930153855,27.421135443250932,28.504156301245537,27.531029717685406,24.048042511574252
2071,22.737746559707194,23.6947692410119,26.290103532690857,28.646989720019334,31.046242327821084,29.627419074896643,28.21315827433472,27.32983408007915,27.447881919280025,28.21371975481399,27.699083394822992,23.24371757514987
2072,24.374921247214086,26.297094436503436,27.15460006441324,30.397689709324155,30.026954728921936,30.012547349071905,28.664061483066483,27.30996701982579,27.44354642719667,28.432712274751243,27.3985939691868,25.375592336472756
2073,24.97657989302185,27.77402465660585,29.217168602269407,30.51555353316968,31.744158957905363,29.66822367282014,28.51540214718411,27.912294395439684,27.85534613934417,29.060440302546457,28.13309242745373,23.76174659966274
2074,22.186757743304852,24.69326555721556,27.473772259795243,27.90641026921087,28.96198988542525,29.993836167737324,28.859128208283146,27.79224935417455,27.156795411959312,28.321809497109893,26.950742513056866,23.663998515127826
2075,23.293662483640784,25.24701201492243,27.826464901392683,30.26766224012364,31.6380697650458,30.015008306382544,28.50150496078215,27.311038130570765,27.36103564906077,28.865937332215527,28.06762985844939,24.079121882890984
2076,24.030108183508393,27.092450021647085,28.690391160503943,29.73671028740971,30.008658987138784,30.42900984382159,28.18436013327217,27.95177824671134,28.258135038521115,28.667563773005934,27.39585061650213,24.540458013563455
2077,25.650793407614277,27.130995649899994,28.079823810382614,29.379092501699155,30.722568486540688,30.047060435062072,29.265945255265127,27.85005850418769,27.95164791055868,28.110492695593937,26.590859608999143,23.77735068820363
2078,23.895047966321666,26.384703337253256,29.0001550012188,30.15560731290406,31.57541427418638,30.887931464006044,28.568836817708995,27.222966563756554,27.416410795628146,27.979286070347914,27.318514484703236,24.90198203125833
2079,24.270447228906768,27.34210623174933,28.952699174156496,31.422918211978164,29.9876059615114,30.56159952329567,28.923709252873383,27.422036028922754,27.714895111160967,27.48594679176102,26.933587484199858,24.108294793443733
2080,23.734218374503598,26.546431877673097,28.631597611065022,28.758606825400957,30.81799550566597,30.536615150829384,28.30656671207767,28.42661749464457,27.98430839139647,27.975763864997024,27.869046079957936,24.01833317005085
