year,1,2,3,4,5,6,7,8,9,10,11,12
2051,21.901810404616135,22.95716458894166,25.170467841025772,27.776222303232462,28.48874373486998,28.03700558413906,26.693750584608562,26.62155099280551,26.696302445579715,26.66944749217021,24.350556549281194,21.89493055328068
2052,20.823584812586205,22.981616645145344,25.71406779471099,27.055950765311763,29.667981109787814,28.305596452098662,27.61414532331467,26.85737811279613,26.98987396308432,26.010083339101204,26.04868813646544,21.750547129062664
2053,22.41834423686889,23.896085816423398,23.852166787794,25.307547456215087,27.24236410141064,28.144884597090144,27.466231028883755,26.735586401414743,26.71967998446214,26.818526540501658,25.464655354007547,22.161784987880072
2054,21.383676812614578,23.148236492812295,24.775097399008196,26.432377239261694,29.1968343437881,28.23590979464296,27.233554599959866,26.60913285671177,26.926371024428168,26.688981702500545,25.277842920569082,22.788329664168028
2055,20.53627853168684,22.941067099982636,25.00135716304908,27.17747851941953,28.558921039102408,28.57939927015495,27.532833348913762,26.794408237596855,27.261484186773135,27.447680632341342,25.164092201788517,23.56807854134292
2056,22.977455266732267,22.83948187344681,24.323774953193354,26.152772963930154,28.676534630796255,28.831894332079585,27.787830773334502,27.229247974936552,27.434392676195042,27.45762799401723,25.46890703155039,23.540086921355392
2057,23.072735242855426,22.79804641509615,24.050678731749734,26.366386469425052,28.42701132429789,28.559369912675386,27.70036318285595,27.26234663413555,27.193757165783236,27.291086639286465,25.767812472134427,23.406890230260316
2058,21.941394974449086,22.210009739643564,24.697409308485664,26.58576716688857,28.961621497046913,28.941935535918365,27.33046602975127,26.868168123570026,27.6432254499789,28.125806904761262,26.575520949923018,23.57018656983447
2059,22.158197172233436,24.496762145749653,27.31823964879639,26.126613014143594,29.91451538535059,29.724993435337044,28.999844717156368,27.72853675325144,27.60451740860604,27.63703494226813,25.493332331638598,23.823403575113076
2060,21.895661805455134,23.232279372663722,26.426424612048226,26.224366828856606,29.41496248366709,29.251851437061827,28.243877233626158,27.645613488158943,27.83199876664113,28.236537937748867,25.2266555965485,22.898602464556006
2061,22.050525552747178,24.9623151296077,25.998235605780234,28.788187110688998,30.64819619389151,29.250630493503852,28.180623058882272,27.27790798692049,27.790727767674067,28.291676921358075,25.817896506786678,22.53759705336543
2062,23.764445467118428,24.067171812756705,25.344177414009916,28.17727749317259,30.172993205447984,29.458555298206598,28.581818799067,27.420867576081996,27.641039077632055,27.66581136556156,25.329172656403,22.70769633858972
2063,21.567098441286465,23.37585716367426,24.957564464645397,25.73626322370158,29.0833345170914,29.002836571069686,27.65755366624347,27.27030866045993,27.760862942666286,27.66834936151168,26.317107294235146,23.727586704927596
2064,22.668569720120455,24.978684580734676,25.81918549594614,28.974989862019665,29.200006743446245,29.297949363599873,28.2121669948543,27.474976551086726,27.78318532185015,28.499368441318175,25.756942305347426,24.085161685289656
2065,22.262912137281084,23.478151366336455,24.695808039114688,28.422182921286243,27.592518922358014,28.83300114210151,28.024424228551386,27.54831862827825,27.699870366796706,27.354274687495817,25.69197151136345,23.77870819522412
2066,21.550475355984293,22.937554759607217,24.900963455389185,25.979492837828992,29.148999102538436,29.679807381216154,28.436349016787673,27.88935433209443,28.391034058926536,27.79557614469596,26.303356730439898,23.207199245173378
2067,21.724637546803095,22.465475690176515,24.546248550115493,28.814704366086172,29.57921618095314,29.396701961365093,28.536569494340366,27.591364577449554,28.031469670174328,28.07135184696505,27.18312255073692,22.966264449379494
2068,23.250075582993613,24.389208250793338,26.458931907696776,28.883466730018544,30.50567179146187,29.356637922035496,28.34644407580608,27.55249328169908,28.187784888653823,28.403447811893894,26.538868445639512,23.46159755778154
2069,21.975795129815673,23.44833039812949,25.541380001770776,27.99268021567497,28.944780610784306,29.819217569809943,28.643184485278173,28.196903755206495,28.56942728137882,28.670511586304425,24.797264688029948,23.607059237327494
