year,ref,rcp45_middle,rcp45_lower,rcp45_upper,rcp85_middle,rcp85_lower,rcp85_upper
1981,44.268157967412314,51.594955353033235,42.207953603976804,65.59817729908865,51.34901207602118,41.7870753935377,65.65451532725767
1982,46.863021264843965,53.05566733735747,36.41121237227285,80.51449875724938,51.956842660239516,36.487158243579124,78.71416735708368
1983,45.05081469207401,53.68121145171684,33.328638497652584,79.54846727423363,54.293891692400386,33.898646782656726,80.10411488539077
1984,40.83264291632146,53.88394418800384,40.50179508423088,82.8091687379177,54.58903868845873,40.92930129798398,83.05191935929301
1985,46.91411212372273,54.490261832432495,42.76525821596244,79.09030654515327,54.27329215937335,42.051643192488264,79.10991438829053
1986,47.779342723004696,54.47325784774004,38.537696768848384,84.73018503175918,54.6608671637669,38.40347970173985,84.87959127312897
1987,44.87517260425297,50.35649189253166,37.02623584645126,72.8069594034797,49.81198061811153,37.27616680475007,73.51781275890637
1988,47.281137807235574,49.98222011809418,39.28969897818282,70.26732946699806,49.76745499736386,39.57083678541839,69.6117094725214
1989,39.346037006351835,52.51459081285096,33.53217343275338,72.06103286384976,52.45388014360674,34.03590168461751,72.78238055785694
1990,52.8135874067937,54.23984429452532,38.4098315382491,81.96685998343,54.40411990660541,38.75559237779619,82.0259596796465
1991,55.642640154653414,49.30031167396536,39.67633250483292,61.22921844794256,49.0063267304361,37.92239712786523,60.92322562827948
1992,52.17232808616404,50.43080706460988,34.00966583816625,80.32504832919084,50.617094725214024,34.91908312620823,80.8041977354322
1993,51.684893675780174,49.8179008692679,36.667495167080915,71.61143330571666,50.196090984409125,36.662247997790665,71.22259044462855
1994,44.72107152720243,52.591601898975554,38.23446561723281,80.38138635735984,52.322926866008885,38.3932615299641,80.42888704777685
1995,47.84396575531621,50.29743164871582,34.260149130074566,75.66583816625241,50.024917777610405,35.84230875448771,76.31206848936758
1996,51.105219552609775,52.50360989466209,37.83236674951671,86.24578845622756,53.355715397554654,37.348246340789835,86.61971830985915
1997,37.964926815796744,49.73345958101551,36.378624689312346,68.60811930405966,49.7471818432879,35.863021264843965,68.65479149406241
1998,55.62496547914941,56.760274062676714,40.60977630488815,84.17453742060205,55.96025708618915,40.357359845346586,84.15354874344104
1999,44.28058547362607,49.666600912665544,25.79011322838995,66.2300469483568,49.11867640782307,25.72493786246893,66.27230046948357
2000,50.36371168185584,49.61021028129562,35.191935929301295,77.38690969345485,51.91912078531797,35.310411488539074,77.94642363987849
2001,43.72079536039768,51.57904288475954,27.3893951946976,72.8456227561447,51.79446913208305,27.620822977078156,73.14802540734604
2002,56.78624689312345,50.01979195434042,31.467550400441866,66.24413145539906,50.11418242072759,32.20104943385805,66.6017674675504
2003,51.51753659210163,54.15937454794124,36.54128693731013,84.60425296879315,54.936393763651424,37.6006628003314,84.6393261529964
2004,51.73819386909693,52.53757841164634,38.173985086992545,71.76249654791494,53.51291707464034,36.886495443247725,71.80613090306545
2005,43.73128969897818,53.35271761286675,40.31565865782933,74.08119304059652,53.06356857723884,39.88511460922397,74.24937862468931
2006,46.54101077050539,54.82045212451178,39.64291632145816,72.6454018227009,49.05204488965881,30.909141121237226,71.54183927091964
2007,57.29356531344932,53.347575649978296,37.035073184203256,83.72466169566418,52.399563154327026,38.94780447390224,83.26070146368407
2008,45.652582159624416,52.08821556791732,32.03396851698426,91.20436343551505,55.88577992016269,41.10715272024303,81.17370892018779
2009,43.60259596796465,55.698399547612475,39.66418116542392,83.39464236398784,51.98671888729883,44.07180336923502,64.33029549848108
2010,42.54708644020989,58.90026433108454,42.207125103562554,95.16514774924055,56.42741834249704,39.79729356531345,98.78679922673295
2011,,58.45383411580596,34.414802540734605,86.93068213200773,52.98325424920288,42.02402651201326,72.93979563656448
2012,,55.01459738825108,38.18171775752555,80.7970173985087,54.51394642363987,34.945318972659486,76.08864954432477
2013,,51.62802961560211,39.94697597348799,74.02126484396575,59.0297632497301,34.004142502071254,94.95388014360674
2014,,55.12669480937916,38.982877658105494,106.03424468378901,53.51908061560091,37.980668323667494,71.25628279480806
2015,,55.74295445877882,42.987572493786246,84.34051367025684,53.00490823730261,34.487986743993375,80.46975973487987
2016,,56.79429518286189,43.977078155205746,81.38635735984535,58.93982074263763,42.10991438829053,94.49351008008837
2017,,49.284491261293255,31.220657276995304,83.02816901408451,56.725565514297905,39.225352112676056,81.55178127589063
2018,,53.33571362817427,36.448771057718865,84.90941728804198,56.472144811829985,41.75724937862469,83.5603424468379
2019,,53.14034534001395,39.824634078983706,85.38276719138359,54.85525093520123,36.854736260701465,76.29881248273958
2020,,52.09877566049894,38.67301850317592,86.76967688483845,55.84148025407346,39.35763601215134,96.87130626898647
2021,,57.435370392288384,43.75365921016294,73.77961888980944,54.267655845949136,40.7959127312897,81.71112952223143
2022,,53.899685695874595,42.467550400441866,80.22314277823806,54.48696994803043,34.38856669428335,82.83927091963545
2023,,56.12160544969162,38.044186688760014,89.30019331676333,58.81280911852578,39.335542667771335,98.42391604529135
2024,,57.52600570744731,42.660867163766916,89.61861364264016,53.60209384650148,43.212372272852804,75.73128969897819
2025,,58.93303612524822,42.67854183927092,75.40375586854461,55.511410710250814,38.53438276719138,76.76139188069594
2026,,58.49836272537184,37.07456503728252,89.6260701463684,56.874582611533725,39.840375586854464,93.95001380834023
2027,,55.90566930997751,40.156586578293286,85.26843413421707,55.80475006904172,43.21955260977631,77.47224523612262
2028,,50.8747912310464,34.42640154653411,75.84866059099696,52.80965830634431,31.35321734327534,78.52803093068214
2029,,56.30112702357938,42.145263739298535,77.25711129522232,54.51453641635912,37.72383319524993,76.96023198011599
2030,,50.487500164385004,36.109638221485774,72.3529411764706,51.66792197032461,41.55647611157139,76.92985363159349
2031,,52.443905261635166,38.10024855012428,73.2007732670533,54.791581933669754,34.67854183927092,89.12841756420879
2032,,51.89196617614183,35.23916045291356,71.00414250207125,57.68248349275689,39.6067384700359,88.4275062137531
2033,,56.28964637498192,36.62358464512565,77.24495995581331,57.89987698024152,32.299364816349076,85.76111571389119
2034,,56.13738640996305,37.00911350455675,78.19663076498205,58.980768747960134,42.889533278099975,87.04584368958851
2035,,52.349416762009966,37.69345484672743,74.12068489367579,52.11238733649669,33.09223971278652,72.23805578569456
2036,,53.80435554503491,36.95691797845899,74.96603148301574,53.01271622605509,26.948356807511736,79.65727699530517
2037,,56.12448547494116,40.46340789837062,80.81745374206021,55.68801938188847,40.84755592377796,79.68075117370893
2038,,53.60413461159111,36.92350179508423,69.55067660867164,55.421844794255726,34.50787075393538,78.91521679094173
2039,,50.43611998790126,37.20602043634355,68.73294669980669,63.635472370766486,39.68903617785142,103.49295774647888
2040,,51.90117173630016,38.260149130074566,69.46368406517537,50.506615450277415,36.019331676332506,75.29715548191108
2041,,52.99815888796833,35.032863849765256,71.45236122618061,58.173985086992545,44.74951670809169,79.50731842032587
2042,,53.88924396049499,40.014636840651754,82.83043358188345,56.715234365192934,42.34548467274234,74.71665285832643
2043,,58.154022172249185,41.807235570284455,80.73543220104943,59.335316713112896,41.727975697321185,88.10963822148578
2044,,57.129851001433444,39.17122341894504,86.14692074012704,55.94840701965805,38.272852803093066,79.0171223418945
2045,,52.44895516892203,33.491853079259876,70.4164595415631,55.944754086013404,36.26097763048882,78.74758354045844
2046,,56.843229310503546,41.869649268157964,100.48853907760287,54.4959453691848,35.019884009942004,83.72631869649268
2047,,53.379308530924106,41.20436343551505,86.94228113780724,56.360862142552286,41.743717205191935,80.50069041701188
2048,,59.65579095487959,41.27478597072632,97.19773543220104,59.7552785518817,39.26622479977907,83.85501242750621
2049,,55.74213910916478,39.53134493233913,82.46202706434687,57.52195526097763,38.537144435238886,89.34272300469483
2050,,59.87727673228915,38.72825186412593,88.45705606186137,54.77577766061609,40.099143882905274,81.8152444076222
2051,,57.65828960692259,43.80171223418945,86.26097763048881,57.94619768522005,36.03341618337476,91.01795084230875
2052,,58.861167002012074,39.814139740403206,89.95084230875449,58.505812055936325,41.52388842861088,86.68185584092792
2053,,55.50384660906617,31.468655067660865,87.963545981773,60.819374356656866,31.31621099143883,89.47776857221761
2054,,55.32366749516708,42.105219552609775,85.92681579674124,57.37920212899499,40.6050814692074,81.94034797017399
2055,,56.54854617903499,44.50262358464513,78.91853079259873,61.661155883608245,39.79066556199945,93.68848384424192
2056,,53.186964926815804,35.23833195249931,86.15686274509804,60.36386231829481,38.965755316210995,86.57636012151339
2057,,54.32003787430465,34.76470588235294,82.3606738470036,58.12157615927293,35.17122341894504,85.7694007180337
2058,,56.98702016017674,34.99364816349075,77.53355426677713,60.89825763852275,42.531897265948636,96.47169290251311
2059,,58.99384542549414,35.89284727975697,99.5851974592654,58.6576912455123,35.42695388014361,87.28887047776857
2060,,54.15064241659105,35.34548467274234,91.03258768296051,57.61642941427532,30.12565589616128,94.43082021541011
2061,,56.181507344721936,37.54653410660039,94.81220657276995,56.517172554040826,44.391328362330846,79.45042805854736
